County,Metropolitan,Town
AlachuaCounty,1,1
BakerCounty,1,1
BayCounty,1,1
BradfordCounty,1,1
BrevardCounty,1,1
BrowardCounty,1,1
CalhounCounty,1,1
CharlotteCounty,1,1
CitrusCounty,1,1
ClayCounty,1,1
CollierCounty,1,1
ColumbiaCounty,1,1
DeSotoCounty,1,1
DixieCounty,1,1
DuvalCounty,1,1
EscambiaCounty,1,1
FlaglerCounty,1,1
FranklinCounty,1,1
GadsdenCounty,1,1
GilchristCounty,1,1
GladesCounty,1,1
GulfCounty,1,1
HamiltonCounty,1,1
HardeeCounty,1,1
HendryCounty,1,1
HernandoCounty,1,1
HighlandsCounty,1,1
HillsboroughCounty,1,1
HolmesCounty,1,1
IndianRiverCounty,1,1
JacksonCounty,1,1
JeffersonCounty,1,1
LafayetteCounty,1,1
LakeCounty,1,1
LeeCounty,1,1
LeonCounty,1,1
LevyCounty,1,1
LibertyCounty,1,1
MadisonCounty,1,1
ManateeCounty,1,1
MarionCounty,1,1
MartinCounty,1,1
MiamiDadeCounty,1,1
MonroeCounty,1,1
NassauCounty,1,1
OkaloosaCounty,1,1
OkeechobeeCounty,1,1
OrangeCounty,1,1
OsceolaCounty,1,1
PalmBeachCounty,1,1
PascoCounty,1,1
PinellasCounty,1,1
PolkCounty,1,1
PutnamCounty,1,1
SantaRosaCounty,1,1
SarasotaCounty,1,1
SeminoleCounty,1,1
StJohnsCounty,1,1
StLucieCounty,1,1
SumterCounty,1,1
SuwanneeCounty,1,1
TaylorCounty,1,1
UnionCounty,1,1
VolusiaCounty,1,1
WakullaCounty,1,1
WaltonCounty,1,1
WashingtonCounty,1,1
