County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AdamsCounty,5878,2093,3880,10896,4434,5116
AlcornCounty,7540,2393,4190,12415,4631,5888
AmiteCounty,2437,835,1372,4200,1897,2390
AttalaCounty,4256,1317,2130,6036,2456,3369
BentonCounty,1784,604,1011,2914,1073,1343
BolivarCounty,7231,2666,5537,10361,4237,4113
CalhounCounty,3097,985,1728,4781,1895,2476
CarrollCounty,1874,673,1115,3549,1569,1817
ChickasawCounty,3761,1306,2120,5546,2147,2512
ChoctawCounty,1716,584,844,2726,1191,1486
ClaiborneCounty,1841,1008,1561,2774,1255,1165
ClarkeCounty,3396,1194,1803,5341,2257,2741
ClayCounty,4369,1580,2474,6586,2673,2952
CoahomaCounty,6286,2327,3556,7910,2886,3186
CopiahCounty,6072,2518,3862,9341,3627,4029
CovingtonCounty,4163,1523,2411,6176,2338,2957
DeSotoCounty,37809,11969,19141,59361,16631,16341
ForrestCounty,14816,6116,15120,22774,7444,8664
FranklinCounty,1724,511,900,2580,1088,1315
GeorgeCounty,4996,1741,2721,7688,2553,2879
GreeneCounty,2598,842,2208,5520,1615,1617
GrenadaCounty,4387,1668,2491,7261,2822,3277
HancockCounty,8531,3085,4848,14807,5973,6685
HarrisonCounty,38286,13387,28531,63648,21301,21952
HindsCounty,53536,20209,38466,79720,26803,26551
HolmesCounty,4563,1822,2624,5702,2065,2422
HumphreysCounty,2245,726,1261,2926,1048,1169
IssaquenaCounty,220,117,243,455,168,203
ItawambaCounty,4412,2076,2845,7592,2775,3701
JacksonCounty,29238,10063,17390,48956,16680,17341
JasperCounty,3343,1274,1891,5523,2296,2735
JeffersonCounty,1457,559,1134,2649,929,998
JeffersonDavisCounty,2351,918,1398,4033,1719,2068
JonesCounty,14619,4995,8906,21448,8045,9748
KemperCounty,2012,869,1307,3288,1345,1635
LafayetteCounty,7393,5143,12708,12816,4333,4958
LamarCounty,12240,3883,9164,18780,5583,6008
LauderdaleCounty,16585,6040,10784,25956,9578,11318
LawrenceCounty,2680,887,1564,4222,1654,1922
LeakeCounty,5779,2262,2926,7147,2590,3101
LeeCounty,18343,5921,10236,28348,9313,10749
LefloreCounty,7297,2607,4988,10103,3474,3848
LincolnCounty,7479,2619,4026,11442,4359,4944
LowndesCounty,12458,4434,8731,19410,7042,7704
MadisonCounty,21340,6831,12111,33952,11052,9917
MarionCounty,5798,1834,3380,8755,3344,3977
MarshallCounty,7133,2749,4884,12891,4760,4727
MonroeCounty,7389,2723,4282,12012,4753,5830
MontgomeryCounty,2170,831,1178,3387,1481,1878
NeshobaCounty,7160,2135,3559,9303,3523,3996
NewtonCounty,4647,1867,2493,6922,2558,3233
NoxubeeCounty,2576,872,1537,3681,1327,1552
OktibbehaCounty,7380,5195,14893,11800,4012,4391
PanolaCounty,7663,2733,4294,11482,4124,4411
PearlRiverCounty,11357,4163,6588,18210,7380,8136
PerryCounty,2518,937,1383,4099,1581,1732
PikeCounty,9045,3150,4760,12685,5033,5731
PontotocCounty,6685,2149,3734,10159,3399,3831
PrentissCounty,4837,1967,3383,8074,3043,3972
QuitmanCounty,1750,662,1026,2590,1039,1156
RankinCounty,29774,8881,19104,51141,16481,16236
ScottCounty,6338,2114,3881,9179,3240,3512
SharkeyCounty,1007,383,587,1549,683,707
SimpsonCounty,5959,2030,3272,8876,3518,3848
SmithCounty,3494,1164,1856,5344,2113,2520
StoneCounty,3561,1669,2365,5867,2180,2144
SunflowerCounty,5965,2249,4871,10179,3191,2995
TallahatchieCounty,2802,1095,2590,5442,1633,1816
TateCounty,6177,2595,3672,9313,3552,3577
TippahCounty,4721,1554,2696,7362,2644,3255
TishomingoCounty,3710,1316,1960,6423,2650,3534
TunicaCounty,2748,729,1550,3576,1156,1019
UnionCounty,5819,1857,3222,9074,3239,3923
WalthallCounty,3357,1122,1756,4789,1974,2445
WarrenCounty,10462,3501,5728,16467,6357,6258
WashingtonCounty,11626,4242,6575,16025,6374,6295
WayneCounty,4473,1550,2567,6809,2464,2884
WebsterCounty,2136,683,1148,3420,1252,1614
WilkinsonCounty,1864,647,1471,3348,1184,1364
WinstonCounty,3975,1294,2207,6030,2521,3171
YalobushaCounty,2506,874,1353,4040,1807,2098
YazooCounty,5856,1923,3914,10132,2911,3329
