"SCTG","PctEmpty","N"
1,0.571533320816629,24
2,0.321989623362731,49
3,0.40136732184226,120
4,0.67968412049994,31
5,0.199516035193507,3
6,0.198552533912815,10
7,0.1998571334995,35
8,0.209453973305391,5
9,0.220797674677544,0
10,0.345868222703136,1
11,0.406653723247503,1
12,0.540004324284953,28
13,0.382289317879428,5
14,0.330631811974,1
15,0.394477968299597,0
16,0.411406611770122,1
17,0.405256894636644,2
18,0.30780628855648,5
19,0.307658966212607,7
20,0.319153846071907,0
21,0.163003296356002,1
22,0.381398011930285,9
23,0.329297413853261,0
24,0.259173648542417,9
25,0.501524526835973,25
26,0.220797733458064,53
27,0.207833893632727,4
28,0.216947168869503,2
29,0.142965266998763,6
30,0.150707615637309,5
31,0.286230721354791,18
32,0.217604044021483,5
33,0.0729566467949893,51
34,0.325367985460454,28
35,0.159588441529491,6
36,0.49882097167765,24
37,0.225507510107718,10
38,0.253528170079209,4
39,0.323670372960133,18
40,0.163071580010252,223
41,0.226109090209822,37
43,0.107019101332609,26
99,0.377666020609811,4
