"County","Density"
"BakerCounty",2.2
"BentonCounty",24.7
"ClackamasCounty",39
"ClatsopCounty",17.7
"ColumbiaCounty",33.5
"CoosCounty",15.4
"CrookCounty",3.4
"CurryCounty",5.4
"DeschutesCounty",14.7
"DouglasCounty",8.9
"GilliamCounty",1.6
"GrantCounty",1.6
"HarneyCounty",0.3
"HoodRiverCounty",22.6
"JacksonCounty",15
"JeffersonCounty",7.7
"JosephineCounty",23
"KlamathCounty",4.2
"LakeCounty",0.6
"LaneCounty",13.9
"LincolnCounty",18
"LinnCounty",16.4
"MalheurCounty",1.5
"MarionCounty",37.8
"MorrowCounty",2.5
"MultnomahCounty",37
"PolkCounty",20.8
"ShermanCounty",2.1
"TillamookCounty",16
"UmatillaCounty",6.9
"UnionCounty",5.3
"WallowaCounty",2.2
"WascoCounty",3.5
"WashingtonCounty",49.5
"WheelerCounty",0.8
"YamhillCounty",32.8
