"FAFZone","BakerCounty","BentonCounty","ClackamasCounty","ClatsopCounty","ColumbiaCounty","CoosCounty","CrookCounty","CurryCounty","DeschutesCounty","DouglasCounty","GilliamCounty","GrantCounty","HarneyCounty","HoodRiverCounty","JacksonCounty","JeffersonCounty","JosephineCounty","KlamathCounty","LakeCounty","LaneCounty","LincolnCounty","LinnCounty","MalheurCounty","MarionCounty","MorrowCounty","MultnomahCounty","PolkCounty","ShermanCounty","TillamookCounty","UmatillaCounty","UnionCounty","WallowaCounty","WascoCounty","WashingtonCounty","WheelerCounty","YamhillCounty"
"11",2233.08,2627.86,2553.81,2624.46,2597.94,2776.75,2410.53,2770.455,2430.21,2597.12,2434.56,2302.87,2306.28,2488.44,2672.36,2448.62,2699.36,2538.86,2436.46,2655.85,2677.31,2536.19,2180.76,2581.26,2390.58,2534.86,2604.88,2455.35,2609.87,2332.35,2278.53,2357.57,2484.81,2552.69,2384.44,2578.705
"12",2355.35,2750.1,2676.05,2746.7,2720.15,2795.9,2532.75,2741.9,2552.45,2745.65,2556.8,2425.15,2428.55,2610.65,2653.8,2570.85,2680.75,2680.55,2558.75,2778.05,2799.55,2658.45,2303,2703.55,2512.85,2657.1,2727.15,2577.55,2732.1,2454.55,2400.75,2479.8,2607.05,2674.95,2506.65,2700.925
"19",2271.56,2666.32,2592.28,2662.92181818182,2636.39454545455,2804.61818181818,2448.99636363636,2773.31818181818,2468.67636363636,2648.98,2473.03454545455,2341.35636363636,2344.76181818182,2526.89454545455,2672.17818181818,2487.08727272727,2699.17272727273,2580.90727272727,2474.95090909091,2694.30727272727,2715.78,2574.66545454545,2219.22,2619.74909090909,2429.06,2573.33636363636,2643.36727272727,2493.80727272727,2648.34727272727,2370.80727272727,2316.99636363636,2396.04727272727,2523.28,2591.16545454545,2422.90363636364,2617.16454545455
"20",468.431034482759,456.4,413.713793103448,415.227586206897,387.210344827586,553.951724137931,507.941379310345,601.286206896552,503.831034482758,514.541379310345,464.331034482759,480.403448275862,540.351724137931,443.6,584.220689655172,478.779310344828,567.38275862069,567.58275862069,584.582758620689,474.734482758621,483.067241379311,461.393103448276,546.327586206897,431.713793103448,412.4,401.434482758621,441.358620689655,439.875862068965,445.286206896552,405.737931034483,440.310344827586,448.434482758621,459.18275862069,407.813793103448,489.668965517241,425.898275862069
"41",1147.9,1303.05,1362.2,1439.75,1413.25,1244.25,1278.15,1190.3,1213.5,1194,1349.4,1090.9,1022.2,1354,1102.15,1260.15,1129.15,1128.95,1069.1,1254.65,1352.5,1310.7,1095.55,1329.1,1305.4,1366.25,1333.8,1338.9,1393.95,1247.15,1193.35,1272.4,1327.8,1365,1319.65,1347.2
"42",1269.1,1422,1481.1,1558.7,1532.15,1363.2,1397.05,1309.25,1332.45,1312.95,1470.6,1211.7,1143.05,1472.95,1221.1,1379.05,1248.1,1247.85,1188,1373.6,1471.45,1429.6,1216.8,1448.05,1426.6,1485.2,1452.75,1457.8,1512.85,1368.4,1314.55,1393.6,1446.7,1483.95,1438.6,1466.15
"49",1051.7,1331.5,1353.53636363636,1429.22727272727,1402.70909090909,1284.16363636364,1223.6,1230.20454545455,1211.70909090909,1233.90909090909,1254.72272727273,1097.27272727273,1043.83636363636,1301.66363636364,1142.06363636364,1237.56363636363,1169.06363636364,1168.82727272727,1051.3,1294.56363636364,1380.96363636364,1330.08181818182,999.381818181818,1344.07272727273,1209.2,1351.33636363636,1352.22272727273,1272.55,1391.90454545454,1150.98181818182,1097.17272727273,1176.19090909091,1289.63181818182,1355.28181818182,1201.64545454545,1349.44090909091
"50",1893.59866666667,2288.36933333333,2214.31733333333,2284.97066666667,2258.43733333333,2414.732,2071.036,2383.05666666667,2090.71466666667,2317.66133333333,2095.07733333333,1963.4,1966.8,2148.93733333333,2280.85333333333,2109.132,2307.84666666667,2200.42266666667,2096.988,2316.35066666667,2337.81733333333,2196.708,1841.272,2241.788,2051.09866666667,2195.38,2265.408,2115.85066666667,2270.38666666667,1992.848,1939.03733333333,2018.08533333333,2145.316,2213.208,2044.948,2239.21266666667
"61",921.98,942.84,1002.02,1079.56,1053.02,884.06,917.92,830.07,853.32,833.82,1006.03,890.98,822.28,993.77,741.96,899.95,768.94,768.72,773.22,894.42,992.32,950.5,851.44,968.92,1024.84,1006.06,973.62,978.67,1033.75,1038.56,967.4,1046.48,967.57,1004.82,959.46,986.98
"62",605.1,518.714285714286,577.857142857143,655.414285714286,628.871428571429,459.914285714286,493.785714285714,431.25,429.171428571429,409.671428571429,581.878571428572,550.771428571428,489.057142857143,569.642857142857,317.814285714286,475.807142857143,344.8,344.571428571429,371.171428571429,470.3,568.171428571429,526.342857142857,534.571428571429,544.757142857143,617.5,581.914285714286,549.464285714286,554.521428571429,609.607142857143,667.421428571428,650.542857142857,729.585714285714,543.421428571429,580.671428571429,535.314285714286,562.864285714286
"63",989.4,1019.2,1078.3,1155.9,1129.4,960.4,994.3,906.45,929.7,910.2,1082.35,958.4,889.7,1070.15,818.3,976.25,845.3,845.1,815.1,970.8,1068.7,1026.8,918.9,1045.3,1118,1082.4,1049.95,1055.05,1110.05,1088.7,1034.9,1113.9,1043.95,1081.2,1035.8,1063.35
"64",719.791666666667,586.891666666666,646.016666666666,723.6,697.075,520.375,561.9625,434.291666666667,497.3375,477.816666666666,650.058333333334,635.833333333333,570.25,637.829166666666,386,543.9625,412.991666666666,412.7625,465.508333333334,538.475,636.345833333333,594.508333333333,649.275,612.9375,685.683333333334,650.108333333334,617.6375,622.7125,677.766666666666,745.329166666666,765.233333333334,844.283333333334,611.595833333333,648.816666666666,603.508333333333,631.0375
"65",785.85,688,747.15,824.7,798.15,629.2,663.05,580.6,598.45,578.95,751.15,754.85,686.15,738.9,487.1,645.075,514.05,513.85,566.65,639.55,737.45,695.65,715.3,714.05,786.8,751.2,718.75,723.8,778.875,846.4,831.25,910.3,712.7,749.95,704.6,732.125
"69",653.374193548387,572.43064516129,631.562903225807,709.13064516129,682.591935483871,508.85,547.251612903226,467.253225806452,482.641935483871,467.527419354838,635.577419354838,594.796774193548,531.9,625.164516129032,380.425806451613,529.269354838709,400.885483870968,400.838709677419,431.087096774194,524.008064516129,614.882258064516,580.059677419355,600.925806451613,598.472580645161,672.558064516129,635.637096774193,603.175806451613,611.908064516129,658.282258064516,714.198387096774,703.654838709677,782.396774193548,596.893548387097,634.372580645161,589.477419354839,616.572580645161
"81",962.095833333334,1356.87083333334,1282.82083333334,1353.47083333334,1326.9375,1505.7625,1139.5375,1511.2875,1159.22083333334,1326.1375,1163.575,1031.89583333333,1035.29583333333,1217.4375,1361.6125,1177.6375,1388.60416666667,1257.7375,1159.8125,1384.8375,1406.32083333334,1265.19583333334,909.7625,1310.29583333333,1119.59583333334,1263.88333333334,1333.92083333333,1184.3375,1338.8875,1061.3375,1007.5375,1086.59583333334,1213.82083333334,1281.69583333334,1113.4375,1307.7125
"89",960.336538461538,1355.11442307692,1281.0625,1351.7125,1325.17980769231,1504.00096153846,1137.78365384616,1490.37980769231,1157.46442307692,1324.36826923077,1161.81538461538,1030.13653846154,1033.54134615385,1215.67980769231,1340.70480769231,1175.86826923077,1367.69134615384,1205.29326923077,1127.58173076923,1383.09134615384,1404.5625,1263.44903846154,908.012499999999,1308.52788461539,1117.84038461538,1262.12019230769,1332.15673076923,1182.59134615384,1337.12596153846,1059.59134615384,1005.78365384615,1084.83173076923,1212.0625,1279.94903846154,1111.6875,1305.95384615385
"91",2709.16666666667,3103.9,3029.9,3100.53333333333,3074,3252.8,2886.6,3268,2906.3,3073.2,2910.63333333333,2778.96666666667,2782.4,2964.5,3118.33333333333,2924.7,3145.3,3014.9,2912.56666666667,3131.9,3153.4,3012.3,2656.83333333333,3057.33333333333,2866.66666666667,3010.93333333333,3081,2931.4,3085.96666666667,2808.4,2754.6,2833.63333333333,2960.9,3028.8,2860.5,3054.75
"92",2672.83333333333,3067.63333333333,2993.56666666667,3064.23333333333,3037.66666666667,3216.53333333333,2850.26666666667,3231.66666666667,2869.96666666667,3036.86666666667,2874.33333333333,2742.63333333333,2746.03333333333,2928.16666666667,3082.03333333333,2888.36666666667,3109.03333333333,2978.63333333333,2876.23333333333,3095.6,3117.06666666667,2975.93333333333,2620.53333333333,3021.03333333333,2830.33333333333,2974.63333333333,3044.66666666667,2895.1,3049.63333333333,2772.1,2718.26666666667,2797.33333333333,2924.56666666667,2992.43333333333,2824.16666666667,3018.46666666667
"99",2733.45,3128.25,3054.15,3124.85,3098.3,3277.15,2910.9,3292.35,2930.55,3097.45,2934.95,2803.25,2806.65,2988.8,3142.65,2948.95,3169.65,3039.25,2936.85,3156.25,3177.65,3036.55,2681.15,3081.65,2890.95,3035.25,3105.25,2955.75,3110.25,2832.75,2778.9,2857.95,2985.15,3053.05,2884.85,3079.1
"101",2571.275,2966.05,2892.025,2962.65,2936.125,3114.925,2748.725,3130.125,2768.375,2935.325,2772.775,2641.075,2644.475,2826.625,2980.45,2786.825,3007.425,2877.05,2774.675,2994.025,3015.525,2874.375,2518.95,2919.475,2728.775,2873.075,2943.075,2793.525,2948.075,2670.525,2616.725,2695.775,2823.025,2890.875,2722.625,2916.875
"109",2604,2998.8,2924.8,2995.4,2968.9,3147.7,2781.5,3162.9,2801.2,2968.1,2805.5,2673.8,2677.2,2859.4,3013.2,2819.6,3040.2,2909.8,2807.4,3026.8,3048.3,2907.1,2551.7,2952.2,2761.5,2905.8,2975.9,2826.3,2980.8,2703.3,2649.5,2728.5,2855.8,2923.6,2755.4,2949.65
"111",2508.8,2903.6,2829.5,2900.2,2873.6,3052.4,2686.2,3067.6,2705.9,2872.8,2710.3,2578.6,2582,2764.1,2918,2724.3,2944.9,2814.6,2712.2,2931.5,2953,2811.9,2456.5,2857,2666.3,2810.6,2880.6,2731,2885.6,2608,2554.2,2633.3,2760.5,2828.4,2660.1,2854.4
"121",2660.33333333333,3055.1,2981.05,3051.7,3025.18333333333,3203.98333333333,2837.78333333333,3149.59166666667,2857.43333333333,3024.36666666667,2861.81666666667,2730.13333333333,2733.53333333333,2915.68333333333,3062.01666666667,2875.86666666667,3088.98333333333,2966.1,2863.71666666667,3083.08333333333,3104.55,2963.43333333333,2608.01666666667,3008.51666666667,2817.83333333333,2962.11666666667,3032.13333333333,2882.58333333333,3037.13333333333,2759.58333333333,2705.78333333333,2784.83333333333,2912.05,2979.93333333333,2811.68333333333,3005.93333333333
"122",2891.5,3286.27142857143,3212.22857142857,3282.87142857143,3256.32857142857,3435.15714285714,3068.92857142857,3379.77857142857,3088.62857142857,3255.52857142857,3092.97142857143,2961.3,2964.7,3146.82857142857,3291.65714285714,3107.02857142857,3318.65714285714,3197.27142857143,3094.88571428571,3314.22857142857,3335.72857142857,3194.61428571429,2839.15714285714,3239.7,3049,3193.27142857143,3263.3,3113.72857142857,3268.3,2990.72857142857,2936.92857142857,3016,3143.22857142857,3211.11428571429,3042.82857142857,3237.09285714285
"123",2733.91428571429,3128.68571428571,3054.67142857143,3125.3,3098.78571428571,3277.58571428571,2911.38571428571,3222.23571428571,2931.07142857143,3097.98571428571,2935.4,2803.71428571429,2807.12857142857,2989.28571428571,3134.1,2949.48571428571,3161.08571428571,3039.68571428571,2937.31428571429,3156.68571428571,3178.17142857143,3037.07142857143,2681.6,3082.11428571429,2891.41428571429,3035.7,3105.75714285714,2956.18571428571,3110.7,2833.18571428571,2779.38571428571,2858.4,2985.67142857143,3053.57142857143,2885.28571428571,3079.53571428571
"124",2757.5,3152.25,3078.2,3148.85,3122.3,3301.15,2934.9,3216.3875,2954.6,3121.5,2958.975,2827.3,2830.7,3012.8,3128.275,2973,3155.275,3063.25,2960.9,3180.225,3201.7,3060.6,2705.15,3105.7,2915,3059.275,3129.3,2979.725,3134.3,2856.725,2802.9,2882,3009.2,3077.1,2908.8,3103.1
