County,Region,Msa
BakerCounty,,NA
BentonCounty,,Corvallis
ClackamasCounty,,Portland
ClatsopCounty,,NA
ColumbiaCounty,,Longview
CoosCounty,,NA
CrookCounty,,NA
CurryCounty,,NA
DeschutesCounty,,Bend
DouglasCounty,,NA
GilliamCounty,,NA
GrantCounty,,NA
HarneyCounty,,NA
HoodRiverCounty,,NA
JacksonCounty,,Medford
JeffersonCounty,,NA
JosephineCounty,,NA
KlamathCounty,,NA
LakeCounty,,NA
LaneCounty,,Eugene
LincolnCounty,,NA
LinnCounty,,NA
MalheurCounty,,NA
MarionCounty,,Portland
MorrowCounty,,NA
MultnomahCounty,,Portland
PolkCounty,,Portland
ShermanCounty,,NA
TillamookCounty,,NA
UmatillaCounty,,NA
UnionCounty,,NA
WallowaCounty,,NA
WascoCounty,,NA
WashingtonCounty,,Portland
WheelerCounty,,NA
YamhillCounty,,NA
