"SCTG","Payload","N"
1,8.91995856987974,22
2,15.3530330935836,45
3,10.8404117490001,108
4,12.849240749808,28
5,15.3568767024241,2
6,3.07581981143115,10
7,13.5300149815046,32
8,10.2941785681165,5
9,12.5303662811142,0
10,12.7559630168912,1
11,14.7601763932821,1
12,11.4096381761018,25
13,14.57148120894,5
14,19.7343283246373,1
15,21.9759244651015,0
16,14.0428921341034,1
17,24.3515448152176,1
18,11.7399553387464,3
19,9.3205966594687,7
20,14.6935220971178,0
21,5.12434471305138,0
22,9.93234871988097,9
23,12.2174191704086,0
24,9.66549316294252,9
25,13.1435872111543,24
26,15.3811259736,49
27,16.5382555630002,3
28,13.1552492378572,2
29,5.51350467372506,6
30,10.307661585523,4
31,9.62502874605446,16
32,12.2402812906222,5
33,2.57456602570048,46
34,8.49496986521661,23
35,6.91185118160956,6
36,5.82788524473778,14
37,14.0365801757648,10
38,4.51852664992441,2
39,3.66882435127157,17
40,4.41143430593691,197
41,4.48596357209921,33
43,17.0628490757735,25
99,10.8934974922361,3
