"County","BakerCounty","BentonCounty","ClackamasCounty","ClatsopCounty","ColumbiaCounty","CoosCounty","CrookCounty","CurryCounty","DeschutesCounty","DouglasCounty","GilliamCounty","GrantCounty","HarneyCounty","HoodRiverCounty","JacksonCounty","JeffersonCounty","JosephineCounty","KlamathCounty","LakeCounty","LaneCounty","LincolnCounty","LinnCounty","MalheurCounty","MarionCounty","MorrowCounty","MultnomahCounty","PolkCounty","ShermanCounty","TillamookCounty","UmatillaCounty","UnionCounty","WallowaCounty","WascoCounty","WashingtonCounty","WheelerCounty","YamhillCounty"
"BakerCounty",28.6,395.3,321.3,391.9,365.4,544.2,197.8,616.5,241,484,202,90.1,165,255.9,406.6,235.9,435.9,349.6,295.2,423.3,444.8,402.9,119.4,348.7,158,302.3,372.4,222.8,377.3,99.8,46,125,252.3,320.1,171.7,346.2
"BentonCounty",395.3,13.4,87.7,165.2,138.7,148.2,173.6,220.5,136.8,117.3,249.6,270.9,274.1,165.1,223.6,154.7,197.9,198.2,263.4,56.5,49.8,36.2,371.3,54.6,278.6,91.8,37,212.2,99.9,299.6,352.4,428.1,191.2,90.5,215.1,53.2
"ClackamasCounty",321.3,87.7,22.3,110.6,84.1,236.6,169,308.8,162.7,176.4,175.5,266.3,290.1,91.1,282.8,124.5,257.1,257.4,285.9,115.7,137.1,69,440.1,37.4,204.6,24.4,64.7,138.2,96,225.6,278.3,354,111.1,35.8,214.2,55.8
"ClatsopCounty",391.9,165.2,110.6,16.9,57.3,239.8,264.8,312.1,258.2,254,246.1,365.2,386,161.7,360.3,220.3,334.6,334.9,381.4,193.2,133.3,172.9,510.8,126.3,275.3,90.9,122.3,208.8,63.8,296.2,349,424.7,203.1,80.5,284.8,95
"ColumbiaCounty",365.4,138.7,84.1,57.3,13.5,287.6,238.3,359.9,231.7,227.4,219.6,338.7,359.4,135.2,333.8,193.8,308.1,308.4,354.9,166.7,148.1,146.3,484.3,99.7,248.7,64.4,95.8,182.3,82.6,269.7,322.5,398.1,176.6,54,258.3,68.5
"CoosCounty",544.2,148.2,236.6,239.9,287.6,21.9,297.4,88.1,247.1,82,398.4,394.7,397.9,314,164.8,278.5,139.1,216.3,317.7,129,123.4,185.1,495.1,203.5,427.5,240.6,183.9,361.1,185.1,448.5,501.3,577,340.1,239.4,338.9,189.7
"CrookCounty",197.8,173.6,169,264.8,238.3,297.4,28.1,369.6,65.3,237.3,114,119.4,172.6,147.4,230.9,60.2,260.2,173.9,188.5,176.5,223.1,152.6,269.9,168.9,145.8,170.3,192.4,132.3,250.2,219,240.9,311.4,121.2,190.1,63.6,210
"CurryCounty",616.5,220.5,308.8,312.2,359.9,88.1,369.6,22.9,318.3,156.6,470.7,466.9,470.1,386.3,172.4,350.7,128.2,277,382.3,201.3,195.6,257.3,567.4,275.7,499.8,312.9,256.2,433.4,257.4,520.8,573.5,649.2,412.3,311.6,411.2,262
"DeschutesCounty",241,136.8,162.8,258.2,231.7,247.1,65.3,318.3,28.4,167.6,153.4,162.5,147.1,141.2,166.3,47.3,195.6,109.3,123.9,139.7,186.2,115.8,244.4,132,189,164.1,155.6,126.1,215.7,248.7,301.4,377.1,114.9,183.4,106.8,167.3
"DouglasCounty",484,117.3,176.4,254,227.4,82,237.3,156.6,167.6,36.9,338.3,334.5,314,253.9,114.6,218.3,88.9,136.8,238.2,68.9,166.7,124.9,411.3,143.3,367.4,180.5,147.9,301,208,388.4,441.1,516.8,279.9,179.2,278.8,161.4
"GilliamCounty",202,249.6,175.5,246.1,219.6,398.4,114,470.7,153.3,338.3,18,132.6,209.4,110.1,319,115.1,348.2,262,276.5,277.5,299,257.2,320.9,203,60.5,156.6,226.6,59.4,231.6,106.3,159.1,234.8,106.5,174.4,52.2,200.4
"GrantCounty",90.1,270.9,266.3,365.2,338.7,394.7,119.4,466.9,162.5,334.5,132.6,34.6,88.5,229.2,328.2,157.4,357.5,271.2,218.7,273.8,320.3,249.9,177.5,266.1,142.2,275.6,289.7,178.5,350.6,114.2,128.1,203.8,201.7,293.4,93.3,319.5
"HarneyCounty",165,274.1,290.1,386,359.4,397.9,172.6,470.1,147.1,314,209.4,88.5,52,268.5,312.8,181.3,342.1,255.8,153.4,277,323.5,253.1,120.5,269.3,210.2,291.5,292.9,253.4,353,205.7,208.1,287.2,242.3,311.2,170.1,304.6
"HoodRiverCounty",255.9,165.1,91.1,161.7,135.2,314,147.4,386.3,141.1,253.9,110.1,229.2,268.5,11.9,360.2,102.9,334.5,249.7,264.3,193.1,214.6,172.7,374.8,118.5,139.2,72.1,142.1,72.8,147.1,160.2,213,288.6,67.1,89.9,148.8,116
"JacksonCounty",406.6,223.6,282.8,360.3,333.8,164.8,230.9,172.4,166.3,114.6,319,328.2,312.8,360.2,27.2,213,49.7,114.6,216.1,175.2,273.1,231.3,410,249.7,354.6,286.9,254.3,291.7,314.4,414.3,467.1,542.8,280.6,285.6,272.4,267.7
"JeffersonCounty",235.9,154.6,124.5,220.3,193.8,278.4,60.2,350.6,47.2,218.2,115.1,157.4,181.3,102.9,212.9,21.8,242.1,155.9,170.5,157.4,204,133.6,278.6,149.8,161.5,125.8,181.6,87.8,205.7,210.4,263.1,338.8,76.7,145.5,101.7,165.5
"JosephineCounty",435.9,197.9,257.1,334.6,308.1,139.1,260.2,128.2,195.6,88.9,348.3,357.5,342.1,334.5,49.7,242.3,20.8,154.3,259.6,149.5,247.4,205.6,439.3,224,448,261.1,228.6,381.6,288.6,469,521.8,597.5,309.9,259.9,301.7,242
"KlamathCounty",349.6,198.2,257.4,334.9,308.4,216.3,173.9,277,109.3,136.8,262,271.2,255.8,249.8,114.6,156,154.3,40.3,179.9,149.8,247.7,205.9,353,224.3,297.6,261.5,228.9,234.7,289,357.3,410.1,485.8,223.6,260.2,215.4,242.3
"LakeCounty",295.2,263.4,286,381.4,354.9,317.7,188.5,382.3,123.9,238.2,276.6,218.7,153.4,264.4,216.1,170.6,259.6,179.9,47,215,312.9,239.1,250.7,255.3,312.2,287.4,278.9,249.3,339,335.9,338.3,417.4,238.2,306.7,230,290.5
"LaneCounty",423.3,56.5,115.7,193.2,166.7,129,176.5,201.3,139.7,68.9,277.5,273.8,277,193.1,175.2,157.5,149.5,149.8,215,35.4,106,64.1,374.2,82.6,306.6,119.7,87.2,240.2,147.2,327.6,380.4,456,219.2,118.5,218,100.6
"LincolnCounty",444.8,49.8,137.1,133.4,148.2,123.4,223.1,195.6,186.2,166.7,299,320.3,323.5,214.6,273.1,204.1,247.4,247.7,312.9,106,17.8,85.6,420.8,104,328.1,123.7,72.4,261.7,78.6,349.1,401.8,477.5,240.6,119.8,264.6,83.2
"LinnCounty",402.9,36.2,69,172.9,146.3,185.1,152.6,257.3,115.8,124.9,257.2,249.9,253.1,172.7,231.3,133.7,205.6,205.9,239.1,64.1,85.6,24.7,350.4,36.3,286.3,99.4,66.8,219.8,126.9,307.2,360,435.7,198.8,98.1,194.2,80.3
"MalheurCounty",119.4,371.3,440.1,510.8,484.3,495.1,269.9,567.4,244.4,411.3,320.9,177.5,120.5,374.8,410,278.6,439.3,353,250.7,374.2,420.8,350.4,51.3,366.6,276.9,421.2,390.2,341.7,496.2,218.7,164.9,243.9,371.1,439,259.1,465.1
"MarionCounty",348.7,54.6,37.4,126.3,99.7,203.5,168.9,275.7,132,143.3,203,266.1,269.3,118.5,249.7,149.9,224,224.3,255.3,82.6,104,36.3,366.6,17.8,232.1,51.9,44.2,165.6,111.7,253,305.8,381.5,144.6,51.5,210.4,54.6
"MorrowCounty",158,278.6,204.6,275.3,248.7,427.5,145.8,499.8,189,367.4,60.5,142.2,210.2,139.2,354.6,161.5,448,297.6,312.2,306.6,328.1,286.3,276.9,232.1,23.3,185.7,255.7,106.1,260.7,62.3,115.1,190.8,135.6,203.5,84,229.5
"MultnomahCounty",302.3,91.8,24.4,90.9,64.4,240.6,170.3,312.9,164,180.5,156.6,275.6,291.5,72.1,286.9,125.8,261.1,261.5,287.3,119.7,141.2,99.4,421.2,51.9,185.7,11.1,68.8,119.2,76.4,206.6,259.4,335.1,113.5,19.2,195.2,45.2
"PolkCounty",372.4,37,64.7,122.4,95.8,183.9,192.3,256.2,155.4,148.1,226.6,289.5,292.7,142.1,254.5,181.6,228.8,229.1,278.7,87.4,72.4,67,390,44,255.7,68.8,14,189.3,72.5,276.7,329.4,405.1,168.2,67.5,233.8,30.9
"ShermanCounty",222.8,212.2,138.2,208.8,182.3,361.1,132.3,433.4,125.9,301,59.4,178.5,253.4,72.8,291.6,87.8,381.6,234.6,249.2,240.2,261.7,219.8,341.7,165.6,106.1,119.2,189.3,14.8,194.2,127.1,179.9,255.5,51.3,137.1,98.1,163.1
"TillamookCounty",377.3,100,96,63.8,82.6,185.3,250.2,257.5,215.6,208.3,231.6,350.6,352.9,147.1,314.7,205.7,289,289.3,338.9,147.5,78.7,127.2,496.2,111.7,260.7,76.4,72.6,194.2,18.8,281.6,334.4,410.1,188.5,65.9,270.2,73.8
"UmatillaCounty",99.8,299.6,225.6,296.2,269.7,448.5,219,520.8,248.6,388.4,106.3,114.2,205.7,160.2,414.2,210.4,469,357.2,335.9,327.6,349.1,307.2,218.7,253,62.3,206.6,276.7,127.1,281.6,29.2,56.9,132.5,156.6,224.5,157.2,250.5
"UnionCounty",46,352.4,278.3,349,322.5,501.3,240.9,573.5,301.3,441.1,159.1,128.1,208.1,213,467,263.1,521.8,410,338.3,380.4,401.8,360,164.9,305.8,115.1,259.4,329.4,179.9,334.4,56.9,23.2,79.1,209.3,277.2,210,303.3
"WallowaCounty",125,428.1,354,424.7,398.1,577,311.4,649.2,377,516.8,234.8,203.8,287.2,288.6,542.7,338.8,597.5,485.7,417.4,456,477.5,435.7,243.9,381.5,190.8,335.1,405.1,255.5,410.1,132.5,79.1,28.9,285,352.9,285.6,379
"WascoCounty",252.3,191.2,111.1,203.1,176.6,340.1,121.2,412.3,114.8,279.9,106.5,201.7,242.3,67.1,280.5,76.7,309.8,223.5,238.1,219.2,240.6,198.8,371.1,144.6,135.6,113.5,168.2,51.3,188.5,156.6,209.3,285,25.2,131.3,121.4,157.4
