Area,Fuel,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bakersfield,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakersfield,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakersfield,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakersfield,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Chico,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Chico,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Chico,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Chico,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresno,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresno,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresno,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresno,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanford,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanford,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanford,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanford,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
LosAngelesLongBeachAnaheim,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
LosAngelesLongBeachAnaheim,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
LosAngelesLongBeachAnaheim,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
LosAngelesLongBeachAnaheim,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Modesto,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Modesto,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Modesto,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Modesto,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Redding,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Redding,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Redding,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Redding,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Reno,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Reno,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Reno,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Reno,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
SanFranciscoOakland,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
SanFranciscoOakland,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
SanFranciscoOakland,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
SanFranciscoOakland,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
SantaRosa,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
SantaRosa,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
SantaRosa,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
SantaRosa,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Stockton,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Stockton,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Stockton,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Stockton,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Visalia,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Visalia,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Visalia,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Visalia,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
YubaCity,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
YubaCity,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
YubaCity,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
YubaCity,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuma,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuma,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuma,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuma,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
