County,Metropolitan,Town
AlamedaCounty,1,1
AlpineCounty,1,1
AmadorCounty,1,1
ButteCounty,1,1
CalaverasCounty,1,1
ColusaCounty,1,1
ContraCostaCounty,1,1
DelNorteCounty,1,1
ElDoradoCounty,1,1
FresnoCounty,1,1
GlennCounty,1,1
HumboldtCounty,1,1
ImperialCounty,1,1
InyoCounty,1,1
KernCounty,1,1
KingsCounty,1,1
LakeCounty,1,1
LassenCounty,1,1
LosAngelesCounty,1,1
MaderaCounty,1,1
MarinCounty,1,1
MariposaCounty,1,1
MendocinoCounty,1,1
MercedCounty,1,1
ModocCounty,1,1
MonoCounty,1,1
MontereyCounty,1,1
NapaCounty,1,1
NevadaCounty,1,1
OrangeCounty,1,1
PlacerCounty,1,1
PlumasCounty,1,1
RiversideCounty,1,1
SacramentoCounty,1,1
SanBenitoCounty,1,1
SanBernardinoCounty,1,1
SanDiegoCounty,1,1
SanFranciscoCounty,1,1
SanJoaquinCounty,1,1
SanLuisObispoCounty,1,1
SanMateoCounty,1,1
SantaBarbaraCounty,1,1
SantaClaraCounty,1,1
SantaCruzCounty,1,1
ShastaCounty,1,1
SierraCounty,1,1
SiskiyouCounty,1,1
SolanoCounty,1,1
SonomaCounty,1,1
StanislausCounty,1,1
SutterCounty,1,1
TehamaCounty,1,1
TrinityCounty,1,1
TulareCounty,1,1
TuolumneCounty,1,1
VenturaCounty,1,1
YoloCounty,1,1
YubaCounty,1,1
