"FAFZone","AndroscogginCounty","AroostookCounty","CumberlandCounty","FranklinCounty","HancockCounty","KennebecCounty","KnoxCounty","LincolnCounty","OxfordCounty","PenobscotCounty","PiscataquisCounty","SagadahocCounty","SomersetCounty","WaldoCounty","WashingtonCounty","YorkCounty"
"11",1329.605,1569.53,1303.48,1394.91,1454.31,1357.57,1378.27,1348.82,1355.36,1453.67,1467.93,1330.75,1420.04,1404.41,1503.89,1278.17
"12",1560.95,1800.85,1534.8,1626.25,1685.65,1588.9,1609.6,1580.2,1586.7,1685,1699.3,1562.1,1651.4,1635.75,1735.25,1509.5
"19",1383.15545454545,1623.06909090909,1357.03636363636,1448.45,1507.86363636364,1411.11090909091,1431.82545454545,1402.37090909091,1408.89818181818,1507.21818181818,1521.47818181818,1384.28909090909,1473.58,1457.96181818182,1557.44909090909,1331.70727272727
"20",1608.07413793103,247.689655172414,1590.96206896552,254.51724137931,1689.78620689655,1626.38620689655,1639.96896551724,1620.66896551724,1568.53103448276,1689.36206896552,264.265517241379,1608.82068965517,270.424137931034,1657.09655172414,1722.27931034483,1539.16551724138
"41",2806.7,3046.65,2780.65,2872,2931.45,2834.65,2855.4,2825.95,2768.45,2930.8,2945.05,2807.85,2897.15,2881.55,2981.05,2755.25
"42",2790.875,3030.8,2764.75,2856.2,2915.575,2818.85,2839.55,2810.1,2752.625,2914.95,2929.2,2792,2881.3,2865.675,2965.15,2739.45
"49",2756.12727272727,2996.04090909091,2730.01818181818,2821.42727272728,2880.84090909091,2784.09545454546,2804.79545454545,2775.34090909091,2717.86818181818,2880.19545454546,2894.46818181819,2757.26818181818,2846.55,2830.93181818182,2930.43181818182,2704.68636363637
"50",1618.59733333333,1858.51866666667,1592.48933333334,1683.89666666667,1743.31066666666,1646.56466666667,1667.28266666667,1637.824,1620.46066666667,1742.674,1756.92733333333,1619.738,1709.02866666667,1693.412,1792.89866666667,1567.16333333333
"61",3125.99,3365.94,3099.9,3143.31,3250.74,3153.96,3174.68,3145.24,3070.06,3250.08,3264.34,3127.14,3216.44,3200.82,3300.32,3031.58
"62",3137.87857142858,3377.8,3111.77142857143,3143.2,3262.6,3165.85714285714,3186.57142857143,3157.1,3077.54285714286,3261.95714285714,3276.2,3139,3228.3,3212.7,3312.18571428571,3032.7
"63",3169.05,3409,3142.9,3234.35,3293.8,3197,3217.7,3188.3,3126.1,3293.1,3307.4,3170.2,3259.5,3243.9,3343.3,3117.6
"64",3252.5875,3492.49166666666,3226.47916666667,3257.89166666667,3377.29166666667,3280.55,3301.25833333334,3271.80833333334,3192.24166666666,3376.65833333334,3390.90833333334,3253.725,3343.025,3327.39166666667,3426.88333333334,3147.40833333334
"65",3276.65,3516.55,3250.5,3281.95,3401.35,3304.6,3325.3,3295.85,3216.3,3400.7,3414.95,3277.8,3367.05,3351.45,3450.9,3171.45
