County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AdamsCounty,12736,4620,8142,21439,8419,11747
AlexanderCounty,1580,546,979,2591,1145,1397
BondCounty,2989,1183,2387,6292,2246,2671
BooneCounty,12819,4382,5437,19233,5930,6364
BrownCounty,906,399,1279,2799,695,859
BureauCounty,6654,2324,3520,11411,4743,6326
CalhounCounty,897,316,493,1657,702,1024
CarrollCounty,2536,978,1446,4743,2422,3262
CassCounty,2783,959,1595,4542,1621,2142
ChampaignCounty,32506,20507,51085,57432,19485,20066
ChristianCounty,6319,2356,3946,11683,4400,6096
ClarkCounty,3023,1085,1768,5441,2072,2946
ClayCounty,2608,926,1498,4447,1868,2468
ClintonCounty,6961,2564,4824,13588,4367,5458
ColesCounty,8278,5218,12500,14611,5835,7431
CookCounty,1013906,360190,808013,1822911,569326,620329
CrawfordCounty,3287,1312,2398,6907,2577,3336
CumberlandCounty,2146,737,1218,3638,1471,1838
DeKalbCounty,19651,9755,24172,31503,9742,10337
DeWittCounty,3121,1099,1686,5744,2143,2768
DouglasCounty,4349,1268,2317,6468,2424,3154
DuPageCounty,185245,65319,114777,332063,113122,106398
EdgarCounty,3367,1164,1951,6024,2601,3469
EdwardsCounty,1274,441,629,2240,946,1191
EffinghamCounty,6896,2469,4156,11356,4169,5196
FayetteCounty,4078,1477,2836,7500,2669,3580
FordCounty,2738,936,1367,4702,1705,2633
FranklinCounty,7334,2610,4225,12866,5248,7278
FultonCounty,6358,2241,4286,12612,4880,6692
GallatinCounty,966,357,580,1739,802,1145
GreeneCounty,2596,945,1510,4707,1740,2388
GrundyCounty,11366,3541,5811,18307,5492,5546
HamiltonCounty,1583,540,897,2622,1144,1671
HancockCounty,3416,1248,1867,6015,2772,3786
HardinCounty,732,245,378,1374,713,878
HendersonCounty,1195,457,661,2369,1117,1532
HenryCounty,9752,3595,4996,16635,6884,8624
IroquoisCounty,5636,2074,2820,9594,3967,5627
JacksonCounty,8883,5471,16550,16057,6255,7002
JasperCounty,1817,619,1031,3253,1289,1689
JeffersonCounty,7108,2551,4682,12991,5207,6288
JerseyCounty,4295,1669,2819,7714,2883,3605
JoDaviessCounty,3871,1278,2006,6955,3736,4832
JohnsonCounty,1971,815,1533,4386,1710,2167
KaneCounty,124475,38272,62996,185907,53929,49690
KankakeeCounty,23713,8819,14935,37388,13357,15237
KendallCounty,30744,7900,13085,44748,9877,8382
KnoxCounty,8951,3580,6651,16691,7284,9762
LakeCounty,157449,56143,82059,254966,79752,73093
LaSalleCounty,21557,7611,13336,38318,14424,18678
LawrenceCounty,2663,997,2465,6051,1974,2683
LeeCounty,6236,2414,4073,12840,4824,5644
LivingstonCounty,7114,2635,4664,13564,4831,6142
LoganCounty,4951,2150,4355,10439,3650,4760
McDonoughCounty,4350,3377,8928,7843,3470,4644
McHenryCounty,68557,23605,32031,118153,35094,31320
McLeanCounty,31985,14903,33103,54823,17418,17340
MaconCounty,20782,7774,13519,35641,14910,18142
MacoupinCounty,8824,3218,5449,15715,6388,8171
MadisonCounty,50539,18360,37776,91611,32568,38428
MarionCounty,7494,2793,4400,12587,5240,6923
MarshallCounty,2197,858,1211,4040,1866,2468
MasonCounty,2624,969,1424,4764,2080,2805
MassacCounty,2898,1007,1575,5148,1963,2838
MenardCounty,2422,889,1190,4386,1840,1978
MercerCounty,3094,1016,1531,5465,2327,3001
MonroeCounty,6637,2138,3318,12180,4026,4658
MontgomeryCounty,5190,1920,3660,10325,3810,5199
MorganCounty,6164,2545,4724,11524,4655,5935
MoultrieCounty,3064,991,1619,4683,1871,2618
OgleCounty,10679,3955,5425,18621,6695,8122
PeoriaCounty,37225,13488,26594,60151,23073,25963
PerryCounty,3808,1485,3032,7732,2778,3515
PiattCounty,3245,1115,1549,5821,2286,2713
PikeCounty,3053,1037,1798,5204,2202,3136
PopeCounty,651,366,501,1300,687,965
PulaskiCounty,1156,430,659,1916,876,1124
PutnamCounty,1045,366,573,2012,941,1069
RandolphCounty,5439,1932,4359,12118,4288,5340
RichlandCounty,2990,1062,1820,5222,2029,3110
RockIslandCounty,27580,9722,18885,47930,19548,23881
StClairCounty,56251,19754,35531,93596,31114,33810
SalineCounty,4587,1828,2760,7848,3305,4585
SangamonCounty,38576,13065,24844,67606,26012,27362
SchuylerCounty,1294,458,722,2613,1059,1398
ScottCounty,1035,358,493,1856,647,966
ShelbyCounty,4092,1513,2256,7178,3092,4232
StarkCounty,1130,412,524,1894,840,1194
StephensonCounty,8794,3283,5001,15267,6408,8958
TazewellCounty,26392,8634,15464,46356,17409,21139
UnionCounty,3131,1161,2018,5786,2477,3235
VermilionCounty,16302,5715,9409,26269,10628,13302
WabashCounty,2190,837,1332,3824,1632,2132
WarrenCounty,3233,1434,2272,5434,2318,3016
WashingtonCounty,2643,981,1597,5077,1915,2503
WayneCounty,3139,1060,1751,5329,2222,3259
WhiteCounty,2543,862,1566,4634,1986,3074
WhitesideCounty,11274,3920,6167,19059,7831,10247
WillCounty,162547,52585,74889,255748,68977,62814
WilliamsonCounty,12224,4153,8186,22386,8571,10837
WinnebagoCounty,60738,20576,36111,100829,36297,40715
WoodfordCounty,8238,2875,4001,12876,4952,5722
