"County","Metropolitan","Town"
"AtlanticCounty",106.17937046884,8.861739358518
"BergenCounty",218.438346659206,0
"BurlingtonCounty",196.046990515466,23.790622224308
"CamdenCounty",153.306779043596,0.06863735254
"CapeMayCounty",58.056563910944,0
"CumberlandCounty",47.483852149626,19.677774144644
"EssexCounty",122.564024284592,0
"GloucesterCounty",158.323429356736,0
"HudsonCounty",46.190988058218,0
"HunterdonCounty",53.205837843488,5.646085762702
"MercerCounty",133.26541225945,0
"MiddlesexCounty",251.964430426994,0
"MonmouthCounty",304.704846247806,0.23145656594
"MorrisCounty",251.630140998782,8.571652045572
"OceanCounty",233.873229323464,18.559950553242
"PassaicCounty",91.053342763544,3.091341879284
"SalemCounty",16.865602158154,5.031976245928
"SomersetCounty",177.038314534436,0
"SussexCounty",22.795047792554,45.132338459336
"UnionCounty",102.854914873832,0
"WarrenCounty",25.624488577096,9.428910841254
