"County","AtlanticCounty","BergenCounty","BurlingtonCounty","CamdenCounty","CapeMayCounty","CumberlandCounty","EssexCounty","GloucesterCounty","HudsonCounty","HunterdonCounty","MercerCounty","MiddlesexCounty","MonmouthCounty","MorrisCounty","OceanCounty","PassaicCounty","SalemCounty","SomersetCounty","SussexCounty","UnionCounty","WarrenCounty"
"AtlanticCounty",13.3,132.9,43.3,45,32.8,33.4,116.1,40.4,118.2,95.9,63.8,85.6,76.2,117.1,46.5,130.7,47.1,96.1,135.9,106.8,114.8
"BergenCounty",132.9,8.1,87.2,97.8,156.9,142.3,17,111.4,17.9,62.9,67.6,41.6,62.2,28.8,86.4,16.5,128.5,52.7,48.2,25.9,63.4
"BurlingtonCounty",43.3,87.2,14.7,20.9,73.6,56,71.9,32.8,72.4,56.6,24.5,46.2,45.9,77.7,38.9,86.5,51.6,56.8,96.5,62.6,75.4
"CamdenCounty",45,97.8,20.9,7.8,72.4,44.3,82.5,13.4,83,68.4,36.3,56.8,62.2,89.5,52.3,97.1,30.8,67.4,108.3,73.2,87.2
"CapeMayCounty",32.8,156.9,73.6,72.4,12.8,34.4,140,59,142.1,126.2,94.1,114.3,100.1,154,70.5,154.6,64.3,136.2,166.1,130.7,145
"CumberlandCounty",33.4,142.3,56,44.3,34.4,13.4,127,30.9,127.6,111.2,79.1,101.3,106.7,132.3,78.2,145.8,31.7,105.6,151.2,117.7,130
"EssexCounty",116.1,17,71.9,82.5,140,127,5.9,96.2,13.4,48,52.3,26.3,45.4,19.6,69.6,16.7,113.3,33.6,38.9,11,54.2
"GloucesterCounty",40.4,111.4,32.8,13.4,59,30.9,96.2,9.4,96.7,80.3,48.2,70.4,75.9,101.4,65.3,114.9,18.9,74.7,120.3,86.9,99.2
"HudsonCounty",118.2,17.9,72.4,83,142.1,127.6,13.4,96.7,4.1,52.9,52.8,26.8,47.5,31,71.7,21.4,113.8,38.1,51.6,15.9,63.9
"HunterdonCounty",95.9,62.9,56.6,68.4,126.2,111.2,48,80.3,52.9,10.8,33.9,44.5,67.2,42.2,73.4,55.7,99.1,28.6,50.9,46.9,23.3
"MercerCounty",63.8,67.6,24.5,36.3,94.1,79.1,52.3,48.2,52.8,33.9,7.8,26.6,36,55,41.3,68.5,67,28.2,73.8,43,52.7
"MiddlesexCounty",85.6,41.6,46.2,56.8,114.3,101.3,26.3,70.4,26.8,44.5,26.6,9.2,25.9,47.8,43.9,40.9,87.5,18.9,66.7,17,55.5
"MonmouthCounty",76.2,62.2,45.9,62.2,100.1,106.7,45.4,75.9,47.5,67.2,36,25.9,13.3,59.4,29.7,60,92.9,41.5,82.9,36.1,78.2
"MorrisCounty",117.1,28.8,77.7,89.5,154,132.3,19.6,101.4,31,42.2,55,47.8,59.4,11.3,83.6,21.6,120.2,31.9,26.5,25,36.7
"OceanCounty",46.5,86.4,38.9,52.3,70.5,78.2,69.6,65.3,71.7,73.4,41.3,43.9,29.7,83.6,15.6,84.2,83,65.7,107.1,60.3,102.4
"PassaicCounty",130.7,16.5,86.5,97.1,154.6,145.8,16.7,114.9,21.4,55.7,68.5,40.9,60,21.6,84.2,7.2,127.8,45.4,40.9,25.6,56.2
"SalemCounty",47.1,128.5,51.6,30.8,64.3,31.7,113.3,18.9,113.8,99.1,67,87.5,92.9,120.2,83,127.8,9.9,98.1,139.1,103.9,117.9
"SomersetCounty",96.1,52.7,56.8,67.4,136.2,105.6,33.6,74.7,38.1,28.6,28.2,18.9,41.5,31.9,65.7,45.4,98.1,9,50.8,28.3,39.6
"SussexCounty",135.9,48.2,96.5,108.3,166.1,151.2,38.9,120.3,51.6,50.9,73.8,66.7,82.9,26.5,107.1,40.9,139.1,50.8,11.9,48.5,39.4
"UnionCounty",106.8,25.9,62.6,73.2,130.7,117.7,11,86.9,15.9,46.9,43,17,36.1,25,60.3,25.6,103.9,28.3,48.5,5.3,57.9
"WarrenCounty",114.8,63.4,75.4,87.2,145,130,54.2,99.2,63.9,23.3,52.7,55.5,78.2,36.7,102.4,56.2,117.9,39.6,39.4,57.9,9.8
