"County","Metropolitan","Town","Rural"
"AtlanticCounty",0.8252,0.0476,0.1271
"BergenCounty",0.999,0,0.001
"BurlingtonCounty",0.8551,0.0783,0.0666
"CamdenCounty",0.9837,1e-04,0.0162
"CapeMayCounty",0.8255,0,0.1745
"CumberlandCounty",0.5223,0.2474,0.2303
"EssexCounty",0.9999,0,1e-04
"GloucesterCounty",0.9165,0,0.0835
"HudsonCounty",1,0,0
"HunterdonCounty",0.4557,0.0486,0.4957
"MercerCounty",0.9652,0,0.0348
"MiddlesexCounty",0.9933,0,0.0067
"MonmouthCounty",0.9625,2e-04,0.0373
"MorrisCounty",0.9119,0.0204,0.0677
"OceanCounty",0.9225,0.0485,0.029
"PassaicCounty",0.9657,0.0102,0.0241
"SalemCounty",0.3969,0.1501,0.453
"SomersetCounty",0.9421,0,0.0579
"SussexCounty",0.2505,0.351,0.3985
"UnionCounty",1,0,0
"WarrenCounty",0.4831,0.1413,0.3756
