"SCTG","Payload","N"
1,12.2468285097997,1
2,13.9906102244086,5
3,10.2192624830766,27
4,11.2798150119434,2
5,15.3568767024241,8
6,2.08595387147388,16
7,15.5851467310728,40
8,10.2941785681165,5
9,12.5303662811142,0
10,12.7559630168912,4
11,14.7601763932821,6
12,14.9687284332122,35
13,14.57148120894,4
14,19.7343283246373,0
15,21.9759244651015,0
16,14.0428921341034,0
17,23.1112804720966,15
18,13.1297089121749,20
19,9.3205966594687,2
20,14.6935220971178,8
21,5.12434471305138,2
22,9.93234871988097,2
23,13.6163760283889,11
24,9.66549316294252,3
25,17.5629107877451,5
26,8.50592888381496,18
27,16.5382555630002,4
28,13.1552492378572,5
29,5.51350467372506,5
30,10.307661585523,4
31,11.1717395215367,34
32,10.7565171173878,10
33,4.22841246887455,62
34,8.94898204691753,24
35,6.91185118160956,5
36,8.45025804799023,32
37,17.1134794135312,4
38,4.51852664992441,2
39,5.09791789060831,15
40,7.30431970000221,213
41,15.1372207466769,59
43,17.738410188269,51
99,10.8934974922361,1
