County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AbbevilleCounty,4750,1902,2767,8062,3733,4203
AikenCounty,30271,10993,20094,52714,21408,24619
AllendaleCounty,1893,720,1404,3566,1461,1375
AndersonCounty,37297,12518,21158,63661,24163,28329
BambergCounty,2876,1569,2121,4642,2214,2565
BarnwellCounty,4737,1704,2545,7445,3017,3173
BeaufortCounty,29079,9956,22598,45409,22159,33032
BerkeleyCounty,37532,12794,27264,62331,20128,17794
CalhounCounty,2708,982,1617,5004,2394,2470
CharlestonCounty,61382,22528,62647,115872,43059,44721
CherokeeCounty,11267,3999,6784,18788,7062,7442
ChesterCounty,6468,2333,3768,11245,4491,4835
ChesterfieldCounty,9393,3447,5258,16045,6259,6332
ClarendonCounty,6325,2580,4474,10603,5122,5867
ColletonCounty,7800,2682,4340,12518,5474,6078
DarlingtonCounty,13638,5083,7627,22895,9645,9793
DillonCounty,7066,2430,3940,10439,4028,4159
DorchesterCounty,30521,10033,17425,49312,15415,13849
EdgefieldCounty,4681,1822,3209,9971,3778,3524
FairfieldCounty,4408,1616,2624,8040,3703,3565
FlorenceCounty,27921,9439,18034,45857,17617,18017
GeorgetownCounty,10654,3705,5481,18486,9912,11920
GreenvilleCounty,91128,30722,60539,158150,53105,57581
GreenwoodCounty,13658,5259,9479,22282,8439,10544
HamptonCounty,4146,1524,2538,7357,2696,2829
HorryCounty,45084,16805,35713,87093,38526,46070
JasperCounty,5116,1751,3922,8491,2728,2769
KershawCounty,12486,4182,6732,20988,8512,8797
LancasterCounty,14861,4823,8647,26338,10246,11737
LaurensCounty,12696,4901,8116,21923,8913,9988
LeeCounty,3485,1334,2724,6477,2604,2596
LexingtonCounty,53143,17581,33883,93153,32520,32111
McCormickCounty,1184,455,1011,3271,1863,2449
MarionCounty,6597,2363,3748,10583,4919,4852
MarlboroCounty,5119,1872,3776,10606,3781,3779
NewberryCounty,7142,2643,4645,12019,5100,5959
OconeeCounty,12906,4798,8054,23494,10915,14106
OrangeburgCounty,17642,7490,13358,27990,12287,13734
PickensCounty,20059,11466,21813,36187,13706,15993
RichlandCounty,72247,33358,72095,128118,41145,37541
SaludaCounty,3824,1316,2554,6395,2591,3195
SpartanburgCounty,57356,21032,35927,96578,35187,38227
SumterCounty,22871,7921,15863,34737,12143,13921
UnionCounty,5350,1980,2966,9858,4038,4769
WilliamsburgCounty,6566,2470,3918,11387,5043,5039
YorkCounty,48103,16108,27672,82018,26546,25626
