County,Region,Msa
WhitfieldCounty,,Chattanooga
WilcoxCounty,,NA
WilkesCounty,,NA
WilkinsonCounty,,NA
WorthCounty,,NA
ApplingCounty,,NA
AtkinsonCounty,,NA
BaconCounty,,NA
BakerCounty,,NA
BaldwinCounty,,NA
BanksCounty,,NA
BarrowCounty,,Atlanta
BartowCounty,,Atlanta
BenHillCounty,,NA
BerrienCounty,,NA
BibbCounty,,Macon
BleckleyCounty,,NA
BrantleyCounty,,NA
BrooksCounty,,Valdosta
BryanCounty,,Savannah
BullochCounty,,NA
BurkeCounty,,NA
ButtsCounty,,NA
CalhounCounty,,NA
CamdenCounty,,NA
CandlerCounty,,NA
CarrollCounty,,Atlanta
CatoosaCounty,,Chattanooga
CharltonCounty,,NA
ChathamCounty,,Savannah
ChattahoocheeCounty,,Columbus
ChattoogaCounty,,NA
CherokeeCounty,,Atlanta
ClarkeCounty,,Atlanta
ClayCounty,,NA
ClaytonCounty,,Atlanta
ClinchCounty,,NA
CobbCounty,,Atlanta
CoffeeCounty,,NA
ColquittCounty,,NA
ColumbiaCounty,,AugustaRichmondCounty
CookCounty,,NA
CowetaCounty,,Atlanta
CrawfordCounty,,NA
CrispCounty,,NA
DadeCounty,,Chattanooga
DawsonCounty,,Atlanta
DecaturCounty,,NA
DeKalbCounty,,Atlanta
DodgeCounty,,NA
DoolyCounty,,NA
DoughertyCounty,,Albany
DouglasCounty,,Atlanta
EarlyCounty,,NA
EcholsCounty,,NA
EffinghamCounty,,Savannah
ElbertCounty,,NA
EmanuelCounty,,NA
EvansCounty,,NA
FanninCounty,,NA
FayetteCounty,,Atlanta
FloydCounty,,Rome
ForsythCounty,,Atlanta
FranklinCounty,,NA
FultonCounty,,Atlanta
GilmerCounty,,NA
GlascockCounty,,NA
GlynnCounty,,Brunswick
GordonCounty,,NA
GradyCounty,,NA
GreeneCounty,,NA
GwinnettCounty,,Atlanta
HabershamCounty,,NA
HallCounty,,Atlanta
HancockCounty,,NA
HaralsonCounty,,NA
HarrisCounty,,Columbus
HartCounty,,NA
HeardCounty,,NA
HenryCounty,,Atlanta
HoustonCounty,,Macon
IrwinCounty,,NA
JacksonCounty,,Atlanta
JasperCounty,,NA
JeffDavisCounty,,NA
JeffersonCounty,,NA
JenkinsCounty,,NA
JohnsonCounty,,NA
JonesCounty,,Macon
LamarCounty,,NA
LanierCounty,,NA
LaurensCounty,,NA
LeeCounty,,Albany
LibertyCounty,,Hinesville
LincolnCounty,,NA
LongCounty,,Hinesville
LowndesCounty,,Valdosta
LumpkinCounty,,NA
McDuffieCounty,,NA
McIntoshCounty,,NA
MaconCounty,,NA
MadisonCounty,,Atlanta
MarionCounty,,NA
MeriwetherCounty,,NA
MillerCounty,,NA
MitchellCounty,,NA
MonroeCounty,,Macon
MontgomeryCounty,,NA
MorganCounty,,NA
MurrayCounty,,Chattanooga
MuscogeeCounty,,Columbus
NewtonCounty,,Atlanta
OconeeCounty,,Atlanta
OglethorpeCounty,,Atlanta
PauldingCounty,,Atlanta
PeachCounty,,Macon
PickensCounty,,NA
PierceCounty,,NA
PikeCounty,,Atlanta
PolkCounty,,NA
PulaskiCounty,,NA
PutnamCounty,,NA
QuitmanCounty,,NA
RabunCounty,,NA
RandolphCounty,,NA
RichmondCounty,,AugustaRichmondCounty
RockdaleCounty,,Atlanta
SchleyCounty,,NA
ScrevenCounty,,NA
SeminoleCounty,,NA
SpaldingCounty,,Atlanta
StephensCounty,,NA
StewartCounty,,NA
SumterCounty,,NA
TalbotCounty,,NA
TaliaferroCounty,,NA
TattnallCounty,,NA
TaylorCounty,,NA
TelfairCounty,,NA
TerrellCounty,,NA
ThomasCounty,,NA
TiftCounty,,NA
ToombsCounty,,NA
TownsCounty,,NA
TreutlenCounty,,NA
TroupCounty,,NA
TurnerCounty,,NA
TwiggsCounty,,NA
UnionCounty,,NA
UpsonCounty,,NA
WalkerCounty,,Chattanooga
WaltonCounty,,Atlanta
WareCounty,,NA
WarrenCounty,,NA
WashingtonCounty,,NA
WayneCounty,,NA
WebsterCounty,,NA
WheelerCounty,,NA
WhiteCounty,,NA
