"County","Density"
"ApplingCounty",26
"AtkinsonCounty",24.7
"BaconCounty",30.1
"BakerCounty",10.1
"BaldwinCounty",71.5
"BanksCounty",74.9
"BarrowCounty",206.1
"BartowCounty",89.2
"BenHillCounty",24.8
"BerrienCounty",32.7
"BibbCounty",144.9
"BleckleyCounty",31.9
"BrantleyCounty",41.4
"BrooksCounty",23.6
"BryanCounty",37.5
"BullochCounty",52.4
"BurkeCounty",21.3
"ButtsCounty",102.6
"CalhounCounty",23.9
"CamdenCounty",27.3
"CandlerCounty",30.7
"CarrollCounty",107.5
"CatoosaCounty",148.8
"CharltonCounty",8.1
"ChathamCounty",44.8
"ChattahoocheeCounty",13.7
"ChattoogaCounty",49.3
"CherokeeCounty",130.6
"ClarkeCounty",136.2
"ClayCounty",16.3
"ClaytonCounty",124.1
"ClinchCounty",5.1
"CobbCounty",311
"CoffeeCounty",50.1
"ColquittCounty",51
"ColumbiaCounty",90.1
"CookCounty",46.2
"CowetaCounty",119
"CrawfordCounty",38.9
"CrispCounty",41.6
"DadeCounty",71.1
"DawsonCounty",88.2
"DecaturCounty",26.8
"DeKalbCounty",142.4
"DodgeCounty",32.1
"DoolyCounty",20.6
"DoughertyCounty",48.4
"DouglasCounty",180.3
"EarlyCounty",14.2
"EcholsCounty",9.7
"EffinghamCounty",75.4
"ElbertCounty",41.2
"EmanuelCounty",22.5
"EvansCounty",37.5
"FanninCounty",61.2
"FayetteCounty",180.7
"FloydCounty",76.7
"ForsythCounty",254.2
"FranklinCounty",75.8
"FultonCounty",91.9
"GilmerCounty",58.8
"GlascockCounty",21.4
"GlynnCounty",44.6
"GordonCounty",87.1
"GradyCounty",34.8
"GreeneCounty",34.4
"GwinnettCounty",194.4
"HabershamCounty",98
"HallCounty",144.9
"HancockCounty",12.4
"HaralsonCounty",80.8
"HarrisCounty",66.9
"HartCounty",83
"HeardCounty",40
"HenryCounty",191.6
"HoustonCounty",48.1
"IrwinCounty",17.5
"JacksonCounty",118.3
"JasperCounty",31
"JeffDavisCounty",32.1
"JeffersonCounty",26.1
"JenkinsCounty",16
"JohnsonCounty",21.9
"JonesCounty",50.5
"LamarCounty",62.6
"LanierCounty",38.9
"LaurensCounty",35
"LeeCounty",30.4
"LibertyCounty",31.8
"LincolnCounty",38
"LongCounty",29.6
"LowndesCounty",67.8
"LumpkinCounty",90.2
"McDuffieCounty",53.1
"McIntoshCounty",25.3
"MaconCounty",19.9
"MadisonCounty",92.6
"MarionCounty",23.9
"MeriwetherCounty",36.8
"MillerCounty",21.7
"MitchellCounty",25.4
"MonroeCounty",54.2
"MontgomeryCounty",37.6
"MorganCounty",39.2
"MurrayCounty",84.8
"MuscogeeCounty",44.4
"NewtonCounty",152.4
"OconeeCounty",103.9
"OglethorpeCounty",33.7
"PauldingCounty",144.5
"PeachCounty",79.2
"PickensCounty",97.3
"PierceCounty",47.5
"PikeCounty",82
"PolkCounty",72.4
"PulaskiCounty",32.6
"PutnamCounty",50.4
"QuitmanCounty",12.2
"RabunCounty",35.2
"RandolphCounty",9.2
"RichmondCounty",84.8
"RockdaleCounty",182.2
"SchleyCounty",30
"ScrevenCounty",18
"SeminoleCounty",25.8
"SpaldingCounty",158.6
"StephensCounty",91.1
"StewartCounty",13.2
"SumterCounty",29.1
"TalbotCounty",16.5
"TaliaferroCounty",8.8
"TattnallCounty",36.8
"TaylorCounty",23.6
"TelfairCounty",17.9
"TerrellCounty",14.6
"ThomasCounty",39.4
"TiftCounty",67.8
"ToombsCounty",39.5
"TownsCounty",62.9
"TreutlenCounty",20.6
"TroupCounty",77.6
"TurnerCounty",15.7
"TwiggsCounty",25.2
"UnionCounty",66.3
"UpsonCounty",40.7
"WalkerCounty",73.7
"WaltonCounty",131.7
"WareCounty",12.3
"WarrenCounty",20.5
"WashingtonCounty",20.7
"WayneCounty",27.6
"WebsterCounty",13.4
"WheelerCounty",25.1
"WhiteCounty",96.4
"WhitfieldCounty",131.2
"WilcoxCounty",24.5
"WilkesCounty",15.3
"WilkinsonCounty",21.4
"WorthCounty",26.5
