Msa,DvmtFactor
Albany,0.75
Chattanooga,0.80
Columbus,0.80
Macon,0.85
Valdosta,0.75
AugustaRichmondCounty,0.85
Brunswick,0.75
Savannah,0.80
Rome,0.75
Hinesville,0.75
Atlanta,1.00
