"County","Metropolitan","Town","Rural"
"ApplingCounty",0,0.2856,0.7144
"AtkinsonCounty",0,0,1
"BaconCounty",0,0.3071,0.6929
"BakerCounty",0,0,1
"BaldwinCounty",0,0.6486,0.3514
"BanksCounty",0,0.0617,0.9383
"BarrowCounty",0.1669,0.5325,0.3006
"BartowCounty",0.6002,0.0475,0.3523
"BenHillCounty",0,0.66,0.34
"BerrienCounty",0,0.2386,0.7614
"BibbCounty",0.8559,0,0.1441
"BleckleyCounty",0,0.4841,0.5159
"BrantleyCounty",0,0.0055,0.9945
"BrooksCounty",0.0576,0.232,0.7104
"BryanCounty",0.3056,0.1709,0.5234
"BullochCounty",0,0.5172,0.4828
"BurkeCounty",0,0.25,0.75
"ButtsCounty",0,0.2206,0.7794
"CalhounCounty",0,0,1
"CamdenCounty",0,0.6856,0.3144
"CandlerCounty",0,0.3303,0.6697
"CarrollCounty",0.1939,0.3879,0.4183
"CatoosaCounty",0.719,0,0.281
"CharltonCounty",0,0.4898,0.5102
"ChathamCounty",0.9429,0.0121,0.045
"ChattahoocheeCounty",0.7048,0,0.2952
"ChattoogaCounty",0,0.4244,0.5756
"CherokeeCounty",0.8193,0.0097,0.171
"ClarkeCounty",0.9414,0,0.0586
"ClayCounty",0,0,1
"ClaytonCounty",0.9911,0,0.0089
"ClinchCounty",0,0.3957,0.6043
"CobbCounty",0.9975,0,0.0025
"CoffeeCounty",0,0.3342,0.6658
"ColquittCounty",0,0.4105,0.5895
"ColumbiaCounty",0.8159,0.0218,0.1623
"CookCounty",0,0.4059,0.5941
"CowetaCounty",0.6505,0.0202,0.3293
"CrawfordCounty",0,0,1
"CrispCounty",0,0.5297,0.4703
"DadeCounty",0.1074,0.1713,0.7213
"DawsonCounty",0.1969,0,0.8031
"DecaturCounty",0,0.4352,0.5648
"DeKalbCounty",0.9974,0,0.0026
"DodgeCounty",0,0.2777,0.7223
"DoolyCounty",0,0.4633,0.5367
"DoughertyCounty",0.8604,0,0.1396
"DouglasCounty",0.8424,0,0.1576
"EarlyCounty",0,0.3405,0.6595
"EcholsCounty",0,0,1
"EffinghamCounty",0.0278,0.3016,0.6705
"ElbertCounty",0,0.2938,0.7062
"EmanuelCounty",0,0.3312,0.6688
"EvansCounty",0,0.3872,0.6128
"FanninCounty",0,0,1
"FayetteCounty",0.8182,0,0.1818
"FloydCounty",0.6318,0,0.3682
"ForsythCounty",0.9008,0,0.0992
"FranklinCounty",0,0.1107,0.8893
"FultonCounty",0.9892,0,0.0108
"GilmerCounty",0,0.1236,0.8764
"GlascockCounty",0,0,1
"GlynnCounty",0.6408,0.1535,0.2057
"GordonCounty",0,0.4844,0.5156
"GradyCounty",0,0.3764,0.6236
"GreeneCounty",0,0.1725,0.8275
"GwinnettCounty",0.9951,0,0.0049
"HabershamCounty",0,0.4124,0.5876
