County,Metropolitan,Town
AdairCounty,1,1
AlfalfaCounty,1,1
AtokaCounty,1,1
BeaverCounty,1,1
BeckhamCounty,1,1
BlaineCounty,1,1
BryanCounty,1,1
CaddoCounty,1,1
CanadianCounty,1,1
CarterCounty,1,1
CherokeeCounty,1,1
ChoctawCounty,1,1
CimarronCounty,1,1
ClevelandCounty,1,1
CoalCounty,1,1
ComancheCounty,1,1
CottonCounty,1,1
CraigCounty,1,1
CreekCounty,1,1
CusterCounty,1,1
DelawareCounty,1,1
DeweyCounty,1,1
EllisCounty,1,1
GarfieldCounty,1,1
GarvinCounty,1,1
GradyCounty,1,1
GrantCounty,1,1
GreerCounty,1,1
HarmonCounty,1,1
HarperCounty,1,1
HaskellCounty,1,1
HughesCounty,1,1
JacksonCounty,1,1
JeffersonCounty,1,1
JohnstonCounty,1,1
KayCounty,1,1
KingfisherCounty,1,1
KiowaCounty,1,1
LatimerCounty,1,1
LeFloreCounty,1,1
LincolnCounty,1,1
LoganCounty,1,1
LoveCounty,1,1
MajorCounty,1,1
MarshallCounty,1,1
MayesCounty,1,1
McClainCounty,1,1
McCurtainCounty,1,1
McIntoshCounty,1,1
MurrayCounty,1,1
MuskogeeCounty,1,1
NobleCounty,1,1
NowataCounty,1,1
OkfuskeeCounty,1,1
OklahomaCounty,1,1
OkmulgeeCounty,1,1
OsageCounty,1,1
OttawaCounty,1,1
PawneeCounty,1,1
PayneCounty,1,1
PittsburgCounty,1,1
PontotocCounty,1,1
PottawatomieCounty,1,1
PushmatahaCounty,1,1
RogerMillsCounty,1,1
RogersCounty,1,1
SeminoleCounty,1,1
SequoyahCounty,1,1
StephensCounty,1,1
TexasCounty,1,1
TillmanCounty,1,1
TulsaCounty,1,1
WagonerCounty,1,1
WashingtonCounty,1,1
WashitaCounty,1,1
WoodsCounty,1,1
WoodwardCounty,1,1
