Msa,DvmtFactor
Joplin,0.75
KansasCity,1.00
StJoseph,0.75
Columbia,0.75
FayettevilleSpringdaleRogers,0.70
StLouis,1.00
Springfield,0.80
JeffersonCity,0.75
