"County","Density"
"AdairCounty",17.3
"AndrewCounty",24.7
"AtchisonCounty",10.4
"AudrainCounty",15.3
"BarryCounty",33.8
"BartonCounty",13.5
"BatesCounty",15.8
"BentonCounty",23.5
"BollingerCounty",20
"BooneCounty",49.3
"BuchananCounty",32.2
"ButlerCounty",32.9
"CaldwellCounty",22.1
"CallawayCounty",33.4
"CamdenCounty",51
"CapeGirardeauCounty",42.4
"CarrollCounty",8.7
"CarterCounty",12.3
"CassCounty",48.9
"CedarCounty",22.3
"CharitonCounty",10.4
"ChristianCounty",64.9
"ClarkCounty",14.1
"ClayCounty",73.7
"ClintonCounty",38
"ColeCounty",61.7
"CooperCounty",16.7
"CrawfordCounty",24.6
"DadeCounty",16.1
"DallasCounty",25.5
"DaviessCounty",15
"DeKalbCounty",19.2
"DentCounty",14.3
"DouglasCounty",13.3
"DunklinCounty",30.3
"FranklinCounty",63.2
"GasconadeCounty",23.9
"GentryCounty",13.7
"GreeneCounty",69.5
"GrundyCounty",10.8
"HarrisonCounty",8.7
"HenryCounty",16
"HickoryCounty",24.1
"HoltCounty",10.6
"HowardCounty",14.1
"HowellCounty",31.7
"IronCounty",14.5
"JacksonCounty",78.3
"JasperCounty",48.4
"JeffersonCounty",121.6
"JohnsonCounty",32.7
"KnoxCounty",8.2
"LacledeCounty",28.6
"LafayetteCounty",30.6
"LawrenceCounty",37.7
"LewisCounty",20.2
"LincolnCounty",63.7
"LinnCounty",13.8
"LivingstonCounty",10.6
"McDonaldCounty",42.8
"MaconCounty",13.2
"MadisonCounty",16.3
"MariesCounty",17.4
"MarionCounty",16.8
"MercerCounty",8.3
"MillerCounty",33.5
"MississippiCounty",11.6
"MoniteauCounty",20
"MonroeCounty",13.6
"MontgomeryCounty",18
"MorganCounty",34.4
"NewMadridCounty",16.1
"NewtonCounty",61.7
"NodawayCounty",11.6
"OregonCounty",11.1
"OsageCounty",23
"OzarkCounty",13.1
"PemiscotCounty",18.5
"PerryCounty",22.6
"PettisCounty",24
"PhelpsCounty",31.7
"PikeCounty",15.1
"PlatteCounty",38.9
"PolkCounty",34
"PulaskiCounty",44.2
"PutnamCounty",9.6
"RallsCounty",20.8
"RandolphCounty",24.2
"RayCounty",31.3
"ReynoldsCounty",8.3
"RipleyCounty",22.4
"StCharlesCounty",50.4
"StClairCounty",14.6
"SteGenevieveCounty",27.8
"StFrancoisCounty",60.6
"StLouisCounty",89.3
"SalineCounty",14.3
"SchuylerCounty",14.4
"ScotlandCounty",11.1
"ScottCounty",39.9
"ShannonCounty",8.4
"ShelbyCounty",12.7
"StoddardCounty",25.6
"StoneCounty",62.3
"SullivanCounty",10.4
"TaneyCounty",37.8
"TexasCounty",21.9
"VernonCounty",15
"WarrenCounty",48.8
"WashingtonCounty",26.8
"WayneCounty",17.8
"WebsterCounty",45.6
"WorthCounty",8.1
"WrightCounty",21.2
"StLouiscity",5.8
