"SCTG","Payload","N"
1,9.99492393165199,13
2,14.8507168835239,96
3,11.0622604423582,18
4,10.6616634112642,26
5,18.488859317414,19
6,6.00460865406664,16
7,15.7658171913703,30
8,10.2941785681165,7
9,12.5303662811142,0
10,12.7559630168912,2
11,14.7601763932821,2
12,14.0332920801381,79
13,14.57148120894,6
14,19.7343283246373,1
15,21.9759244651015,1
16,14.0428921341034,1
17,24.3515448152176,5
18,11.7399553387464,5
19,8.1666380218231,12
20,14.6935220971178,3
21,5.12434471305138,0
22,8.8624425230792,13
23,12.2174191704086,4
24,9.66549316294252,5
25,20.0224679218375,12
26,6.96777745051085,27
27,16.5382555630002,1
28,13.1552492378572,5
29,5.51350467372506,2
30,10.307661585523,7
31,15.2842193538604,59
32,18.5253011170115,18
33,6.60918451437731,44
34,15.711823790182,37
35,6.91185118160956,3
36,8.51975845234612,28
37,17.1134794135312,4
38,4.51852664992441,0
39,20.1508728280451,18
40,6.90910565885259,180
41,8.61009181335302,37
43,15.2399422010851,87
99,10.8934974922361,5
