"County","Density"
"AdamsCounty",26.9
"AlcornCounty",63.4
"AmiteCounty",18
"AttalaCounty",17.2
"BentonCounty",21.5
"BolivarCounty",21.2
"CalhounCounty",25.5
"CarrollCounty",16.9
"ChickasawCounty",29.7
"ChoctawCounty",20.4
"ClaiborneCounty",19.7
"ClarkeCounty",24.2
"ClayCounty",28.4
"CoahomaCounty",15.4
"CopiahCounty",25.1
"CovingtonCounty",47.3
"DeSotoCounty",86.4
"ForrestCounty",51.8
"FranklinCounty",14.4
"GeorgeCounty",41.9
"GreeneCounty",20.2
"GrenadaCounty",27.7
"HancockCounty",41.4
"HarrisonCounty",91
"HindsCounty",49.9
"HolmesCounty",22.1
"HumphreysCounty",11.2
"IssaquenaCounty",3.4
"ItawambaCounty",38.1
"JacksonCounty",59.8
"JasperCounty",25.2
"JeffersonCounty",14.9
"JeffersonDavisCounty",30.6
"JonesCounty",61.6
"KemperCounty",13.6
"LafayetteCounty",35.1
"LamarCounty",60.1
"LauderdaleCounty",57.7
"LawrenceCounty",30
"LeakeCounty",33.4
"LeeCounty",94.5
"LefloreCounty",9.9
"LincolnCounty",42
"LowndesCounty",53.5
"MadisonCounty",40.4
"MarionCounty",36.9
"MarshallCounty",44.1
"MonroeCounty",34
"MontgomeryCounty",16.2
"NeshobaCounty",38.9
"NewtonCounty",32.9
"NoxubeeCounty",12.3
"OktibbehaCounty",39.4
"PanolaCounty",40.5
"PearlRiverCounty",49.2
"PerryCounty",18.9
"PikeCounty",60.6
"PontotocCounty",51.1
"PrentissCounty",47
"QuitmanCounty",11.6
"RankinCounty",69.2
"ScottCounty",33.8
"SharkeyCounty",11.4
"SimpsonCounty",39.8
"SmithCounty",25.9
"StoneCounty",31.7
"SunflowerCounty",19.5
"TallahatchieCounty",19.3
"TateCounty",55.8
"TippahCounty",41
"TishomingoCounty",46.2
"TunicaCounty",15.7
"UnionCounty",50.1
"WalthallCounty",38.2
"WarrenCounty",35.4
"WashingtonCounty",12.8
"WayneCounty",20.5
"WebsterCounty",24.4
"WilkinsonCounty",14.6
"WinstonCounty",24.2
"YalobushaCounty",21.6
"YazooCounty",13.7
