County,Region,Msa
DeSotoCounty,,Memphis
ForrestCounty,,Hattiesburg
FranklinCounty,,NA
GeorgeCounty,,NA
UnionCounty,,NA
GreeneCounty,,NA
GrenadaCounty,,NA
WinstonCounty,,NA
HancockCounty,,Gulfport
HarrisonCounty,,Gulfport
HindsCounty,,Jackson
HolmesCounty,,NA
YalobushaCounty,,NA
HumphreysCounty,,NA
IssaquenaCounty,,NA
TateCounty,,NA
ItawambaCounty,,NA
JacksonCounty,,Gulfport
WashingtonCounty,,NA
JasperCounty,,NA
JeffersonCounty,,NA
JeffersonDavisCounty,,NA
JonesCounty,,NA
KemperCounty,,NA
LafayetteCounty,,NA
SmithCounty,,NA
LamarCounty,,Hattiesburg
LauderdaleCounty,,NA
TunicaCounty,,NA
LawrenceCounty,,NA
LeakeCounty,,NA
WilkinsonCounty,,NA
LeeCounty,,NA
LefloreCounty,,NA
LincolnCounty,,NA
LowndesCounty,,NA
MadisonCounty,,Jackson
MarionCounty,,NA
TallahatchieCounty,,NA
MarshallCounty,,NA
MonroeCounty,,NA
WarrenCounty,,NA
MontgomeryCounty,,NA
NeshobaCounty,,NA
NewtonCounty,,NA
NoxubeeCounty,,NA
OktibbehaCounty,,NA
PanolaCounty,,NA
PearlRiverCounty,,NA
PerryCounty,,NA
YazooCounty,,NA
PikeCounty,,NA
PontotocCounty,,NA
WebsterCounty,,NA
PrentissCounty,,NA
TishomingoCounty,,NA
QuitmanCounty,,NA
AttalaCounty,,NA
RankinCounty,,Jackson
ScottCounty,,NA
SharkeyCounty,,NA
SimpsonCounty,,NA
AdamsCounty,,NA
AlcornCounty,,NA
WalthallCounty,,NA
SunflowerCounty,,NA
StoneCounty,,NA
BentonCounty,,NA
BolivarCounty,,NA
CalhounCounty,,NA
CarrollCounty,,NA
ChickasawCounty,,NA
ChoctawCounty,,NA
TippahCounty,,NA
ClaiborneCounty,,NA
ClarkeCounty,,NA
WayneCounty,,NA
ClayCounty,,NA
CoahomaCounty,,NA
AmiteCounty,,NA
CopiahCounty,,NA
CovingtonCounty,,NA
