"FAFZone","AdamsCounty","AlcornCounty","AmiteCounty","AttalaCounty","BentonCounty","BolivarCounty","CalhounCounty","CarrollCounty","ChickasawCounty","ChoctawCounty","ClaiborneCounty","ClarkeCounty","ClayCounty","CoahomaCounty","CopiahCounty","CovingtonCounty","DeSotoCounty","ForrestCounty","FranklinCounty","GeorgeCounty","GreeneCounty","GrenadaCounty","HancockCounty","HarrisonCounty","HindsCounty","HolmesCounty","HumphreysCounty","IssaquenaCounty","ItawambaCounty","JacksonCounty","JasperCounty","JeffersonCounty","JeffersonDavisCounty","JonesCounty","KemperCounty","LafayetteCounty","LamarCounty","LauderdaleCounty","LawrenceCounty","LeakeCounty","LeeCounty","LefloreCounty","LincolnCounty","LowndesCounty","MadisonCounty","MarionCounty","MarshallCounty","MonroeCounty","MontgomeryCounty","NeshobaCounty","NewtonCounty","NoxubeeCounty","OktibbehaCounty","PanolaCounty","PearlRiverCounty","PerryCounty","PikeCounty","PontotocCounty","PrentissCounty","QuitmanCounty","RankinCounty","ScottCounty","SharkeyCounty","SimpsonCounty","SmithCounty","StoneCounty","SunflowerCounty","TallahatchieCounty","TateCounty","TippahCounty","TishomingoCounty","TunicaCounty","UnionCounty","WalthallCounty","WarrenCounty","WashingtonCounty","WayneCounty","WebsterCounty","WilkinsonCounty","WinstonCounty","YalobushaCounty","YazooCounty"
"11",359.8,183.87,351.7,210.46,211.78,285.53,198.06,228.28,173.61,187.13,313.2,189.28,157.9,278.46,290.48,254.03,256.14,266.79,340.27,278.85,256.05,223.17,323.62,311.18,266.6,241.86,282.96,331.74,139.86,292.64,219.08,340.63,280.36,228.9,190.62,213.47,271.53,169.17,289.6,235.15,158.98,247.31,315.69,131.9,265.01,284.4,220.07,146.91,208.66,207.72,199.05,151.25,158.89,244.42,302.98,265.41,325.38,179.5,186.08,258.54,246.68,221.7,332.12,261.48,241.65,293.18,273.83,274.39,249.49,203.04,165.39,285.28,183.51,304,299.72,291.88,221.5,184.08,385.09,190.9,239.9,289.38
"12",251.95,334.5,206.45,225.85,342.75,346.75,272.65,289.3,277.5,233.3,240.35,121.75,244.85,356.55,199.4,135.9,385.85,103.1,219.1,56.3,73.95,310.15,105.25,83,204.75,258.6,277.55,273.85,297,54.35,155.65,236.05,149.1,123.05,177.1,321.4,122.05,148.45,165.75,213.95,288.3,301.35,187.45,234.85,217.85,139.15,349.7,265,293.5,185.55,175.5,205.5,244.75,350.95,123.8,84.4,180.1,292,322.25,365.05,194.7,191.15,282.65,164.75,167.05,95.05,316.85,337.05,368.3,335.8,344.9,385.3,313.15,158.75,237.85,311.55,93.6,249.15,239.8,208.35,332.55,239.35
"19",357.116363636364,230.534545454545,343.674545454545,230.847272727273,254.892727272727,318.536363636364,235.301818181818,256.056363636364,214.563636363636,217.221818181818,315.561818181818,193.2,193.230909090909,312.141818181818,289.878181818182,247.189090909091,297.272727272727,257.598181818182,333.552727272727,247.529090909091,239.767272727273,258.14,295.334545454545,278.505454545455,271.02,262.465454545455,308.449090909091,331.667272727273,190.598181818182,263.312727272727,223.936363636364,339.356363636364,278.089090909091,221.914545454545,192.393636363637,252.116363636364,266.36,176.990909090909,284.045454545455,238.478181818182,205.367272727273,277.347272727273,306.990909090909,168.538181818182,267.141818181818,278.710909090909,263.552727272727,187.223636363636,241.943636363636,211.221818181818,206.274545454545,178.930909090909,195.821818181818,280.463636363636,287.261818181818,249.449090909091,318.174545454545,219.912727272727,229.447272727273,294.569090909091,251.430909090909,227.590909090909,331.969090909091,261.216363636364,242.229090909091,270.063636363636,302.467272727273,301.158181818182,288.947272727273,245.672727272727,214.225454545455,323.707272727273,229.041818181818,298.294545454545,304.143636363636,321.972727272727,203.567272727273,218.209090909091,377.063636363636,210.969090909091,268.867272727273,293.516363636364
"20",1340.12931034483,1269.29310344828,1363.61034482759,1300.56551724138,1244.11034482759,1279.99310344828,1275.27931034483,1285.63103448276,1282.33448275862,1310.14482758621,1318.42068965517,1367.04137931034,1306.19655172414,1248.23793103448,1358.13793103448,1376.30344827586,1211.7275862069,1399.86896551724,1346.59310344828,1434.00689655172,1409.52413793103,1264.8,1450.07586206897,1437.03793103448,1340.33793103448,1302.11379310345,1280.68620689655,1283.52068965517,1283.24482758621,1456.01724137931,1366.80689655172,1327.8,1377.63793103448,1376.88275862069,1348.80689655172,1251.97931034483,1402.9724137931,1353.41034482759,1377.35517241379,1316.10689655172,1271.37931034483,1280.81724137931,1374.65862068966,1312.29655172414,1322.42413793103,1392.61724137931,1232.14137931034,1295.46896551724,1281.93793103448,1328.61034482759,1344.41034482759,1326.54827586207,1317.01379310345,1238.91034482759,1423.57931034483,1410.64137931034,1391.24482758621,1265.59310344828,1282.79310344828,1252.67931034483,1344.3724137931,1333.29310344828,1276.83793103448,1360.10344827586,1351.55862068966,1420.02413793103,1281.21379310345,1267.21034482759,1223.71034482759,1272.78965517241,1285.30344827586,1225.50344827586,1256.34482758621,1403.6275862069,1301.55172413793,1256.17931034483,1390.60689655172,1296.11724137931,1357.16379310345,1321.20689655172,1258.7724137931,1301.15862068966
"41",1429.15,1574.85,1490.9,1529.1,1545,1485.15,1580.45,1512.85,1593.85,1558.6,1435.3,1562.1,1608.85,1493.4,1463.3,1511.2,1495.55,1547.2,1459.85,1599.3,1585.5,1554.55,1528.8,1552,1443.5,1510.2,1483,1447.4,1604.7,1581,1524.6,1449.6,1513.3,1535.7,1573.5,1557,1552,1544.2,1492.6,1505.4,1586.6,1492.1,1488.5,1601.2,1469.5,1536.1,1526.7,1609.45,1545.1,1530.45,1518.5,1578.4,1579.05,1537.05,1542.6,1563.65,1516.2,1577.8,1595.4,1507.1,1462.5,1499.1,1456.1,1486.5,1501.4,1576.1,1480.05,1507.425,1513.85,1564.15,1599.25,1494.7,1563.65,1532.7,1409.55,1442.85,1566.2,1577.4,1455.15,1545.85,1561.1,1466.6
"42",1350.95,1525.9,1412.75,1450.9,1496.1,1406.975,1519.45,1434.7,1535.45,1480.4,1357.1,1483.9,1529.05,1444.45,1385.1,1433.05,1446.65,1469,1381.65,1521.1,1507.3,1483.55,1450.6,1473.8,1365.3,1432,1404.8,1369.2,1555.8,1502.8,1446.45,1371.4,1435.1,1457.5,1495.3,1508.1,1473.75,1466,1414.45,1427.15,1537.7,1413.9,1410.3,1523.05,1391.3,1457.9,1477.8,1546.55,1466.9,1452.25,1440.3,1500.15,1500.85,1488.1,1464.35,1485.45,1437.95,1528.85,1546.5,1458.15,1384.3,1420.95,1377.9,1408.3,1423.2,1497.9,1401.825,1442.45,1464.9,1515.25,1550.3,1445.8,1514.75,1454.55,1331.35,1364.65,1487.95,1499.2,1376.95,1467.65,1505.9,1388.35
"49",1380.32272727273,1499.39090909091,1439.77272727273,1496.49090909091,1469.54545454545,1430.41363636364,1508.30909090909,1459.52727272727,1520.98181818182,1519.20909090909,1386.46363636364,1513.28181818182,1539.28181818182,1417.94545454545,1414.48181818182,1462.40909090909,1420.10909090909,1498.38181818182,1411.01363636364,1550.48181818182,1536.70909090909,1484.15454545455,1503.45454545455,1526.70909090909,1394.69090909091,1457.63636363636,1429.3,1398.56363636364,1529.27272727273,1555.69090909091,1475.80909090909,1400.79090909091,1464.45454545455,1486.89090909091,1524.63636363636,1481.55454545455,1503.12727272727,1495.38181818182,1443.80909090909,1456.52727272727,1511.16363636364,1434.23636363637,1439.7,1541.64545454545,1420.66363636364,1487.30909090909,1451.27272727273,1537.79090909091,1492.29090909091,1481.60909090909,1469.66363636364,1541.36363636364,1535.11818181818,1461.6,1512.29090909091,1514.80909090909,1466.28181818182,1502.33636363636,1519.98181818182,1431.63636363636,1413.67272727273,1450.30909090909,1411.98181818182,1437.69090909091,1452.53636363636,1528.12727272727,1429.96818181818,1436.36818181818,1438.4,1488.70909090909,1523.8,1419.26363636364,1488.20909090909,1483.90909090909,1360.72727272727,1390.4,1517.35454545455,1519.74545454545,1406.32272727273,1497.00909090909,1487.36363636364,1417.72727272727
"50",317.795333333333,279.911333333333,364.962,291.843333333333,249.664666666667,224.994666666666,275.678,250.953333333333,291.526666666667,306.473333333333,300.220666666667,394.120666666667,315.388666666667,200.934666666666,320.556666666667,363.168666666667,200.386,399.149333333334,339.680666666667,451.247333333333,431.136666666667,252.559333333333,464.188,455.874,298.49,257.228,234.397333333333,246.199333333333,305.008,484.852,368.914666666666,315.156666666667,365.216666666667,381.320666666667,368.106,250.688,403.887333333333,374.916,349.890666666666,317.17,286.872666666667,228.366666666667,345.762,327.42,293.184666666667,388.071333333333,231.160666666667,314.566666666667,263.82,336.608666666667,355.702,346.822666666666,316.984,230.044666666667,435.342,415.59,371.088666666667,273.954,297.747333333333,213.156666666667,314.444666666667,338.650666666667,234.917333333333,338.452666666667,345.639333333333,429.905333333333,224.038666666667,227.288666666667,214.567333333333,268.204666666667,303.772666666667,198.063333333333,265.131333333333,389.991333333333,275.11,203.717333333333,408.642,289.919333333333,344.736666666667,325.024,253.366666666667,268.208
"61",1802.51,1883.98,1863.29,1911.24,1854.12,1845.69,1901.72,1873.23,1912.48,1934.76,1808.64,1935.46,1948.9,1802.52,1836.7,1884.6,1804.72,1920.58,1833.21,1972.7,1958.92,1885.72,1912.4,1935.68,1816.88,1874.78,1843.52,1820.74,1913.86,1964.64,1898.02,1822.96,1886.62,1909.1,1946.82,1866.14,1925.32,1917.58,1866.02,1878.72,1895.76,1848.07,1861.9,1954.66,1842.84,1909.52,1835.86,1932.52,1906.36,1903.82,1891.84,1956.64,1955.98,1846.2,1926.18,1937.02,1889.06,1886.92,1904.58,1816.22,1835.86,1872.52,1828.12,1859.88,1874.72,1949.88,1846.15,1832.64,1823,1873.32,1908.4,1803.86,1872.82,1906.12,1782.92,1804.75,1939.52,1930.14,1828.51,1919.22,1876.52,1839.92
"62",2149.45714285715,2227.02857142857,2206.11428571428,2279.68571428571,2193.5,2195.75714285714,2241.07142857143,2223.45714285714,2251.85714285714,2294.28571428571,2155.6,2282.41428571429,2288.27142857143,2147.27142857143,2183.62857142857,2231.55714285714,2144.08571428571,2267.54285714286,2180.13571428571,2319.62857142857,2305.85714285714,2225.08571428571,2341.75714285714,2365.02857142857,2163.82857142857,2222.28571428571,2192.6,2167.7,2253.24285714286,2394.01428571429,2244.95714285714,2169.92857142857,2233.58571428571,2256.04285714286,2293.77142857143,2205.51428571429,2272.25714285714,2264.54285714286,2212.95714285714,2225.65714285714,2235.12857142857,2196.98571428571,2208.84285714286,2297.58571428571,2189.77142857143,2256.44285714286,2175.24285714286,2271.88571428571,2251.25714285714,2250.75714285714,2238.77142857143,2319.34285714286,2304.78571428571,2185.57142857143,2303.71428571429,2283.95714285714,2234.15714285714,2226.28571428571,2247.64285714286,2160.95714285714,2182.8,2219.45714285714,2186.74285714286,2206.82857142857,2221.65714285714,2298.27142857143,2197.62857142857,2177.38571428571,2162.37142857143,2216.2,2251.44285714286,2146.35714285714,2212.18571428571,2253.05714285714,2129.85714285714,2155.2,2286.45714285714,2272.88571428571,2175.45714285715,2267.98571428571,2215.88571428571,2186.85714285714
