"County","AdamsCounty","AlcornCounty","AmiteCounty","AttalaCounty","BentonCounty","BolivarCounty","CalhounCounty","CarrollCounty","ChickasawCounty","ChoctawCounty","ClaiborneCounty","ClarkeCounty","ClayCounty","CoahomaCounty","CopiahCounty","CovingtonCounty","DeSotoCounty","ForrestCounty","FranklinCounty","GeorgeCounty","GreeneCounty","GrenadaCounty","HancockCounty","HarrisonCounty","HindsCounty","HolmesCounty","HumphreysCounty","IssaquenaCounty","ItawambaCounty","JacksonCounty","JasperCounty","JeffersonCounty","JeffersonDavisCounty","JonesCounty","KemperCounty","LafayetteCounty","LamarCounty","LauderdaleCounty","LawrenceCounty","LeakeCounty","LeeCounty","LefloreCounty","LincolnCounty","LowndesCounty","MadisonCounty","MarionCounty","MarshallCounty","MonroeCounty","MontgomeryCounty","NeshobaCounty","NewtonCounty","NoxubeeCounty","OktibbehaCounty","PanolaCounty","PearlRiverCounty","PerryCounty","PikeCounty","PontotocCounty","PrentissCounty","QuitmanCounty","RankinCounty","ScottCounty","SharkeyCounty","SimpsonCounty","SmithCounty","StoneCounty","SunflowerCounty","TallahatchieCounty","TateCounty","TippahCounty","TishomingoCounty","TunicaCounty","UnionCounty","WalthallCounty","WarrenCounty","WashingtonCounty","WayneCounty","WebsterCounty","WilkinsonCounty","WinstonCounty","YalobushaCounty","YazooCounty"
"ClaiborneCounty",48.5,298.7,76.5,134.7,263.6,150.9,203.2,146.5,219.2,164.2,11.5,167.7,212.8,186,51.9,105.8,243,141.8,50.5,193.9,180.1,167.3,204.4,198.5,49.1,115.8,107.6,72,272.1,227.5,130.2,21.8,98.8,130.3,179,213.1,136,149.8,81.2,110.9,253.7,139.7,70.1,206.8,75.1,121.7,246.1,230.3,150.7,136,124.1,183.9,184.6,208.1,178,158.2,92,242.6,286.4,191.9,68.1,104.7,80.8,82.6,106.9,172.5,144.6,175.4,225.5,272,309.1,214.7,249.4,110.9,34.2,115.7,160.7,183,76.9,151.4,189.7,90
"ClarkeCounty",195.4,212.6,174.4,103.9,220.8,215.4,150.7,140.7,155.5,111.3,167.7,13.6,122.9,224.7,144.9,76.7,237.2,89.5,162.6,99.8,76.2,161.5,155,146.2,121.1,134.4,193.9,190.2,175,136.9,41.8,195.1,103,51.6,55.1,199.4,94.2,26.4,112.3,99,166.3,169.5,134,112.9,123.1,107.1,227.7,143,144.9,63.6,53.5,83.5,122.8,202.3,125.7,93.5,148.1,170,200.3,216.4,101.1,76.2,199,95,65.7,120.2,196,206.2,219.6,213.8,222.9,246.4,191.2,126.7,154.2,214.1,35.7,127.2,207.8,86.4,183.9,155.7
"ClayCounty",253.2,100.7,253.1,74.7,108.9,147.6,63.3,82.7,43.6,51.3,212.8,122.9,10.5,152.5,183.9,187.6,152.4,200.4,233.7,230.3,199.3,86.2,265.9,257.1,166.2,107.9,137.4,181.7,72.9,267.4,152.7,234.5,213.9,162.5,76,87.5,205.1,97.7,213.2,98.1,54.5,101.7,209.1,28.1,138.9,218,115.9,35,63.1,87.4,111.5,42.1,27.5,118.5,236.6,204.4,234.4,58.1,88.4,132.6,142.9,124.3,168.9,172.1,152.2,231.1,128.3,138.4,135.9,101.9,111.1,181.5,79.3,237.6,199.3,146.3,158.8,38.5,286.5,59.5,98.6,143.1
"CoahomaCounty",226.9,150.7,259.6,123.2,115.7,54.7,100.6,82.2,120.2,137.9,186,224.7,152.5,12.4,190.4,222,71.6,258,229,310.1,296.3,74.6,323.5,314.7,160.5,98.3,91.5,122,142.5,343.7,224.3,200.3,224.1,246.5,190.1,65.1,262.8,203.9,219.8,147,124.4,56,215.6,169.6,139.8,246.9,103.2,141.6,94.8,166.1,190.2,183.6,146.7,44.9,294.2,274.5,240.9,94.7,138.4,20,173.3,173.2,109.2,197.3,201.1,288.8,56.6,36.4,65,124.1,161.1,35,101.4,259.9,153.5,79,260.7,122.4,255.4,154.8,71.1,119.4
"CopiahCounty",70.7,273.6,70.6,111.9,244.2,170.3,183.8,127.1,199.8,141.4,51.9,144.9,183.9,190.4,14.4,64.9,223.6,100.9,51.9,153,139.2,147.9,164.3,157.6,38.7,96.3,111.5,91.4,245.8,186.6,91.1,51.5,57.9,89.4,156.3,193.6,95.1,127.1,40.3,88.5,227.4,135.2,26.6,184.4,55.6,89.9,226.6,207.9,131.3,113.6,101.3,161.5,162.2,188.7,137.1,117.3,51.9,223.2,261.3,202.8,45.3,82,100.2,41.7,67.1,131.6,150.8,170.9,206.1,252.6,283.9,219.1,230,70.8,55.4,135.1,119.8,163.6,104,129,170.3,73.3
"CovingtonCounty",120.3,277.3,106.9,112.4,271.9,212.2,211.5,154.8,191.9,141.9,105.8,76.7,187.6,222,64.9,10.5,251.3,37.4,88.3,89.5,80.9,175.6,102.8,94.1,70.2,124.1,143.1,139.4,239.8,123.1,62.3,107.5,28,31.1,119.9,221.4,42.1,90.6,37.2,88.1,231.1,166.8,58.9,177.6,83.3,44.2,254.4,207.8,159,110.8,84.7,148.3,162.7,216.4,73.6,53.8,80.8,234.8,265,230.5,60.2,65.3,148.1,30.3,32.5,68.1,182.3,202.6,233.8,278.6,287.7,250.8,255.9,59.4,103.3,177,61.6,163.9,140.3,129.5,198,104.8
"DeSotoCounty",292.9,101.4,292.8,135.7,62.7,120,101.5,112.9,116,150.4,243,237.2,152.4,71.6,223.6,251.3,11.5,287.3,273.4,339.4,302,81.2,352.8,344,196.4,138.1,153.1,187.3,117.4,373,236.8,264.7,253.4,252.2,202.6,66,292,216.4,252.9,159.5,99.3,117.4,248.8,161.7,169.1,276.2,39.4,136,107.3,178.5,202.7,183.5,168.9,41.6,323.5,303.8,274.1,90.4,113.3,62.7,202.6,185.7,174.5,226.6,213.6,318.1,118.3,84.8,18.4,88.1,125.8,36.9,76.3,293,229.6,144.3,273.2,128.9,326.2,167.2,71.9,173.4
"ForrestCounty",153.4,290.1,107.9,148.4,298.3,248.2,215.2,190.8,233,175.8,141.8,89.5,200.4,258,100.9,37.4,287.3,11.2,121.3,56.7,55.8,211.6,76.1,61.3,106.2,160.1,179,175.3,252.6,90.3,76.5,137.5,50.6,38.2,132.6,257.3,23.5,103.4,67.2,124.1,243.9,202.8,88.9,190.4,119.3,40.6,290.4,220.5,195,124.5,98.3,161,200.3,252.4,46.8,21,81.6,247.5,277.8,266.5,96.2,101.3,184.1,66.2,68.5,35.3,218.3,238.5,269.8,291.3,300.4,286.7,268.7,60.2,139.3,213,74.3,191.7,141.3,150.9,234,140.8
"FranklinCounty",34,323.3,50.1,161.7,294,193.9,233.6,176.9,249.6,191.1,50.5,162.6,233.7,229,51.1,87.5,273.4,120.5,12.2,172.6,171.8,197.7,155,178.3,88.5,146.1,161.3,115,295.5,207.2,137.3,30.1,71.4,116.9,206.1,243.4,111.1,176.8,50.3,138.3,277.1,185,29.6,234.2,105.4,80.6,276.4,257.7,181,163.4,151.1,211.3,212,238.5,129.2,137,42.6,273,311,252.6,95.1,131.8,123.8,91.4,106.9,139.8,187.6,220.7,255.8,302.4,333.7,257.7,279.8,61.5,77.2,158.7,147.4,213.3,62.4,178.8,220.1,123.1
"GeorgeCounty",205.5,320,160,189.5,328.2,300.3,252.3,242.9,262.9,212.9,193.9,99.8,230.3,310.1,153,89.5,339.4,56.7,172.6,11.3,37.3,263.7,90.6,68.3,158.3,212.1,231.1,227.4,282.5,39.6,109.2,189.6,102.7,76.6,162.5,309.4,75.6,133.3,119.3,165.2,273.8,254.9,141,220.3,171.4,92.7,335.1,250.4,247.1,157.2,131,190.9,230.2,304.5,69.1,38,133.6,277.4,307.7,318.6,148.3,142.4,236.2,118.3,120.6,39.4,270.4,290.6,321.9,321.2,330.3,338.8,298.6,112.3,191.4,265.1,77.3,228.8,193.4,188,286.1,192.9
"GreeneCounty",204.6,289,159.1,168.7,297.2,286.5,231.5,205.5,231.9,192.1,180.1,76.2,199.3,296.3,139.2,80.9,302,55.8,171.8,37.3,13.8,226.3,113.5,91.2,144.5,198.4,217.4,213.7,251.5,74.5,88.4,188.8,101.8,55.8,131.5,275.9,74.8,102.9,118.4,144.4,242.8,241.1,140.2,189.3,157.6,91.8,304.2,219.4,209.7,136.4,110.3,159.9,199.2,267.1,98,37.1,132.8,246.4,276.7,281.2,128.9,121.6,222.4,104.6,90.1,65.3,256.6,271,284.5,290.2,299.4,311.3,267.6,111.4,177.6,251.3,41.4,208,192.5,167.2,248.7,179.1
"GrenadaCounty",217.2,138.9,217.1,60,101.8,65.2,36.5,37.2,58.2,68.3,167.3,161.5,86.2,74.6,147.9,175.6,81.2,211.6,197.7,263.7,226.3,10.9,277.1,268.3,120.7,62.4,77.4,121.7,111.1,297.3,161.1,189,177.7,176.5,120.5,51.2,216.3,140.7,177.2,83.8,92.7,41.7,173.1,100.9,93.4,200.5,84.2,90.7,31.6,102.8,126.9,114.9,76,46.2,247.8,228,198.4,72.7,126.6,60.3,126.9,110,108.9,150.9,137.9,242.4,60.3,50.1,63.6,110.2,149.3,90.4,87.5,217.3,153.8,86.3,197.5,48.4,250.5,85.2,27.8,97.6
"HancockCounty",187.8,355.5,142.4,213.9,363.8,313.7,280.7,256.3,298.5,241.3,204.4,155,265.9,323.5,164.3,102.8,352.8,76.1,155,90.6,113.5,277.1,12.1,25.1,171.7,225.5,244.5,240.8,318,54,142,184,116.1,103.6,198.1,322.8,74.2,168.9,128.5,189.6,309.3,268.3,142.7,255.9,184.8,86,355.8,286,260.5,190,163.8,226.5,265.8,317.9,41.1,92.5,119.1,313,343.3,332,161.6,166.8,249.6,131.7,134,49.2,283.8,304,335.2,356.8,365.9,352.2,334.2,97.7,204.8,278.5,139.8,257.1,165.5,216.4,299.5,206.3
"HarrisonCounty",211.1,346.8,165.6,205.1,355,304.9,271.9,247.5,289.7,232.5,198.5,146.2,257.1,314.7,157.6,94.1,344,61.3,178.3,68.3,91.2,268.3,25.1,16.1,162.9,216.8,235.8,232.1,309.3,31.8,133.2,207.2,107.3,94.9,189.3,314,74,160.1,123.9,180.8,300.6,259.5,166,247.1,176.1,85.8,347.1,277.2,251.7,181.2,155.1,217.7,257,309.1,54.8,77.7,142.3,304.2,334.5,323.2,152.9,158,240.8,123,125.2,26.9,275,295.3,326.5,348,357.2,343.5,325.4,105.4,196,269.7,131,248.4,188.8,207.6,290.7,197.5
"HindsCounty",97.4,252.1,107.9,88.1,217,150.5,156.6,99.9,172.6,117.6,49.1,121.1,166.2,160.5,38.7,70.2,196.4,106.2,89.3,158.3,144.5,120.7,171.7,162.9,15.2,69.2,81.7,71.6,225.5,191.9,83.6,70.8,72.3,94.7,132.4,166.4,110.9,103.2,68,64.3,207.1,105.3,63.9,160.2,28.5,95.1,199.5,183.7,104.1,89.4,77.4,137.3,138,161.5,142.4,122.6,89.2,196,239.8,175.6,21.5,58.1,80.4,45.5,60.3,136.9,120.9,141.1,178.9,225.4,262.5,189.3,202.8,108.1,35.6,115.3,125.1,136.4,125.9,104.8,143.1,43.4
"HolmesCounty",165.7,193.8,165.6,33,158.7,89,98.3,30.9,114.3,62.4,115.8,134.4,107.9,98.3,96.3,124.1,138.1,160.1,146.1,212.1,198.4,62.4,225.5,216.8,69.2,14.2,36.8,81.2,167.1,245.8,137.5,137.4,126.1,148.6,101.2,108.1,164.8,113.6,125.7,56.7,148.7,43.1,121.6,111,41.8,149,141.1,139.2,45.8,75.8,99.9,100.1,83.5,103.2,196.2,176.5,146.9,137.7,181.4,97.4,75.3,82.9,68.4,99.3,114.2,190.8,69.6,78.8,120.5,167.1,204.1,127,144.5,165.8,102.3,72.9,179,78,199,69.6,84.8,44
"HumphreysCounty",148.6,208.8,180.8,69.5,173.7,69.6,113.3,62.7,135,98.9,107.6,193.9,137.4,91.5,111.5,143.1,153.1,179,161.3,231.1,217.4,77.4,244.5,235.8,81.7,36.8,10.7,46.3,187.8,264.7,156.5,121.9,145.1,167.5,137.7,123.1,183.8,150.1,140.9,93.2,169.4,41.9,136.7,152.1,70.1,167.9,156.1,168.7,75.3,112.3,150.3,136.6,120,118.2,215.2,195.5,162.1,152.7,196.4,90.6,94.3,114.9,33.5,118.3,133.2,209.8,43,77.6,135.5,182.1,219.1,120.2,159.5,181,75.1,43.2,198,107.6,177,106.1,99.8,40.5
"IssaquenaCounty",113,253.1,141,113.8,218,86.9,157.6,107,179.3,143.3,72,190.2,181.7,122,91.4,139.4,187.3,175.3,115,227.4,213.7,121.7,240.8,232.1,71.6,81.2,46.3,10.8,232.2,261,152.8,86.3,141.4,163.9,201.6,167.4,180.1,172.3,120.8,121,213.8,86.2,116.7,196.4,97.6,164.3,200.5,213,119.6,146.1,146.6,180.9,164.3,152.8,211.5,191.8,142,197,240.8,127.9,90.6,127.3,16.8,114.6,129.5,206.1,80.6,122.3,173,226.4,263.5,150.8,203.8,160.9,39.5,51.7,194.3,151.9,141.4,150.4,144.1,60.9
"ItawambaCounty",315.1,65.7,315,140.9,73.8,175.7,78.5,142,55.8,117.6,272.1,175,72.9,142.5,245.8,239.8,117.4,252.6,295.5,282.5,251.5,111.1,318,309.3,225.5,167.1,187.8,232.2,12,319.6,204.8,293.8,266.1,214.7,128.2,77.5,257.3,149.8,275.1,160,19.8,152.2,271,63.2,198.1,270.2,80.8,35.3,122.3,149.3,173.4,94.2,89.4,108.5,288.7,256.5,296.3,42.4,53.3,122.6,204.7,186.2,219.4,233.9,214.1,283.3,170.8,139.5,110.4,66.9,39.2,146.5,44.3,289.8,258.6,196.8,211,97.8,348.4,121.4,108.8,202.4
"JacksonCounty",240.1,357.1,194.6,234.1,365.3,333.9,289.4,276.5,300.1,250.1,227.5,136.9,267.4,343.7,186.6,123.1,373,90.3,207.2,39.6,74.5,297.3,54,31.8,191.9,245.8,264.7,261,319.6,16.6,146.3,236.2,136.3,123.8,199.7,343,103,170.4,152.9,209.8,310.9,288.5,195,257.4,205,114.8,372.3,287.5,280.7,194.3,168.2,228.1,267.3,338.1,83.8,75.1,171.3,314.5,344.8,352.2,181.9,187,269.8,151.9,154.2,55.9,304,324.2,355.5,358.4,367.5,372.4,335.7,134.4,225,298.7,114.4,265.9,217.8,225.1,319.7,226.5
"JasperCounty",160.4,242.4,161.4,103.5,250.6,215,161.9,140.3,185.3,122.5,130.2,41.8,152.7,224.3,91.1,62.3,236.8,76.5,137.3,109.2,88.4,161.1,142,133.2,83.6,137.5,156.5,152.8,204.8,146.3,13.4,141.2,77.8,38.6,84.9,197.5,81.2,55.7,87,79.2,196.1,169.1,108.7,142.7,96.8,94.1,257.5,172.8,144.5,71.2,45.1,113.3,134.4,201.9,112.7,83.3,135.1,199.8,230.1,216,63.7,56.4,161.5,60,30.8,107.3,195.6,205.8,219.3,243.6,252.7,246.1,221,113.7,116.7,190.4,69.1,138.4,194.8,97.6,183.5,118.2
"JeffersonCounty",28,320.4,56.1,156.4,285.3,165.2,224.9,168.2,240.9,185.9,21.8,195.1,234.5,200.3,51.5,107.5,264.7,137.5,30.1,189.6,188.8,189,184,207.2,70.8,137.4,121.9,86.3,293.8,236.2,141.2,11.8,91.5,137,206.5,234.7,140,177.2,70.3,132.6,275.4,154,49.6,228.5,96.7,109.5,267.8,252,172.4,157.7,151.5,205.6,206.3,229.8,158.2,153.9,71.5,264.3,308.1,206.2,95.5,132.1,95.1,91.8,117.3,168.8,158.9,189.7,247.1,293.7,330.7,229,271.1,90.4,48.5,130,167.5,204.7,56.5,173.1,211.4,105.5
"JeffersonDavisCounty",104.2,303.6,90.8,126.8,274,214.3,213.6,156.8,206.4,156.3,98.8,103,213.9,224.1,57.9,28,253.4,50.6,72.2,102.7,101.8,177.7,116.1,107.3,72.3,126.1,145.1,141.4,266.1,136.3,77.8,91.5,10.4,57.4,146.2,223.4,41.7,116.9,21.2,102.6,257.4,168.9,42.9,204,85.4,30.4,256.4,234.1,161,125.2,99.1,174.6,177.2,218.5,86.8,67,67,224.2,291.3,232.6,62.8,79.8,150.1,30.5,47.4,81.3,184.4,204.6,235.8,282.4,314,252.8,259.8,45.6,105.4,179.1,87.9,193.3,124.2,144,200.1,106.9
"JonesCounty",149.8,252.2,123.1,118.9,260.4,236.7,177.3,155.7,195.1,137.9,130.3,51.6,162.5,246.5,89.4,31.1,252.2,38.2,117.8,76.6,55.8,176.5,103.6,94.9,94.7,148.6,167.5,163.9,214.7,123.8,38.6,137,57.4,13.6,94.7,239,42.9,65.5,66.7,94.6,206,191.3,88.4,152.5,107.8,55.8,267.4,182.6,159.9,86.6,60.4,123.1,162.4,217.3,74.3,54.6,96.7,209.6,239.9,231.4,79.1,71.8,172.6,54.8,40.3,68.9,206.8,221.2,234.7,253.4,262.5,261.5,230.8,75.4,127.8,201.5,36.4,153.8,156.5,113,198.9,129.3
"KemperCounty",225.6,165.7,217.5,70.6,173.9,180.7,100.7,107.4,108.7,61.3,179,55.1,76,190.1,156.3,119.9,202.6,132.6,206.1,162.5,131.5,120.5,198.1,189.3,132.4,101.2,137.7,201.6,128.2,199.7,84.9,206.5,146.2,94.7,14.2,136.2,137.4,26.2,155.4,56.2,119.5,134.9,181.5,66.1,92.4,150.2,180.9,96.2,96.2,34,64.9,36.7,75.9,167.6,168.8,136.6,191.2,123.2,153.4,181.8,112.5,87.6,163.6,127.3,107.5,163.4,161.4,171.5,185,167,176.1,211.8,144.4,169.8,165.6,179.4,91.1,77.1,250.9,40.8,149.2,123.2
"LafayetteCounty",262.9,85.7,262.9,105.8,50.7,105.8,35.7,82.9,55.2,84,213.1,199.4,87.5,65.1,193.6,221.4,66,257.3,243.4,309.4,275.9,51.2,322.8,314,166.4,108.1,123.1,167.4,77.5,343,197.5,234.7,223.4,239,136.2,13.4,262.1,174.2,223,129.5,59.4,87.5,218.8,104.7,139.1,246.3,33.1,76.6,77.3,128.8,152.9,118.6,104.1,31.1,293.5,273.8,244.2,29.7,73.4,45.2,172.6,155.7,154.6,196.6,183.6,288.1,100.8,62,48.4,59.1,96.1,75.2,36.5,263.1,199.6,132.1,235.4,64.1,296.2,100.9,31.4,143.4
"LamarCounty",143.9,294.8,98.4,153.1,303,252.9,219.9,195.5,237.8,180.6,136,94.2,205.1,262.8,95.1,42.1,292,23.5,111.9,75.6,74.8,216.3,74.2,74,110.9,164.8,183.8,180.1,257.3,103,81.2,140,41.7,42.9,137.4,262.1,11.5,108.1,58.3,128.9,248.6,207.5,80.1,195.1,124.1,31.1,295.1,225.3,199.7,129.2,103.1,165.8,205,257.1,44.9,40,72.1,252.3,282.5,271.2,100.9,106,188.8,71,73.3,48.1,223.1,243.3,274.5,296,305.2,291.5,273.4,50.7,144,217.7,79.1,196.4,131.8,155.6,238.7,145.5
"LauderdaleCounty",196.4,187.3,188.3,83.1,195.5,194.6,126.4,119.8,130.3,87,149.8,26.4,97.7,203.9,127.1,90.6,216.4,103.4,176.8,133.3,102.9,140.7,168.9,160.1,103.2,113.6,150.1,172.3,149.8,170.4,55.7,177.2,116.9,65.5,26.2,174.2,108.1,13.8,126.2,68.7,141.1,148.7,152.3,87.7,105.3,121,202.5,117.8,124,42.8,35.6,58.3,97.6,181.5,139.6,107.4,161.9,144.8,175,195.6,83.3,58.3,181.1,98.1,78.2,134.1,175.2,185.4,198.8,188.6,197.7,225.6,166,140.6,136.3,193.3,62.4,102.8,221.7,65.6,163.1,137.8
"LawrenceCounty",83.1,302.9,69.7,141.2,273.5,199.6,213.1,156.4,229.1,170.7,81.2,112.3,213.2,219.8,40.3,37.2,252.9,67.2,51.1,119.3,118.4,177.2,128.5,123.9,68,125.7,140.9,120.8,275.1,152.9,87,70.3,21.2,66.7,155.4,223,58.3,126.2,10.7,117.8,256.7,164.5,21.7,213.2,85,43.4,256,243.3,160.6,134.5,108.4,183.8,191.5,218,103.4,83.6,51,252.5,290.6,232.1,74.7,89,129.5,39.8,56.6,97.9,180.1,200.3,235.4,281.9,313.3,248.5,259.3,34.8,84.7,164.4,97.2,192.9,103.1,158.3,199.6,102.6
"LeakeCounty",157.8,187.8,157.7,26.1,170.1,137.6,101.2,62.9,105.6,55.6,110.9,99,98.1,147,88.5,88.1,159.5,124.1,138.3,165.2,144.4,83.8,189.6,180.8,64.3,56.7,93.2,121,160,209.8,79.2,132.6,102.6,94.6,56.2,129.5,128.9,68.7,117.8,12.4,141.6,91.8,113.7,98.6,37,119.2,162.5,122.2,67.1,25.9,50,75.8,76.4,124.5,160.3,140.6,139,123.5,175.5,138.6,47.5,28.1,108.2,75.8,56,154.9,118.3,128.4,141.9,163.2,198.2,168.7,140.5,134.4,97.4,136.3,135,77.6,191.1,43.2,106.1,67.8
"LeeCounty",296.7,47.5,296.6,122.6,55.7,157.3,58.3,123.6,37.4,99.2,253.7,166.3,54.5,124.4,227.4,231.1,99.3,243.9,277.1,273.8,242.8,92.7,309.3,300.6,207.1,148.7,169.4,213.8,19.8,310.9,196.1,275.4,257.4,206,119.5,59.4,248.6,141.1,256.7,141.6,11,133.8,252.6,63.8,179.7,261.5,62.7,38.1,103.9,130.9,155,85.5,71,90.4,280,247.9,277.9,22.3,35.2,104.5,186.3,167.8,201,215.6,195.7,274.6,152.4,121.3,92.3,48.8,57.9,128.4,26.2,281.1,240.2,178.4,202.3,79.4,330,103,90.7,184
"LefloreCounty",180.6,173.1,204.4,68,138.1,46.7,77.6,27,99.3,82.7,139.7,169.5,101.7,56,135.2,166.8,117.4,202.8,185,254.9,241.1,41.7,268.3,259.5,105.3,43.1,41.9,86.2,152.2,288.5,169.1,154,168.9,191.3,134.9,87.5,207.5,148.7,164.5,91.8,133.8,12.7,160.4,116.4,84.6,191.7,120.5,133.1,39.6,110.8,134.9,128.8,91.5,82.5,239,219.2,185.7,117.1,160.8,55.1,118.1,118,73.4,142.1,145.9,233.6,32.8,36.5,99.9,146.4,183.5,84.7,123.8,204.6,107.2,50.8,205.5,71.9,209.1,99.5,64.1,64.1
"LincolnCounty",62.4,298.8,49,137.1,269.4,195.5,209,152.3,225,166.6,70.1,134,209.1,215.6,26.6,58.9,248.8,88.9,30.4,141,140.2,173.1,142.7,166,63.9,121.6,136.7,116.7,271,195,108.7,49.6,42.9,88.4,181.5,218.8,80.1,152.3,21.7,113.7,252.6,160.4,12.5,209.6,80.8,60.1,251.9,233.1,156.5,138.8,126.5,186.7,187.4,213.9,113.2,105.3,30.3,248.4,286.5,228,70.6,107.2,125.4,61.5,78.4,119.7,176,196.1,231.3,277.8,309.1,244.4,255.2,41,80.6,160.3,118.9,188.8,82.4,154.2,195.5,98.5
"LowndesCounty",253.7,110,253.6,79.6,118.2,162.3,80.4,97.4,60.8,56.2,206.8,112.9,28.1,169.6,184.4,177.6,161.7,190.4,234.2,220.3,189.3,100.9,255.9,247.1,160.2,111,152.1,196.4,63.2,257.4,142.7,228.5,204,152.5,66.1,104.7,195.1,87.7,213.2,98.6,63.8,116.4,209.6,11.7,132.9,208,125.2,31.1,77.8,87.9,112,32.1,28,135.6,226.6,194.4,234.9,75.2,97.7,149.7,143.4,124.9,183.6,185.1,165.3,221.1,142.9,153.1,153,111.2,103.7,190.9,88.6,227.6,193.3,161,148.9,53.2,287,60,115.7,143
"MadisonCounty",124.9,224.8,124.8,60.8,189.7,130.5,129.3,72.6,145.3,90.2,75.1,123.1,138.9,139.8,55.6,83.3,169.1,119.3,106.2,171.4,157.6,93.4,184.8,176.1,28.5,41.8,70.1,97.6,198.1,205,96.8,96.7,85.4,107.8,92.4,139.1,124.1,105.3,85,37,179.7,84.6,80.8,132.9,14,108.3,172.1,156.4,76.8,62.1,79.5,110,110.7,134.2,155.5,135.8,106.2,168.7,212.4,148.3,34.6,51.3,77.8,58.6,73.5,150.1,111.1,120.3,151.5,198.1,235.1,168.5,175.5,125.1,61.6,104.1,138.3,109.1,158.2,77.5,115.8,37.3
"MarionCounty",113.4,307.7,67.9,143.5,296.8,237.1,236.4,179.7,250.6,173,121.7,107.1,218,246.9,89.9,44.2,276.2,40.6,81.4,92.7,91.8,200.5,86,85.8,95.1,149,167.9,164.3,270.2,114.8,94.1,109.5,30.4,55.8,150.2,246.3,31.1,121,43.4,119.2,261.5,191.7,60.1,208,108.3,12,279.3,238.1,183.9,142.1,115.9,178.6,217.9,241.3,53.7,57,41.6,265.1,295.4,255.4,85.7,96.4,173,53.4,63.6,59.8,207.2,227.4,258.7,308.9,318.1,275.7,286.3,20.2,128.2,201.9,91.9,216.2,101.3,160.6,222.9,129.7
"MarshallCounty",296,67.6,295.9,138.8,26.1,138.8,68.7,116,79.4,117,246.1,227.7,115.9,103.2,226.6,254.4,39.4,290.4,276.4,335.1,304.2,84.2,355.8,347.1,199.5,141.1,156.1,200.5,80.8,372.3,257.5,267.8,256.4,267.4,180.9,33.1,295.1,202.5,256,162.5,62.7,120.5,251.9,125.2,172.1,279.3,13.7,99.5,110.3,161.8,185.9,146.9,132.4,57.7,326.5,306.8,277.2,53.9,76.8,78.2,205.6,188.7,187.7,229.6,216.6,321.1,133.9,95.1,38.1,51.6,92,68.5,39.8,296.1,232.6,165.1,263.7,97.1,329.3,133.9,64.4,176.4
"MonroeCounty",277.2,84.3,277.1,103.1,92.5,155.3,62.9,114,37.2,79.8,230.3,143,35,141.6,207.9,207.8,136,220.5,257.7,250.4,219.4,90.7,286,277.2,183.7,139.2,168.7,213,35.3,287.5,172.8,252,234.1,182.6,96.2,76.6,225.3,117.8,243.3,122.2,38.1,133.1,233.1,31.1,156.4,238.1,99.5,14.3,94.4,111.4,135.6,62.2,51.5,107.5,256.7,224.5,258.4,47.2,72,121.7,166.9,148.4,200.2,196.1,176.3,251.3,150.4,138.5,124.9,85.6,75.8,165.2,62.9,257.7,216.9,177.6,179,69.8,310.5,83.5,107.9,174.4
"MontgomeryCounty",200.6,150.1,200.5,43.4,127.9,85.5,56.8,20.6,69.5,44,150.7,144.9,63.1,94.8,131.3,159,107.3,195,181,247.1,209.7,31.6,260.5,251.7,104.1,45.8,75.3,119.6,122.3,280.7,144.5,172.4,161,159.9,96.2,77.3,199.7,124,160.6,67.1,103.9,39.6,156.5,77.8,76.8,183.9,110.3,94.4,10.4,86.2,110.3,90.1,52.8,72.4,231.1,211.4,181.8,87.3,137.8,86.5,110.3,93.3,106.8,134.3,121.2,225.7,66.1,76.3,89.8,127,160.5,116.5,104.4,200.7,137.2,84.2,180.8,33.2,233.9,60.9,54,81
"NeshobaCounty",182.9,177.1,182.8,45.2,161.8,156.7,93.2,82,97.3,53.8,136,63.6,87.4,166.1,113.6,110.8,178.5,124.5,163.4,157.2,136.4,102.8,190,181.2,89.4,75.8,112.3,146.1,149.3,194.3,71.2,157.7,125.2,86.6,34,128.8,129.2,42.8,134.5,25.9,130.9,110.8,138.8,87.9,62.1,142.1,161.8,111.4,86.2,12.3,26.6,66.7,65.7,143.6,160.7,131.3,164.1,115.1,164.8,157.7,72.6,53.2,133.3,98.5,78.6,155.2,137.3,147.5,161,154.8,187.5,187.8,132.2,157.1,122.5,155.4,99.6,69.7,216.2,28.9,125.2,92.8
"NewtonCounty",170.6,201.2,170.6,69.3,185.9,180.8,117.3,106.1,121.4,78,124.1,53.5,111.5,190.2,101.3,84.7,202.7,98.3,151.1,131,110.3,126.9,163.8,155.1,77.4,99.9,150.3,146.6,173.4,168.2,45.1,151.5,99.1,60.4,64.9,152.9,103.1,35.6,108.4,50,155,134.9,126.5,112,79.5,115.9,185.9,135.6,110.3,26.6,12.4,93.3,89.8,167.7,134.5,105.1,151.9,139.3,188.9,181.9,57.5,32.6,155.4,72.3,52.5,129.1,161.5,171.6,185.1,179,211.6,211.9,156.3,130.9,110.6,179.5,89.5,93.8,203.9,53,149.3,112.1
