"County","AdamsCounty","AlcornCounty","AmiteCounty","AttalaCounty","BentonCounty","BolivarCounty","CalhounCounty","CarrollCounty","ChickasawCounty","ChoctawCounty","ClaiborneCounty","ClarkeCounty","ClayCounty","CoahomaCounty","CopiahCounty","CovingtonCounty","DeSotoCounty","ForrestCounty","FranklinCounty","GeorgeCounty","GreeneCounty","GrenadaCounty","HancockCounty","HarrisonCounty","HindsCounty","HolmesCounty","HumphreysCounty","IssaquenaCounty","ItawambaCounty","JacksonCounty","JasperCounty","JeffersonCounty","JeffersonDavisCounty","JonesCounty","KemperCounty","LafayetteCounty","LamarCounty","LauderdaleCounty","LawrenceCounty","LeakeCounty","LeeCounty","LefloreCounty","LincolnCounty","LowndesCounty","MadisonCounty","MarionCounty","MarshallCounty","MonroeCounty","MontgomeryCounty","NeshobaCounty","NewtonCounty","NoxubeeCounty","OktibbehaCounty","PanolaCounty","PearlRiverCounty","PerryCounty","PikeCounty","PontotocCounty","PrentissCounty","QuitmanCounty","RankinCounty","ScottCounty","SharkeyCounty","SimpsonCounty","SmithCounty","StoneCounty","SunflowerCounty","TallahatchieCounty","TateCounty","TippahCounty","TishomingoCounty","TunicaCounty","UnionCounty","WalthallCounty","WarrenCounty","WashingtonCounty","WayneCounty","WebsterCounty","WilkinsonCounty","WinstonCounty","YalobushaCounty","YazooCounty"
"TippahCounty",321.9,37.7,321.8,138.6,23.6,164.7,76,141.9,65.5,115.3,272,213.8,101.9,124.1,252.6,278.6,88.1,291.3,302.4,321.2,290.2,110.2,356.8,348,225.4,167.1,182.1,226.4,66.9,358.4,243.6,293.7,282.4,253.4,167,59.1,296,188.6,281.9,163.2,48.8,146.4,277.8,111.2,198.1,308.9,51.6,85.6,127,154.8,179,133,118.4,90,327.5,295.3,303.1,40,34.4,104.2,207.9,189.4,213.6,255.6,217.3,322.1,159.8,121,81.2,11,57.1,117.3,22.9,322,258.5,191,249.8,104.4,355.2,126.9,90.4,202.4
"TishomingoCounty",353.3,28.7,353.2,179.1,78.1,201.8,113.1,179,94,155.8,309.1,222.9,111.1,161.1,283.9,287.7,125.8,300.4,333.7,330.3,299.4,149.3,365.9,357.2,262.5,204.1,219.1,263.5,39.2,367.5,252.7,330.7,314,262.5,176.1,96.1,305.2,197.7,313.3,198.2,57.9,183.5,309.1,103.7,235.1,318.1,92,75.8,160.5,187.5,211.6,142.1,127.6,127.1,336.6,304.4,334.5,77,28.4,141.2,242.9,224.4,250.7,272.1,252.3,331.2,196.8,158.1,122.5,57.1,10.9,154.9,59.9,337.6,295.6,228.1,258.9,135.9,386.6,159.6,127.4,239.4
"TunicaCounty",255.6,130.5,288.4,145,91.8,83.5,110.8,111,145.1,159.6,214.7,246.4,181.5,35,219.1,250.8,36.9,286.7,257.7,338.8,311.3,90.4,352.2,343.5,189.3,127,120.2,150.8,146.5,372.4,246.1,229,252.8,261.5,211.8,75.2,291.5,225.6,248.5,168.7,128.4,84.7,244.4,190.9,168.5,275.7,68.5,165.2,116.5,187.8,211.9,212.6,168.4,48,322.9,303.2,269.7,119.6,142.4,48.7,202,194.9,138,226,222.8,317.5,85.3,65.1,30.2,117.3,154.9,11.3,105.4,288.6,182.2,107.8,282.4,138.2,284.1,176.5,81.2,148.1
"UnionCounty",299.3,49.5,299.2,116,32.8,142.1,53.4,119.3,42.9,92.6,249.4,191.2,79.3,101.4,230,255.9,76.3,268.7,279.8,298.6,267.6,87.5,334.2,325.4,202.8,144.5,159.5,203.8,44.3,335.7,221,271.1,259.8,230.8,144.4,36.5,273.4,166,259.3,140.5,26.2,123.8,255.2,88.6,175.5,286.3,39.8,62.9,104.4,132.2,156.3,110.4,95.8,67.4,304.9,272.7,280.5,17.3,37.2,81.5,185.3,166.8,191,233,194.6,299.5,137.2,98.4,69.4,22.9,59.9,105.4,10.5,299.4,235.9,168.4,227.1,81.8,332.6,104.3,67.8,179.7
"WalthallCounty",94.3,327.3,48.8,158.7,313.6,239.7,253.2,196.5,270.2,188.2,110.9,126.7,237.6,259.9,70.8,59.4,293,60.2,62.3,112.3,111.4,217.3,97.7,105.4,108.1,165.8,181,160.9,289.8,134.4,113.7,90.4,45.6,75.4,169.8,263.1,50.7,140.6,34.8,134.4,281.1,204.6,41,227.6,125.1,20.2,296.1,257.7,200.7,157.1,130.9,198.2,237.5,258.1,73.3,76.6,22.5,292.6,315,272.2,114.8,111.6,169.6,68.6,78.8,79.4,220.3,240.4,275.5,322,337.6,288.6,299.4,10.3,124.8,204.5,111.5,233,82.2,175.8,239.7,142.7
"WarrenCounty",75.1,285.2,103.2,121.2,250.2,118.3,189.7,133,205.7,150.7,34.2,154.2,199.3,153.5,55.4,103.3,229.6,139.3,77.2,191.4,177.6,153.8,204.8,196,35.6,102.3,75.1,39.5,258.6,225,116.7,48.5,105.4,127.8,165.6,199.6,144,136.3,84.7,97.4,240.2,107.2,80.6,193.3,61.6,128.2,232.6,216.9,137.2,122.5,110.6,170.4,171.1,194.6,175.5,155.7,105.9,229.1,272.9,159.3,54.6,91.2,48.2,78.6,93.5,170.1,112.1,142.9,212,258.5,295.6,182.2,235.9,124.8,12.8,83.1,158.3,169.5,103.6,137.9,176.2,58.7
"WashingtonCounty",156.6,217.7,184.7,112.6,182.6,43.9,122.2,71.6,143.9,127.2,115.7,214.1,146.3,79,135.1,177,144.3,213,158.7,265.1,251.3,86.3,278.5,269.7,115.3,72.9,43.2,51.7,196.8,298.7,190.4,130,179.1,201.5,179.4,132.1,217.7,193.3,164.4,136.3,178.4,50.8,160.3,161,104.1,201.9,165.1,177.6,84.2,155.4,179.5,173.3,136.1,109.8,249.2,229.4,185.6,161.6,205.4,84.9,128.3,148.9,38.9,152.3,167.2,243.8,38.7,79.3,130,191,228.1,107.8,168.4,204.5,83.1,14.2,232,116.5,185.1,144.1,108.7,74.4
"WayneCounty",180.2,248.5,159.2,139.8,256.7,251.3,186.7,176.6,191.5,147.3,160.7,35.7,158.8,260.7,119.8,61.6,273.2,74.3,147.4,77.3,41.4,197.5,139.8,131,125.1,179,198,194.3,211,114.4,69.1,167.5,87.9,36.4,91.1,235.4,79.1,62.4,97.2,135,202.3,205.5,118.9,148.9,138.3,91.9,263.7,179,180.8,99.6,89.5,119.5,158.8,238.3,110.5,58.3,132.9,206,236.2,252.4,109.5,112.2,203,85.2,70.8,105.1,232,242.1,255.6,249.8,258.9,282.4,227.1,111.5,158.3,232,14.7,163.1,192.6,122.3,219.8,159.8
"WebsterCounty",232.9,125.6,232.8,53.1,111.4,113,28.5,52.9,44.9,24.9,183,127.2,38.5,122.4,163.6,163.9,128.9,191.7,213.3,228.8,208,48.4,257.1,248.4,136.4,78,107.6,151.9,97.8,265.9,138.4,204.7,193.3,153.8,77.1,64.1,196.4,102.8,192.9,77.6,79.4,71.9,188.8,53.2,109.1,216.2,97.1,69.8,33.2,69.7,93.8,67.2,28.3,94,227.9,202.9,214.1,64.8,113.3,108.1,122.3,103.8,139.1,166.6,131.7,222.4,98.4,97.9,111.4,104.4,135.9,138.2,81.8,233,169.5,116.5,163.1,10.6,266.2,41.8,63.8,113.3
"WilkinsonCounty",31.7,376.2,42,214.5,346.8,220.3,286.4,229.7,302.4,244,76.9,207.8,286.5,255.4,104,140.3,326.2,141.3,62.4,193.4,192.5,250.5,165.5,188.8,125.9,199,177,141.4,348.4,217.8,194.8,56.5,124.2,156.5,250.9,296.2,131.8,221.7,103.1,191.1,330,209.1,82.4,287,158.2,101.3,329.3,310.5,233.9,216.2,203.9,264.1,264.8,291.3,150,157.7,63.3,325.8,363.9,261.3,148,184.6,150.2,144.3,159.7,160.5,214,244.8,308.7,355.2,386.6,284.1,332.6,82.2,103.6,185.1,192.6,266.2,13.5,231.6,272.9,160.6
"WinstonCounty",198.3,149.2,198.2,39,133.9,145.4,65.3,80.5,69.4,25.9,151.4,86.4,59.5,154.8,129,129.5,167.2,150.9,178.8,188,167.2,85.2,216.4,207.6,104.8,69.6,106.1,150.4,121.4,225.1,97.6,173.1,144,113,40.8,100.9,155.6,65.6,158.3,43.2,103,99.5,154.2,60,77.5,160.6,133.9,83.5,60.9,28.9,53,35.6,37.8,132.3,187.1,162.1,179.5,87.2,136.9,146.4,88,69.5,137.6,117.2,97.3,181.6,126.1,136.2,149.7,126.9,159.6,176.5,104.3,175.8,137.9,144.1,122.3,41.8,231.6,12.7,113.9,101.6
"YalobushaCounty",239.6,117,239.5,82.4,82,87.6,35.4,59.6,65.6,97,189.7,183.9,98.6,71.1,170.3,198,71.9,234,220.1,286.1,248.7,27.8,299.5,290.7,143.1,84.8,99.8,144.1,108.8,319.7,183.5,211.4,200.1,198.9,149.2,31.4,238.7,163.1,199.6,106.1,90.7,64.1,195.5,115.7,115.8,222.9,64.4,107.9,54,125.2,149.3,129.7,91.4,37,270.2,250.4,220.8,61,104.7,51.1,149.3,132.4,131.3,173.3,160.2,264.7,82.7,40.9,54.4,90.4,127.4,81.2,67.8,239.7,176.2,108.7,219.8,63.8,272.9,113.9,11.4,120
"YazooCounty",132.1,229,142.5,65,194,109.6,133.5,73.5,149.5,94.5,90,155.7,143.1,119.4,73.3,104.8,173.4,140.8,123.9,192.9,179.1,97.6,206.3,197.5,43.4,44,40.5,60.9,202.4,226.5,118.2,105.5,106.9,129.3,123.2,143.4,145.5,137.8,102.6,67.8,184,64.1,98.5,143,37.3,129.7,176.4,174.4,81,92.8,112.1,132.1,115.6,138.4,177,157.2,123.8,172.9,216.7,118.4,56.1,92.7,48.1,80.1,95,171.6,79.8,99.9,155.8,202.4,239.4,148.1,179.7,142.7,58.7,74.4,159.8,113.3,160.6,101.6,120,15.7
