"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"AccomackCounty",216,0,78,437,2855,266,1054,109,81,127,103,784,69,300,1196,1169,91,1443,280,874
"AlbemarleCounty",567,66,29,2186,2113,1033,5327,537,709,955,911,3244,1846,2710,12183,6272,1229,4175,1896,979
"AlleghanyCounty",8,2,14,228,464,80,346,38,10,46,37,113,3,88,290,1041,35,378,218,129
"AmeliaCounty",187,0,4,312,232,193,204,38,15,46,4,60,1,88,297,255,15,86,50,130
"AmherstCounty",81,0,21,525,1387,172,1324,296,81,145,29,134,13,177,1393,2572,61,658,193,389
"AppomattoxCounty",47,32,11,248,110,78,529,20,7,42,16,77,74,34,403,410,47,243,99,194
"ArlingtonCounty",0,2,634,2068,1164,1862,9063,7598,4753,6266,3072,36280,2871,11243,10401,9626,2602,15155,10059,11695
"AugustaCounty",189,25,169,2003,5035,945,1838,2242,196,224,186,476,229,911,2473,4159,134,1104,436,785
"BathCounty",21,1,79,141,43,6,37,1,15,6,16,18,1,33,213,252,18,963,44,98
"BedfordCounty",139,0,76,1373,2097,1274,2419,287,232,460,313,1212,40,1459,2205,2174,246,1187,1006,589
"BlandCounty",5,3,0,58,624,246,71,121,0,16,4,12,4,28,211,230,12,8,16,430
"BotetourtCounty",88,59,2,1082,1817,1036,855,550,196,258,73,218,181,679,928,787,83,803,226,264
"BrunswickCounty",295,4,10,314,267,47,273,244,27,54,10,49,3,793,819,392,7,181,57,156
"BuchananCounty",12,1782,66,520,214,172,644,300,41,187,26,265,114,388,807,730,11,266,156,595
"BuckinghamCounty",112,84,4,265,100,32,304,101,6,24,4,88,36,14,507,498,144,143,94,607
"CampbellCounty",182,26,104,2028,4552,764,1956,477,162,383,104,539,105,1076,1395,1433,196,1046,374,424
"CarolineCounty",73,8,136,345,296,236,556,293,23,53,14,195,406,239,86,390,57,447,219,313
"CarrollCounty",31,0,0,463,1128,130,728,48,5,73,24,124,2,291,915,1355,49,624,99,318
"CharlesCityCounty",67,22,0,208,349,66,22,160,14,8,3,26,4,58,0,45,57,26,34,109
"CharlotteCounty",150,13,1,62,466,68,227,242,1,34,11,62,21,33,735,279,13,111,65,227
"ChesterfieldCounty",49,42,1084,8731,8612,5995,21510,5824,2036,4830,1423,7566,1312,8132,11594,15419,2327,10973,4398,4658
"ClarkeCounty",150,21,0,324,569,131,213,47,20,106,25,233,90,79,744,307,27,192,140,241
"CraigCounty",6,0,24,12,16,1,98,0,4,23,13,17,0,7,170,78,0,55,10,83
"CulpeperCounty",210,73,179,1195,1299,627,2118,251,403,230,128,895,46,646,1590,2387,221,1203,811,961
"CumberlandCounty",87,0,0,108,131,24,182,84,21,13,6,26,25,24,251,115,2,81,17,86
"DickensonCounty",16,767,17,352,43,47,437,133,12,64,6,219,19,61,591,490,9,180,96,329
"DinwiddieCounty",58,54,32,504,342,149,1459,1446,5,191,48,66,60,69,792,458,133,277,144,406
"EssexCounty",56,0,0,96,509,197,777,30,53,201,50,76,187,97,311,495,45,390,155,186
"FairfaxCounty",50,299,1864,24493,6546,15484,55255,8455,24263,21448,9614,163527,19638,42005,55662,54486,7520,41739,22254,18060
"FauquierCounty",340,78,41,2339,824,411,2736,267,170,519,403,1965,221,646,2884,2655,445,1893,1040,1019
"FloydCounty",158,12,13,204,320,60,339,39,71,102,12,67,0,110,498,371,56,210,102,158
"FluvannaCounty",80,0,99,338,91,123,372,44,11,49,16,125,14,588,952,278,46,285,165,553
"FranklinCounty",212,5,14,1186,2992,621,1955,302,109,246,87,389,54,680,2258,1459,222,980,576,439
"FrederickCounty",247,104,100,2174,5117,1202,3380,1857,231,1024,142,815,362,1228,719,1733,384,2098,556,1083
"GilesCounty",0,0,73,604,985,72,651,62,43,63,13,213,0,17,572,437,11,360,147,271
"GloucesterCounty",59,8,60,598,159,270,1705,181,96,222,107,336,7,338,1359,1393,175,898,397,370
"GoochlandCounty",78,114,0,1025,338,537,553,87,23,6913,141,645,1661,537,722,762,404,474,356,965
"GraysonCounty",69,0,17,46,358,9,146,40,22,106,4,27,0,83,454,294,51,98,34,494
"GreeneCounty",17,26,47,200,87,91,495,78,17,38,22,223,3,152,570,262,30,326,63,173
"GreensvilleCounty",13,43,19,68,839,127,119,243,3,1,7,32,1,73,1,406,8,141,55,969
"HalifaxCounty",112,13,128,651,1895,396,1289,941,88,182,140,179,68,353,1348,2261,287,894,340,522
"HanoverCounty",227,87,83,5515,3793,4928,7130,1368,810,1092,538,2442,982,2815,3720,5732,2335,3560,1704,1062
"HenricoCounty",80,17,497,7901,6234,9359,23550,3613,4112,18231,3645,16531,8830,16242,11550,27873,2167,15606,6276,5590
"HenryCounty",27,20,4,596,3831,452,2604,1184,152,262,78,664,76,1109,1811,1055,183,933,361,500
"HighlandCounty",33,0,0,55,33,16,37,11,17,48,0,17,0,31,63,40,0,42,18,287
"IsleofWightCounty",166,0,34,486,3122,497,896,501,32,209,73,386,193,502,1007,831,78,839,373,464
"JamesCityCounty",34,3,170,1501,1695,1016,3486,963,234,357,655,1251,721,1589,1996,4557,4144,2727,618,672
"KingandQueenCounty",84,9,11,95,153,56,62,34,2,14,4,26,4,17,174,59,0,27,25,60
"KingGeorgeCounty",55,41,4,256,59,75,485,84,87,188,77,1985,7,474,609,314,21,363,189,294
"KingWilliamCounty",94,52,0,244,727,88,526,30,9,150,28,195,1,80,574,224,31,238,120,136
"LancasterCounty",13,0,18,266,286,70,591,73,79,261,42,251,103,103,291,1004,36,395,214,217
"LeeCounty",21,167,60,377,102,99,824,32,26,100,31,49,96,111,898,586,16,247,73,657
"LoudounCounty",426,142,385,13858,6314,4175,16249,11096,7515,3084,1641,19147,1222,11036,15254,11723,2961,12813,5065,4929
"LouisaCounty",43,47,1158,460,672,209,862,913,19,93,137,159,61,302,1001,503,39,500,159,348
"LunenburgCounty",67,0,0,163,348,143,186,72,12,21,5,34,68,55,285,253,9,48,133,370
"MadisonCounty",100,1,0,226,267,68,757,18,9,23,7,79,2,31,744,288,4,220,102,161
"MathewsCounty",65,0,0,84,104,21,168,26,4,17,14,48,0,36,294,187,34,104,100,122
"MecklenburgCounty",266,2,110,725,1205,202,1465,715,198,246,109,294,136,548,758,2102,72,1024,369,585
"MiddlesexCounty",35,0,0,211,167,100,347,39,48,68,21,74,186,124,284,825,118,196,81,289
"MontgomeryCounty",63,80,112,1115,3702,628,5340,519,411,519,950,2307,115,1812,10366,4758,705,4338,1043,895
"NelsonCounty",275,7,104,271,433,36,294,28,21,43,43,165,8,105,508,295,20,790,265,144
"NewKentCounty",27,0,10,853,167,54,465,72,24,70,22,106,7,134,548,500,176,254,138,310
"NorthamptonCounty",631,0,2,99,444,58,423,172,13,52,16,67,29,70,467,575,106,456,98,240
"NorthumberlandCounty",30,1,5,255,329,65,276,44,11,62,18,108,28,102,306,118,84,161,125,132
"NottowayCounty",113,11,48,172,342,126,583,95,39,126,27,131,63,28,645,1430,3,308,115,976
"OrangeCounty",596,1,59,521,1622,501,956,161,27,146,186,285,5,225,1427,835,133,650,386,535
"PageCounty",44,0,12,287,753,34,709,51,23,138,16,176,2,191,656,567,324,626,112,351
"PatrickCounty",228,0,7,205,1436,124,447,147,68,71,4,279,26,55,500,735,25,320,98,185
"PittsylvaniaCounty",281,5,86,1029,1841,912,1080,183,45,115,67,190,74,512,2461,1292,64,533,387,666
"PowhatanCounty",35,26,13,1269,228,237,496,73,22,116,47,368,14,254,746,373,178,420,261,1163
"PrinceEdwardCounty",120,0,22,329,170,157,1305,57,114,146,96,147,47,382,2106,1391,42,966,289,669
"PrinceGeorgeCounty",7,0,7,484,474,541,872,1936,22,99,114,779,135,558,1223,655,79,1071,318,1328
"PrinceWilliamCounty",74,77,648,12492,1997,3356,21678,2400,1828,1907,1622,9245,900,6555,17586,11478,2827,13185,3869,3779
"PulaskiCounty",84,12,59,421,4375,267,1721,695,79,118,70,276,37,763,1348,1211,117,1006,333,615
"RappahannockCounty",41,0,7,125,49,8,126,1,28,16,8,88,0,59,255,76,1,284,64,75
"RichmondCounty",43,0,64,70,144,147,246,10,73,63,13,105,1,91,419,302,19,140,107,591
"RoanokeCounty",38,0,236,1094,2637,1428,5652,1353,586,2094,465,3189,1401,2526,3817,5105,864,3010,1114,1402
"RockbridgeCounty",70,27,45,419,1096,86,1006,76,35,61,38,104,44,101,690,438,220,718,135,183
"RockinghamCounty",840,62,111,2460,7263,1042,1849,3155,55,211,450,468,271,1104,534,4410,148,2128,514,853
"RussellCounty",25,292,84,542,194,79,920,212,351,261,20,688,72,142,699,1001,18,350,166,456
"ScottCounty",50,10,27,112,762,62,751,128,90,124,20,87,3,110,652,844,23,435,146,335
"ShenandoahCounty",109,16,68,653,3347,338,1465,506,310,247,124,290,238,510,1461,1307,154,1306,479,583
