County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
BakerCounty,2610,979,1480,4820,2703,3542
BentonCounty,12353,8789,19689,23821,10647,10280
ClackamasCounty,72391,26014,40589,131707,54060,51231
ClatsopCounty,6221,2378,4498,11623,6159,6160
ColumbiaCounty,9502,3340,4807,17436,7383,6883
CoosCounty,9729,3801,6556,19020,10451,13486
CrookCounty,3777,1230,1846,6552,3370,4203
CurryCounty,2790,1110,1717,6125,4361,6261
DeschutesCounty,30005,9655,18172,54089,22321,23491
DouglasCounty,17823,6824,10902,32408,17140,22570
GilliamCounty,276,102,137,613,328,415
GrantCounty,1148,426,585,2175,1351,1760
HarneyCounty,1308,532,670,2332,1178,1402
HoodRiverCounty,4806,1555,2501,7977,2700,2807
JacksonCounty,36329,13249,24084,63480,30230,35834
JeffersonCounty,4533,1535,2444,6925,2952,3331
JosephineCounty,13612,5139,7757,24320,13447,18438
KlamathCounty,12143,4605,7878,20413,9990,11351
LakeCounty,1174,478,687,2606,1338,1612
LaneCounty,57289,25532,55242,110797,50074,52781
LincolnCounty,6515,2395,4447,13799,8906,9972
LinnCounty,23429,7812,14115,37544,15781,17991
MalheurCounty,6690,2289,4203,9865,3572,4694
MarionCounty,69396,23471,43132,101866,36921,40549
MorrowCounty,2610,901,1192,3603,1446,1421
MultnomahCounty,127425,41436,123046,278237,87767,77423
PolkCounty,15116,6100,10512,22750,9773,11152
ShermanCounty,286,95,167,568,265,384
TillamookCounty,4079,1479,2360,7620,4439,5273
UmatillaCounty,16798,5600,10039,24619,9176,9657
UnionCounty,4789,1928,3540,7430,3753,4308
WallowaCounty,1109,323,579,2039,1332,1626
WascoCounty,4820,1657,2853,7677,3756,4450
WashingtonCounty,113830,34173,72678,197654,58266,53109
WheelerCounty,206,81,105,375,254,420
YamhillCounty,20406,7847,12872,32826,11976,13266
