County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AlconaCounty,1226,571,628,3011,2065,3441
AlgerCounty,1327,469,998,3252,1580,1975
AlleganCounty,23958,8025,11840,38989,14158,14438
AlpenaCounty,4956,1969,2891,9722,4295,5765
AntrimCounty,3986,1417,1918,7286,3757,5216
ArenacCounty,2521,1064,1476,5175,2436,3227
BaragaCounty,1436,536,987,3079,1291,1531
BarryCounty,11782,4271,5899,20415,8195,8611
BayCounty,19579,7218,12542,35983,14942,17507
BenzieCounty,3036,1017,1461,5765,2629,3617
BerrienCounty,30020,10976,17729,51652,20887,25549
BranchCounty,8927,3028,5330,15539,5765,6659
CalhounCounty,26994,10216,16266,44953,17608,20109
CassCounty,9983,3650,5033,17479,7793,8355
CharlevoixCounty,4660,1575,2316,8554,4011,4833
CheboyganCounty,4245,1624,2194,8278,4190,5621
ChippewaCounty,6376,2501,5642,13548,4826,5627
ClareCounty,5221,2021,3164,9650,4703,6167
ClintonCounty,15152,5607,10003,25473,9442,9705
CrawfordCounty,2252,873,1208,4590,2223,2928
DeltaCounty,6336,2351,3535,11918,5831,7098
DickinsonCounty,4410,1774,2455,8784,3778,4967
EatonCounty,20336,7824,13063,36567,14861,15108
EmmetCounty,5960,2191,3353,10803,4950,5437
GeneseeCounty,86941,32030,50468,145486,52676,58189
GladwinCounty,4169,1592,2218,7701,4159,5853
GogebicCounty,2261,958,1802,5318,2574,3514
GrandTraverseCounty,15729,5654,10228,30141,12206,13028
GratiotCounty,7418,3242,6009,14563,4973,6271
HillsdaleCounty,9016,3593,5336,15080,6319,7344
HoughtonCounty,6342,3525,7366,9685,4234,5476
HuronCounty,5483,2022,2992,10405,5018,7198
InghamCounty,48500,26756,59819,84918,31489,29413
IoniaCounty,12831,4544,8588,23240,7449,7253
IoscoCounty,3647,1428,2037,7586,4434,6755
IronCounty,1618,624,914,3457,2096,3108
IsabellaCounty,10523,9126,20016,17362,6457,6827
JacksonCounty,30514,11556,19249,55604,20646,22679
KalamazooCounty,47253,19456,45655,78555,28632,30780
KalkaskaCounty,3189,1091,1693,5835,2508,2837
KentCounty,131372,44547,89967,203891,65741,67104
KeweenawCounty,324,102,148,634,430,518
LakeCounty,1680,566,931,3539,2087,2736
LapeerCounty,16966,6869,8559,32010,12136,11779
LeelanauCounty,3282,1410,1546,6350,4038,5082
LenaweeCounty,18701,7676,11608,33871,13456,14580
LivingstonCounty,37226,13346,16862,67570,24319,21644
LuceCounty,949,351,790,2452,904,1185
MackinacCounty,1620,650,883,3532,1941,2487
MacombCounty,157818,56807,99500,302698,103975,120180
ManisteeCounty,3816,1414,2463,7850,4082,5108
MarquetteCounty,10256,5140,11354,20911,9589,9827
MasonCounty,5001,1948,2829,9021,4397,5509
MecostaCounty,6992,4306,8493,11258,5172,6577
MenomineeCounty,4106,1460,2147,7918,3811,4587
MidlandCounty,15943,6331,9854,28626,10491,12384
MissaukeeCounty,2876,1045,1488,4772,2087,2581
MonroeCounty,29613,11219,16754,53797,20246,20392
MontcalmCounty,12434,4550,7386,22219,7811,8942
MontmorencyCounty,1332,475,714,2817,1790,2637
MuskegonCounty,34944,12747,21384,58081,21680,23352
NewaygoCounty,9781,3594,5069,16059,6429,7528
OaklandCounty,229096,81049,135014,439807,158272,159124
OceanaCounty,5374,1937,2685,8365,3684,4525
OgemawCounty,3509,1378,1916,6725,3406,4765
OntonagonCounty,849,312,415,2092,1325,1787
OsceolaCounty,4674,1739,2360,7518,3229,4008
OscodaCounty,1389,531,732,2487,1467,2034
OtsegoCounty,4500,1650,2336,8113,3451,4114
OttawaCounty,56677,23811,37536,85876,28878,31023
PresqueIsleCounty,1886,691,948,3960,2393,3498
RoscommonCounty,3083,1303,1760,6862,4592,6849
SaginawCounty,37936,16141,25165,64214,26112,30601
StClairCounty,31114,11762,16951,57556,21986,23671
StJosephCounty,13038,4377,7058,19931,7788,9103
SanilacCounty,8206,3008,4281,14126,5914,7579
SchoolcraftCounty,1357,520,657,2724,1425,1802
ShiawasseeCounty,13780,5476,7484,24558,9245,10105
TuscolaCounty,10378,4182,5830,18837,7671,8831
VanBurenCounty,15738,5664,8183,25911,10239,10523
WashtenawCounty,59300,30492,67528,113255,39265,34951
WayneCounty,373674,144913,229080,623584,218630,230703
WexfordCounty,6583,2145,3686,10795,4327,5199
