County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AdairCounty,4093,2999,6140,6545,2620,3210
AndrewCounty,3394,1225,1716,5940,2335,2681
AtchisonCounty,931,379,521,1752,875,1227
AudrainCounty,5135,1906,3054,8311,3039,4084
BarryCounty,7074,2498,3618,11363,4773,6271
BartonCounty,2672,859,1266,3926,1547,2132
BatesCounty,3492,1142,1776,5503,2117,3019
BentonCounty,2799,1009,1397,5453,3462,4936
BollingerCounty,2379,861,1268,4107,1689,2059
BooneCounty,28758,14681,38907,49111,16113,15072
BuchananCounty,17369,6367,13336,29372,10256,12501
ButlerCounty,8323,2759,4970,13871,5606,7265
CaldwellCounty,1962,669,903,3079,1235,1576
CallawayCounty,8157,3508,6354,15348,5505,5460
CamdenCounty,6840,2424,4066,13285,7853,9534
CapeGirardeauCounty,13789,5966,12455,23679,8951,10834
CarrollCounty,1759,643,914,2955,1245,1779
CarterCounty,1236,460,660,2024,845,1040
CassCounty,21854,6979,10867,34890,11398,13490
CedarCounty,2714,899,1239,4045,1959,3126
CharitonCounty,1459,473,700,2438,1086,1675
ChristianCounty,17761,5237,9120,27225,8615,9464
ClarkCounty,1420,453,700,2300,1005,1261
ClayCounty,48078,14431,28691,80613,25162,24964
ClintonCounty,4186,1459,2092,7120,2626,3260
ColeCounty,15028,4985,10242,26843,9567,9325
CooperCounty,3279,1148,2514,5814,2144,2702
CrawfordCounty,4975,1620,2798,8149,3137,4017
DadeCounty,1432,534,629,2483,1188,1617
DallasCounty,3416,1164,1698,5428,2218,2853
DaviessCounty,1862,584,814,2569,1163,1441
DeKalbCounty,1912,664,1835,5259,1451,1771
DentCounty,3020,1002,1620,5016,2022,2977
DouglasCounty,2487,897,1344,4187,2053,2716
DunklinCounty,6718,2252,3429,10263,4023,5268
FranklinCounty,20691,7066,11911,35509,12315,14000
GasconadeCounty,2750,948,1447,4923,2092,3062
GentryCounty,1354,483,715,2029,776,1381
GreeneCounty,48793,19517,49352,87070,31849,38593
GrundyCounty,2077,717,1164,2957,1246,2100
HarrisonCounty,1887,550,871,2717,1078,1854
