County,Metropolitan,Town
AllenCounty,1,1
AndersonCounty,1,1
AtchisonCounty,1,1
BarberCounty,1,1
BartonCounty,1,1
BourbonCounty,1,1
BrownCounty,1,1
ButlerCounty,1,1
ChaseCounty,1,1
ChautauquaCounty,1,1
CherokeeCounty,1,1
CheyenneCounty,1,1
ClarkCounty,1,1
ClayCounty,1,1
CloudCounty,1,1
CoffeyCounty,1,1
ComancheCounty,1,1
CowleyCounty,1,1
CrawfordCounty,1,1
DecaturCounty,1,1
DickinsonCounty,1,1
DoniphanCounty,1,1
DouglasCounty,1,1
EdwardsCounty,1,1
ElkCounty,1,1
EllisCounty,1,1
EllsworthCounty,1,1
FinneyCounty,1,1
FordCounty,1,1
FranklinCounty,1,1
GearyCounty,1,1
GoveCounty,1,1
GrahamCounty,1,1
GrantCounty,1,1
GrayCounty,1,1
GreeleyCounty,1,1
GreenwoodCounty,1,1
HamiltonCounty,1,1
HarperCounty,1,1
HarveyCounty,1,1
HaskellCounty,1,1
HodgemanCounty,1,1
JacksonCounty,1,1
JeffersonCounty,1,1
JewellCounty,1,1
JohnsonCounty,1,1
KearnyCounty,1,1
KingmanCounty,1,1
KiowaCounty,1,1
LabetteCounty,1,1
LaneCounty,1,1
LeavenworthCounty,1,1
LincolnCounty,1,1
LinnCounty,1,1
LoganCounty,1,1
LyonCounty,1,1
MarionCounty,1,1
MarshallCounty,1,1
McPhersonCounty,1,1
MeadeCounty,1,1
MiamiCounty,1,1
MitchellCounty,1,1
MontgomeryCounty,1,1
MorrisCounty,1,1
MortonCounty,1,1
NemahaCounty,1,1
NeoshoCounty,1,1
NessCounty,1,1
NortonCounty,1,1
OsageCounty,1,1
OsborneCounty,1,1
OttawaCounty,1,1
PawneeCounty,1,1
PhillipsCounty,1,1
PottawatomieCounty,1,1
PrattCounty,1,1
RawlinsCounty,1,1
RenoCounty,1,1
RepublicCounty,1,1
RiceCounty,1,1
RileyCounty,1,1
RooksCounty,1,1
RushCounty,1,1
RussellCounty,1,1
SalineCounty,1,1
ScottCounty,1,1
SedgwickCounty,1,1
SewardCounty,1,1
ShawneeCounty,1,1
SheridanCounty,1,1
ShermanCounty,1,1
SmithCounty,1,1
StaffordCounty,1,1
StantonCounty,1,1
StevensCounty,1,1
SumnerCounty,1,1
ThomasCounty,1,1
TregoCounty,1,1
WabaunseeCounty,1,1
WallaceCounty,1,1
WashingtonCounty,1,1
WichitaCounty,1,1
WilsonCounty,1,1
WoodsonCounty,1,1
WyandotteCounty,1,1
