Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,KansasCity,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,KansasCity,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,KansasCity,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,KansasCity,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Lawrence,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Lawrence,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,StJoseph,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,StJoseph,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,StJoseph,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,StJoseph,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Topeka,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Topeka,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Topeka,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Topeka,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Wichita,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Wichita,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Wichita,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Wichita,0,0,0,0,0,0,0,0,0,0,0,0,0
