"FAFZone","AddisonCounty","BenningtonCounty","CaledoniaCounty","ChittendenCounty","EssexCounty","FranklinCounty","GrandIsleCounty","LamoilleCounty","OrangeCounty","OrleansCounty","RutlandCounty","WashingtonCounty","WindhamCounty","WindsorCounty"
"11",1205.65,1137.67,1280.36,1240.72,1306.25,1277.53,1266.27,1280.07,1244.97,1310.86,1183.81,1255.79,1180.27,1201.43
"12",1437,1369,1511.7,1472.1,1537.6,1508.85,1497.6,1511.4,1476.3,1542.2,1415.15,1487.15,1411.6,1432.8
"19",1258.80363636364,1191.21818181818,1333.91272727273,1293.44363636364,1359.78909090909,1328.27818181818,1316.92363636364,1332.80545454545,1298.12909090909,1364.41272727273,1236.96181818182,1308.93818181818,1233.80909090909,1254.97818181818
"20",1461.36206896552,1435.68275862069,1514.38965517241,1469.06551724138,234.851724137931,1483.31034482759,1474.74137931034,1494.85172413793,1487.11724137931,219.972413793103,1447.04827586207,1494.20689655172,1463.59310344828,1473.78965517241
"41",2604.85,2565.7,2685.85,2616.65,2723.75,2638.35,2625.35,2656,2644.2,2709.85,2583.05,2655.05,2608.3,2623.85
"42",2589.05,2549.85,2669.95,2600.8,2707.925,2622.55,2609.45,2640.15,2628.35,2694.05,2567.2,2639.15,2592.45,2608
"49",2554.29545454545,2515.10454545454,2635.23181818182,2566.05,2673.18636363637,2587.79545454545,2574.72272727273,2605.41818181818,2593.61818181818,2659.29545454545,2532.44090909091,2604.43181818182,2557.69545454546,2573.26818181818
"50",1430.68866666667,1391.508,1511.628,1442.454,1549.574,1464.19866666666,1451.12,1481.81333333333,1470.01866666667,1535.69866666666,1408.848,1480.824,1434.10066666667,1449.66333333333
"61",2906.48,2867.3,2987.44,2918.26,3025.36,2940,2926.9,2957.64,2945.84,3011.5,2884.66,2956.64,2909.88,2925.46
"62",2913.95714285714,2874.77142857143,2994.88571428571,2925.7,3032.84285714286,2947.45714285714,2934.38571428571,2965.08571428571,2953.27142857143,3018.95714285714,2892.1,2964.08571428571,2917.37142857143,2932.91428571429
"63",2962.5,2923.3,3043.4,2974.3,3081.4,2996,2982.9,3013.6,3001.8,3067.5,2940.6,3012.6,2965.9,2981.5
