"County","Metropolitan","Town","Rural"
"ApacheCounty",0,0.2594,0.7406
"CochiseCounty",0.4016,0.2354,0.363
"CoconinoCounty",0.5353,0.15,0.3147
"GilaCounty",0,0.5894,0.4106
"GrahamCounty",0,0.5356,0.4644
"GreenleeCounty",0,0.5343,0.4657
"LaPazCounty",0,0.4367,0.5633
"MaricopaCounty",0.9657,0.0107,0.0236
"MohaveCounty",0.2669,0.5035,0.2296
"NavajoCounty",0,0.4586,0.5414
"PimaCounty",0.8512,0.0735,0.0752
"PinalCounty",0.5325,0.2485,0.219
"SantaCruzCounty",0,0.7312,0.2688
"YavapaiCounty",0.4016,0.2665,0.332
"YumaCounty",0.6859,0.2099,0.1043
