"FAFZone","ApacheCounty","CochiseCounty","CoconinoCounty","GilaCounty","GrahamCounty","GreenleeCounty","LaPazCounty","MaricopaCounty","MohaveCounty","NavajoCounty","PimaCounty","PinalCounty","SantaCruzCounty","YavapaiCounty","YumaCounty"
"11",1465.73,1577.78,1635.81,1640.61,1543.34,1526.12,1834.14,1718.33,1748.67,1544.42,1621.96,1683.43,1636.9,1691.42,1839.8
"12",1437.2,1502.35,1607.25,1570.8,1467.95,1450.7,1785.45,1656.45,1720.15,1515.9,1546.55,1608.05,1561.5,1662.9,1764.4
"19",1468.88,1574.38,1638.95454545455,1635.72909090909,1539.94181818182,1522.72363636364,1830.00727272727,1715.06363636364,1751.81272727273,1547.57818181818,1618.56181818182,1680.04181818182,1633.52363636364,1694.56,1836.41454545455
"20",997.003448275862,1257.78620689655,993.975862068966,1141.5275862069,1202.21034482759,1152.07931034483,1104.58275862069,1127.5275862069,1007.66896551724,1029.15862068966,1209.5,1167.0275862069,1243.28275862069,1071.58965517241,1145.09310344828
"50",1087.10533333333,1248.74733333334,1257.168,1284.36133333334,1217.426,1200.20733333333,1446.06933333333,1351.864,1370.032,1165.80666666667,1292.91866666667,1325.17266666667,1307.88333333334,1312.784,1500.326
"61",628.92,559.08,500.94,476.38,522.98,573.28,270.4,363.92,311.22,557.62,485.38,420.58,536.98,384.3,276.54
"62",973.671428571429,988.457142857143,845.671428571429,905.728571428572,952.328571428571,1002.62857142857,708.828571428571,793.285714285714,662.542857142857,902.342857142857,914.757142857143,849.928571428571,966.328571428571,791.1,707.342857142857
"63",663.1,488.8,535.1,457.9,504.5,578.3,282.1,353.6,380.4,591.8,415.1,369.3,466.7,382.2,184.2
"64",926.1,933.7,798.108333333333,850.966666666667,897.575,947.858333333333,654.075,738.525,614.941666666667,854.741666666667,860,795.191666666667,911.55,743.516666666667,652.6
"65",784.1,801.8,656.1,719.05,765.7,815.95,499.75,606.6,472.95,712.75,728.1,663.25,779.65,601.5,520.7
"69",933.277419354839,949.656451612904,805.28870967742,868.593548387097,915.209677419355,966.248387096774,659.277419354839,755.822580645161,617.280645161291,861.945161290323,875.953225806452,811.751612903226,927.525806451613,745.593548387097,667.783870967742
"81",611.958333333333,863.416666666667,639.6375,826.416666666667,807.516666666666,790.308333333334,961.1875,835.675,858.4375,663.916666666667,907.6,870.475,922.554166666667,791.458333333333,1002.89583333333
