County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
ApacheCounty,18367,6780,8748,21519,7836,8268
CochiseCounty,24907,9245,17130,39830,17546,22688
CoconinoCounty,26307,13324,25868,41638,15360,11924
GilaCounty,9314,3342,4944,14814,8733,12450
GrahamCounty,8921,3151,5675,11534,3678,4261
GreenleeCounty,2031,640,1060,2711,979,1016
LaPazCounty,3012,1037,1586,4887,3284,6683
MaricopaCounty,842707,276899,543576,1292985,398309,462641
MohaveCounty,33911,11709,18617,57782,31509,46658
NavajoCounty,26300,9090,12944,31940,12934,14241
PimaCounty,186423,71344,141522,307314,122367,151293
PinalCounty,85577,22650,48774,123890,42808,52071
SantaCruzCounty,11827,4152,4938,14659,5620,6224
YavapaiCounty,33126,11916,19624,59363,36237,50767
YumaCounty,45329,16303,27576,56869,19028,30646
