Msa,DvmtFactor
Longview,0.75
Seattle,1.00
Spokane,0.80
Bellingham,0.75
Lewiston,0.70
Portland,0.80
MountVernon,0.75
Wenatchee,0.75
KennewickPasco,0.80
OlympiaLacey,0.80
Yakima,0.75
