County,Region,Msa
AdamsCounty,,NA
AsotinCounty,,Lewiston
BentonCounty,,KennewickPasco
ChelanCounty,,Wenatchee
ClallamCounty,,NA
ClarkCounty,,Portland
ColumbiaCounty,,NA
CowlitzCounty,,Longview
DouglasCounty,,Wenatchee
FerryCounty,,NA
FranklinCounty,,KennewickPasco
GarfieldCounty,,NA
GrantCounty,,NA
GraysHarborCounty,,NA
IslandCounty,,NA
JeffersonCounty,,NA
KingCounty,,Seattle
KitsapCounty,,Seattle
KittitasCounty,,NA
KlickitatCounty,,NA
LewisCounty,,NA
LincolnCounty,,NA
MasonCounty,,NA
OkanoganCounty,,NA
PacificCounty,,NA
PendOreilleCounty,,NA
PierceCounty,,Seattle
SanJuanCounty,,NA
SkagitCounty,,MountVernon
SkamaniaCounty,,NA
SnohomishCounty,,Seattle
SpokaneCounty,,Spokane
StevensCounty,,NA
ThurstonCounty,,OlympiaLacey
WahkiakumCounty,,NA
WallaWallaCounty,,KennewickPasco
WhatcomCounty,,Bellingham
WhitmanCounty,,NA
YakimaCounty,,Yakima
