"County","Metropolitan","Town","Rural"
"AdamsCounty",0,0.5984,0.4016
"AsotinCounty",0.9335,0,0.0665
"BentonCounty",0.831,0.0633,0.1057
"ChelanCounty",0.5385,0.1892,0.2722
"ClallamCounty",0,0.6455,0.3545
"ClarkCounty",0.8453,0.017,0.1377
"ColumbiaCounty",0,0.6574,0.3426
"CowlitzCounty",0.6015,0.112,0.2865
"DouglasCounty",0.734,0,0.266
"FerryCounty",0,0,1
"FranklinCounty",0.8145,0.0521,0.1333
"GarfieldCounty",0,0,1
"GrantCounty",0,0.6125,0.3875
"GraysHarborCounty",0,0.5989,0.4011
"IslandCounty",0,0.531,0.469
"JeffersonCounty",0,0.4253,0.5747
"KingCounty",0.9573,0.0107,0.0321
"KitsapCounty",0.801,0.0316,0.1674
"KittitasCounty",0,0.5994,0.4006
"KlickitatCounty",0,0.3979,0.6021
"LewisCounty",0,0.3935,0.6065
"LincolnCounty",0,0,1
"MasonCounty",0,0.363,0.637
"OkanoganCounty",0,0.2001,0.7999
"PacificCounty",0,0.3523,0.6477
"PendOreilleCounty",0,0.1689,0.8311
"PierceCounty",0.9279,0.0062,0.0659
"SanJuanCounty",0,0,1
"SkagitCounty",0.5386,0.1712,0.2902
"SkamaniaCounty",0,0,1
"SnohomishCounty",0.8632,0.0286,0.1082
"SpokaneCounty",0.8231,0.0402,0.1367
"StevensCounty",0,0.2079,0.7921
"ThurstonCounty",0.7001,0.09,0.2099
"WahkiakumCounty",0,0,1
"WallaWallaCounty",0.8288,0,0.1712
"WhatcomCounty",0.5691,0.1721,0.2587
"WhitmanCounty",0,0.7247,0.2753
"YakimaCounty",0.5326,0.2323,0.2352
