"SCTG","Payload","N"
1,12.2468285097997,8
2,13.4961969489482,35
3,18.9423030174596,55
4,11.8752313331299,13
5,11.4635020662633,15
6,4.71706995902661,19
7,15.8470626372786,45
8,10.2941785681165,9
9,12.5303662811142,2
10,12.7559630168912,1
11,14.7601763932821,2
12,16.3337934365547,83
13,22.4268529020419,10
14,19.7343283246373,0
15,21.9759244651015,0
16,14.0428921341034,1
17,24.3515448152176,2
18,13.18800778182,14
19,12.0623682728466,13
20,14.6935220971178,7
21,5.12434471305138,2
22,14.5981847329103,23
23,4.65416837569279,10
24,9.66549316294252,6
25,20.5124532103789,41
26,11.3379301950664,49
27,16.5382555630002,4
28,13.1552492378572,9
29,5.51350467372506,2
30,10.307661585523,0
31,14.8477958618428,55
32,15.1420369804366,19
33,2.29238432239662,52
34,12.8047705268899,32
35,6.69443507729499,10
36,4.58475720318363,23
37,9.46747733606043,10
38,4.51852664992441,0
39,2.70694940750579,10
40,6.78425168926571,250
41,7.66262100664106,69
43,13.3461843894377,38
99,10.8934974922361,7
