"SCTG","PctEmpty","N"
1,0.404712182455824,7
2,0.43122004475574,68
3,0.225417419162565,19
4,0.30425401737746,14
5,0.199516035193507,7
6,0.125056597316843,18
7,0.176770006292661,48
8,0.209453973305391,5
9,0.220797674677544,0
10,0.345868222703136,7
11,0.406653723247503,7
12,0.405504879178793,69
13,0.435219832165983,11
14,0.330631811974,0
15,0.394477968299597,8
16,0.411406611770122,1
17,0.405256894636644,0
18,0.30780628855648,7
19,0.498605456185129,10
20,0.35298683103157,11
21,0.163003296356002,1
22,0.381398011930285,6
23,0.326670860056764,11
24,0.188563067960828,10
25,0.430737531709114,6
26,0.309357784802252,22
27,0.207833893632727,3
28,0.216947168869503,7
29,0.142965266998763,3
30,0.150707615637309,4
31,0.418523464164568,48
32,0.228054395751283,40
33,0.0880813561766698,58
34,0.306221654046493,39
35,0.159588441529491,6
36,0.224211351493225,50
37,0.179037995207116,3
38,0.253528170079209,0
39,0.235574856101161,13
40,0.194402711497783,251
41,0.337245621160165,44
43,0.125980719473955,41
99,0.377666020609811,3
