"County","AdamsCounty","AllenCounty","AshlandCounty","AshtabulaCounty","AthensCounty","AuglaizeCounty","BelmontCounty","BrownCounty","ButlerCounty","CarrollCounty","ChampaignCounty","ClarkCounty","ClermontCounty","ClintonCounty","ColumbianaCounty","CoshoctonCounty","CrawfordCounty","CuyahogaCounty","DarkeCounty","DefianceCounty","DelawareCounty","ErieCounty","FairfieldCounty","FayetteCounty","FranklinCounty","FultonCounty","GalliaCounty","GeaugaCounty","GreeneCounty","GuernseyCounty","HamiltonCounty","HancockCounty","HardinCounty","HarrisonCounty","HenryCounty","HighlandCounty","HockingCounty","HolmesCounty","HuronCounty","JacksonCounty","JeffersonCounty","KnoxCounty","LakeCounty","LawrenceCounty","LickingCounty","LoganCounty","LorainCounty","LucasCounty","MadisonCounty","MahoningCounty","MarionCounty","MedinaCounty","MeigsCounty","MercerCounty","MiamiCounty","MonroeCounty","MontgomeryCounty","MorganCounty","MorrowCounty","MuskingumCounty","NobleCounty","OttawaCounty","PauldingCounty","PerryCounty","PickawayCounty","PikeCounty","PortageCounty","PrebleCounty","PutnamCounty","RichlandCounty","RossCounty","SanduskyCounty","SciotoCounty","SenecaCounty","ShelbyCounty","StarkCounty","SummitCounty","TrumbullCounty","TuscarawasCounty","UnionCounty","VanWertCounty","VintonCounty","WarrenCounty","WashingtonCounty","WayneCounty","WilliamsCounty","WoodCounty","WyandotCounty"
"AdamsCounty",12.5,167.8,182.3,299.8,99.6,156.7,201.9,33.8,89.4,227.5,117.3,102.7,55.1,67.2,252.8,157.9,170.8,241.2,135.4,225,124.3,210.6,96,63.8,104.5,231,84.5,268,80.9,165.5,83.1,187.4,163.4,206.7,213.9,36.5,97.6,183.2,209.9,60.1,220,152.4,266.4,75.9,118.3,157.1,223.1,237.3,99.5,275.4,147.8,211.3,109.6,176.4,115.5,187.4,93.7,133.7,145.1,138.8,163.3,226.4,207.8,115.5,80.1,34.5,248.2,115.8,190,169.2,50.9,209.1,46.2,190.4,135,225.9,227.7,278.5,197.8,131.7,189.9,77.7,88,142.3,201.7,239.4,214.3,171.6
"AllenCounty",167.9,10.4,106.3,226.1,171.1,23.8,217.4,159.8,110.6,178.7,65.5,88.4,138.2,112.2,191.1,136.7,72.5,170.8,69.9,52.8,89.1,113.7,125.4,124.3,97.2,64.3,192.2,194.4,90.1,181,120.5,35.7,30.2,184.6,47.2,134.8,146.2,134,101.3,169.5,206.6,103.3,192.7,212.9,117.1,45,145.2,84,96.2,201.8,59.4,137.6,194.2,43.4,54.2,228.1,77.2,177.4,79,154.3,200.9,102.5,49.3,150.5,119,158.8,174.6,97.3,23.2,91.7,142.5,85.2,188.6,62.8,36,157.8,154.1,204.8,159.1,62,34.7,169,105.9,210.9,128,80.8,61,47.6
"AshlandCounty",182.3,106.3,10.6,124.2,128.2,125.2,116.4,182.8,186.9,77.1,111.5,132,192.1,145.4,89.4,56.9,36.3,65.7,157.8,140.4,65.1,51.2,89.4,122.3,79.2,122.1,181.4,92.5,142.1,91.4,182.9,84.1,81.8,83,116.7,149.2,103.3,32.4,33.4,158.8,104.9,40.7,90.8,202.1,66.8,110.2,44.2,105.6,106.5,99.8,52.8,35.7,151.4,144.9,160.3,127.2,152.9,121.7,47.1,90.8,115.5,72.6,145.6,90.8,105.1,148.1,72.7,176.1,111.4,16.9,131.8,63.9,177.8,61.7,137.5,56.2,52.2,102.9,57.5,84.8,131.1,127.3,162.6,143.6,26.4,150.6,95.2,58.8
"AshtabulaCounty",299.8,226.1,124.2,19,233.2,245,149.3,300.3,304.3,101.7,228.9,249.4,309.6,262.9,77.1,153.9,156.1,65.2,275.3,225.3,182.5,120.2,212.1,239.8,196.6,199,279.8,48.1,259.5,156.1,300.3,203.9,201.6,140.1,199.5,266.7,226.1,131.3,130.6,276.2,121.3,163.4,41,319.6,189.5,227.6,91.6,182.4,223.9,60.4,172.6,93.1,249.7,264.7,277.8,179.3,270.3,207.1,164.6,180.1,180.1,147,242,208.7,222.6,265.5,67.2,293.5,219.8,136.8,249.2,146.7,295.3,154,257.3,93,83.4,41.2,122.1,202.3,250.9,250,280,208.2,110.2,227.4,182.3,178.6
"AthensCounty",99.6,171,128.2,233.2,11.6,167.8,117.9,130.7,158.3,143.5,121.1,127.8,137.7,114.2,168.9,85.7,142.9,186.2,176.1,227.9,98.4,184.7,49,94.4,74.7,237.9,50.3,196.3,123.3,81.6,161.4,171,141.4,122.8,217.7,100.5,28.8,109.3,161.1,43.2,136.1,93.5,209.8,86.6,71.2,135.1,174.4,220.8,97.9,186.9,122,150.5,24.9,187.5,156.2,90.4,148.7,35.9,117.3,54.8,65.5,200.5,218.9,39.9,70.3,69.3,172.4,171.9,198.3,120.5,66.7,183.2,72.5,164.5,152.6,141.9,161.1,199.1,113.8,109.8,201.1,29,141.1,42.9,131.1,251.5,197.8,145.7
"AuglaizeCounty",156.7,23.6,125.2,245,167.8,10.3,214.1,148.6,99.4,197.6,54.3,77.3,127,101,210,155.6,91.4,189,48.4,71.3,87,131.8,122.1,113.1,93.9,86.9,188.9,213.3,78.9,177.7,109.4,53.8,44.8,203.6,69.8,123.6,142.9,152.9,119.5,166.3,232.2,116.1,212.9,209.6,113.8,33.8,163.4,102.2,85.1,220.7,74,156.6,190.9,22.7,43,224.9,66,174.1,93.6,151,197.6,120.6,54.1,147.2,115.7,155.5,193.5,86.1,45.9,110.7,139.3,103.4,185.3,81,24.9,176.8,173,223.8,178.1,61.3,36.2,165.8,94.8,207.7,147,85.7,79.2,66.6
"BelmontCounty",201.9,217.3,116.4,149.3,117.9,214.1,12,219.8,216.8,64.1,166.3,172.9,229.1,182.4,73.5,80.8,148.1,134,221.2,264.7,142.1,164.8,109.9,159.3,122.8,235.7,164.6,148.4,183.1,39.6,219.9,207.7,187.6,41.5,230.3,186.2,112.7,90.8,147,159.4,47.6,114.3,157.6,202.7,101,181.4,151.3,219.2,147.5,95.7,158.7,120.6,134.4,233.8,201.3,47,193.9,91.9,146.6,64.8,64.9,186.1,265.2,93.4,140.8,167.6,120.2,217,235.1,128.7,151.4,177.4,197.4,175.3,197.8,89.8,109,109.4,62,156,247.3,136.6,199.5,93,100,264.2,208.8,182.5
"BrownCounty",33.8,159.7,182.8,300.3,130.7,148.6,219.8,11.4,60.9,245.4,99,84.4,26.6,38.7,270.8,175.8,171.3,241.8,127.3,216.9,124.8,211.1,123.9,63.8,105,222.9,115.6,268.6,62.6,183.4,54.6,189.9,138.5,224.7,205.8,39,128.7,184.4,210.4,91.2,237.9,153.6,266.9,99.7,133.2,117.9,223.6,238.2,88.1,275.9,137.2,211.8,140.7,168.3,107.4,230.6,85.6,164.8,145.6,156.7,203.3,226.9,199.7,152.9,91.6,65.6,248.8,87.3,181.9,169.8,72.9,209.6,70,190.9,126.9,232,228.3,279,215.7,112.5,181.9,108.8,59.6,173.4,202.2,231.3,215.2,172.1
"ButlerCounty",89.4,110.5,186.9,304.3,158.3,99.4,216.8,60.9,11.2,242.4,77.2,62.6,39.3,45.7,269.3,172.7,150.8,245.8,53.7,140.6,126.6,191.8,120.8,69.6,102,173.8,156.9,272.6,48.1,180.4,21.6,140.7,116.7,221.6,156.7,68.2,141.6,181.3,184.8,132.4,234.9,160.1,270.9,154.4,130.1,96.1,227.7,189,89.5,280,125.1,215.9,181.9,86.9,58.3,227.5,36.5,176.8,149.7,153.7,200.3,207.5,123.5,149.9,98.3,106.9,252.8,26.3,132.8,173.8,100.1,190.2,124.7,167.9,77.7,236,232.3,283,212.6,100.5,105.6,129.9,18.2,206.3,206.2,155,166.1,153.4
"CarrollCounty",227.5,178.7,77.1,101.7,143.5,197.6,64.1,245.4,242.4,10.3,181.5,198.6,254.7,208,30.3,64.3,108.8,81.4,246.8,232.3,135.1,127.2,135.6,184.9,148.4,206,190.2,77.3,208.7,66.4,245.5,156.5,154.2,33.4,194.4,211.8,138.3,58.8,111.2,185,33.4,97.7,98.1,228.3,105.7,180.2,98.6,189.4,173.1,47.6,125.2,70.1,160.1,217.3,226.9,85.7,219.5,117.5,117.2,90.4,90.5,154,218.1,119,166.4,193.2,53.4,242.7,183.9,89.4,177,141.6,223,139.4,209.9,30.2,49.5,61.8,30.1,154.9,203.5,162.3,225.1,118.6,59,234.5,189.4,131.3
