Value,Area,Fwy,Art,Other
BusVmt,Cincinnati,,,
TruckVmt,Cincinnati,,,
BusVmt,Cleveland,,,
TruckVmt,Cleveland,,,
BusVmt,Columbus,,,
TruckVmt,Columbus,,,
BusVmt,Huntington,,,
TruckVmt,Huntington,,,
BusVmt,Lima,,,
TruckVmt,Lima,,,
BusVmt,Mansfield,,,
TruckVmt,Mansfield,,,
BusVmt,Parkersburg,,,
TruckVmt,Parkersburg,,,
BusVmt,Toledo,,,
TruckVmt,Toledo,,,
BusVmt,Wheeling,,,
TruckVmt,Wheeling,,,
