"SCTG","Payload","N"
1,12.2468285097997,7
2,13.4684564385449,61
3,10.8371674334053,15
4,13.2076013390573,12
5,15.3568767024241,6
6,2.0613622750029,17
7,13.9498535197179,38
8,10.2941785681165,5
9,12.5303662811142,0
10,12.7559630168912,7
11,14.7601763932821,7
12,9.7833837179317,67
13,11.200544470764,10
14,19.7343283246373,0
15,21.9759244651015,8
16,14.0428921341034,1
17,24.3515448152176,0
18,11.7399553387464,7
19,12.3597391596158,10
20,13.4493126061421,11
21,5.12434471305138,0
22,9.93234871988097,6
23,10.9721645786483,10
24,12.540658765636,10
25,17.5629107877451,6
26,10.0324479864356,20
27,16.5382555630002,3
28,13.1552492378572,7
29,5.51350467372506,3
30,10.307661585523,3
31,16.3295950240503,44
32,17.7700616317445,34
33,4.13425774854555,51
34,11.940907782747,37
35,6.91185118160956,5
36,10.6525946322188,44
37,17.1134794135312,2
38,4.51852664992441,0
39,4.40000818027219,11
40,7.56543371229859,223
41,8.24300103550275,36
43,16.751048955012,35
99,10.8934974922361,3
