"FAFZone","AdamsCounty","AllenCounty","AshlandCounty","AshtabulaCounty","AthensCounty","AuglaizeCounty","BelmontCounty","BrownCounty","ButlerCounty","CarrollCounty","ChampaignCounty","ClarkCounty","ClermontCounty","ClintonCounty","ColumbianaCounty","CoshoctonCounty","CrawfordCounty","CuyahogaCounty","DarkeCounty","DefianceCounty","DelawareCounty","ErieCounty","FairfieldCounty","FayetteCounty","FranklinCounty","FultonCounty","GalliaCounty","GeaugaCounty","GreeneCounty","GuernseyCounty","HamiltonCounty","HancockCounty","HardinCounty","HarrisonCounty","HenryCounty","HighlandCounty","HockingCounty","HolmesCounty","HuronCounty","JacksonCounty","JeffersonCounty","KnoxCounty","LakeCounty","LawrenceCounty","LickingCounty","LoganCounty","LorainCounty","LucasCounty","MadisonCounty","MahoningCounty","MarionCounty","MedinaCounty","MeigsCounty","MercerCounty","MiamiCounty","MonroeCounty","MontgomeryCounty","MorganCounty","MorrowCounty","MuskingumCounty","NobleCounty","OttawaCounty","PauldingCounty","PerryCounty","PickawayCounty","PikeCounty","PortageCounty","PrebleCounty","PutnamCounty","RichlandCounty","RossCounty","SanduskyCounty","SciotoCounty","SenecaCounty","ShelbyCounty","StarkCounty","SummitCounty","TrumbullCounty","TuscarawasCounty","UnionCounty","VanWertCounty","VintonCounty","WarrenCounty","WashingtonCounty","WayneCounty","WilliamsCounty","WoodCounty","WyandotCounty"
"11",503.48,605.845,666.54,783.99,618.45,594.72,703.5,511.77,507,729.13,572.5,557.835,500.17,528.84,753.63,659.49,655,725.47,567.16,660.49,608.5,687.04,601.5,556.38,588.77,669.09,587.37,752.28,536.4,667.17,486.1,635.97,612,708.38,651.995,530.14,614.73,668.09,694.12,574.65,721.66,637.32,750.59,535.54,616.88,591.4,707.36,684.3,571.8,759.64,620.37,695.54,598.33,614.4,553.56,699.38,531.72,652.56,629.36,640.45,677.88,702.79,645.86,628.67,580.3,552.58,732.47,539.785,628.075,653.365,557.75,685.5,548.4,663.12,573,715.7,711.97,762.7,699.39,595.75,627.97,596.55,513.5,644.83,685.9,671.6,661.3,648.72
"12",748.3,842.35,903.05,1020.5,869.3,831.25,940,758.3,743.5,965.65,809,794.35,736.7,765.35,991,896,891.5,962,803.7,896.1,845,923.55,844.1,792.9,825.3,905.6,832.65,988.8,772.9,903.7,722.65,872.5,848.5,944.9,888.5,772.6,864.85,904.6,930.65,817,958.2,873.85,987.1,780.8,853.4,827.9,943.85,920.8,808.3,996.15,856.9,932.05,843.6,850.9,790.1,944.2,768.25,903.4,865.85,876.95,923.5,939.3,882.35,873.2,821.6,804.25,969,776.3,864.6,889.9,804.6,922,793.7,899.65,809.5,952.2,948.5,999.2,935.9,832.3,864.5,847.4,750,890.1,922.4,907.2,897.8,885.25
"19",555.283636363636,660.26,720.963636363636,838.401818181818,668.432727272727,649.136363636364,758.207272727273,563.983636363636,561.410909090909,783.818181818182,626.927272727273,612.25,554.581818181818,583.26,807.129090909091,713.901818181818,709.44,779.890909090909,621.579090909091,715.061818181818,662.910909090909,741.463636363636,654.250909090909,610.790909090909,643.187272727273,723.510909090909,637.512727272727,806.689090909091,590.818181818182,721.849090909091,540.54,690.38,666.410909090909,763.058181818182,706.412727272727,581.214545454545,664.923636363636,722.509090909091,748.54,625.005454545455,776.336363636364,691.749090909091,805.009090909091,585.670909090909,671.303636363636,645.818181818182,761.769090909091,738.709090909091,626.218181818182,814.058181818182,674.781818181818,749.963636363636,648.469090909091,668.818181818182,607.98,750.290909090909,586.138181818182,702.558181818182,683.769090909091,694.861818181818,730.374545454545,757.201818181818,700.269090909091,680.018181818182,632.832727272727,602.941818181818,786.890909090909,594.202727272727,682.5,707.779090909091,609.921818181818,739.918181818182,598.530909090909,717.54,627.410909090909,772.096363636364,766.390909090909,817.116363636364,754.076363636364,650.172727272727,682.390909090909,646.538181818182,567.910909090909,698.132727272727,740.318181818182,728.154545454545,715.74,703.138181818182
"20",1112.90689655172,1022.24827586207,1086.64482758621,1136.97931034483,1150.85172413793,1025.43448275862,1180.44482758621,1094.23793103448,1060.90344827586,1141.57586206897,1059.04827586207,1072.15172413794,1080.09310344828,1087.75172413793,1139.25862068966,1111.9275862069,1063.25862068966,1097.62068965517,1044.1275862069,1010.01724137931,1080.74137931034,1065.14827586207,1120.92068965517,1095.69655172414,1102.43793103449,1007.16551724138,1151.56551724138,1118.03793103448,1073.26206896552,1156.62068965517,1061.79655172414,1039.14482758621,1041.35,1139.18275862069,1021.8724137931,1099.0275862069,1134.5275862069,1107.5724137931,1068.2,1136.73103448276,1153.53103448276,1090.04482758621,1113.33448275862,1155.49655172414,1098.06896551724,1045.65517241379,1080.84827586207,1026.47931034483,1089.82068965517,1134.7275862069,1063.1275862069,1093.81724137931,1166.01034482759,1019.25517241379,1051.66206896552,1187.51034482759,1064.80689655172,1154.25172413793,1074.1275862069,1139.11724137931,1169.63448275862,1047.87586206897,1005.73793103448,1136.63793103448,1109.64482758621,1124.3724137931,1112.46896551724,1043.74827586207,1019.78620689655,1075.88965517241,1116.87586206897,1046.28620689655,1136.04137931034,1054.97931034483,1034.61724137931,1123.68965517241,1112.07586206897,1130.3724137931,1122.45172413793,1063.64482758621,1002.75172413793,1136.4,1075.20689655172,1176.95862068966,1102.0724137931,996.613793103448,1033.35862068966,1046.99310344828
"41",1920.25,1913.55,1992.35,2109.75,1988.15,1878.75,2033.35,1891.75,1850,2058.95,1882.75,1868.025,1870.15,1885.95,2074.75,1987.05,1956.25,2051.25,1843.75,1905.7,1932.1,1997.25,1942.45,1903.95,1914.25,1938.55,1987.75,2078.05,1869.75,1996.95,1842.25,1943.65,1922.2,2038.15,1933.2,1899.05,1963.25,1994.6,1990.25,1963.3,2051.45,1965.55,2076.35,1948.75,1945.25,1901.6,2033.15,1962.95,1895,2085.45,1930.55,2021.35,2011.25,1859.1,1861.25,2044.15,1856.85,1993.35,1955.15,1970.25,2016.85,1992.95,1904.65,1966.45,1925.25,1937.75,2058.25,1824.65,1911.5,1979.15,1940.4,1993.2,1961.65,1970.85,1880.7,2041.5,2037.75,2088.5,2029.2,1905.95,1885.5,1970.2,1862.7,2028,2011.7,1916.85,1969.05,1956.45
"42",1904.35,1897.7,1976.5,2093.95,1972.3,1862.85,2017.45,1875.9,1834.2,2043.075,1866.85,1852.2,1854.3,1870.1,2058.9,1971.25,1940.4,2035.4,1827.9,1889.85,1916.25,1981.4,1926.65,1888.15,1898.425,1922.7,1971.9,2062.25,1853.85,1981.1,1826.35,1927.8,1906.35,2022.35,1917.35,1883.2,1947.35,1978.75,1974.35,1947.45,2035.6,1949.7,2060.55,1932.95,1929.45,1885.75,2017.3,1947.05,1879.15,2069.6,1914.7,2005.5,1995.45,1843.25,1845.4,2028.25,1840.95,1977.475,1939.3,1954.4,2000.95,1977.15,1888.825,1950.6,1909.4,1921.85,2042.4,1808.85,1895.65,1963.3,1924.55,1977.35,1945.8,1954.95,1864.85,2025.65,2021.9,2072.65,2013.35,1890.1,1869.65,1954.35,1846.85,2012.15,1995.85,1900.95,1953.15,1940.55
"49",1869.63181818182,1862.94545454546,1941.74090909091,2059.18636363637,1937.56818181819,1828.12272727273,1982.73181818182,1841.15909090909,1799.44090909091,2008.34090909091,1832.12272727273,1817.43181818182,1819.56818181819,1835.34090909091,2024.16818181819,1936.49545454546,1905.66818181819,2000.68636363637,1793.16818181819,1855.09545454546,1881.49545454546,1946.64090909091,1891.86818181818,1853.36818181818,1863.67272727272,1887.94090909091,1937.15909090909,2027.48636363637,1819.12272727273,1946.36818181818,1791.62272727273,1893.06818181819,1871.59545454546,1987.57727272728,1882.59545454546,1848.46818181819,1912.63181818182,1943.99545454546,1939.62272727273,1912.70454545455,2000.85,1914.94090909091,2025.79545454545,1898.19545454546,1894.68636363637,1851.00454545454,1982.55,1912.33181818181,1844.41363636363,2034.84090909091,1879.96818181819,1970.74090909091,1960.69545454546,1808.50454545454,1810.66818181819,1993.52272727272,1806.23181818182,1942.73181818182,1904.55,1919.64090909091,1966.23181818182,1942.38636363636,1854.08636363637,1915.86818181818,1874.66818181819,1887.13181818182,2007.68636363637,1774.08636363637,1860.91818181818,1928.56818181819,1889.80454545454,1942.60454545455,1911.05,1920.23181818182,1830.09545454546,1990.89545454545,1987.18636363637,2037.91363636363,1978.59545454546,1855.35,1834.91818181818,1919.59545454546,1812.09545454546,1977.41363636363,1961.10454545455,1866.21818181818,1918.43181818181,1905.83181818181
"50",668.301333333334,765.932666666666,818.145333333333,935.587333333333,784.472666666667,731.734666666666,853.109333333334,675.072,658.472,878.72,720.715333333333,705.839333333333,653.486,680.718,904.232666666667,808.69,798.842,877.072666666667,697.128666666667,759.064666666667,759.364,835.045333333333,758.042,707.739333333333,740.268666666666,791.910666666666,756.396666666667,903.872666666667,690.128,816.748666666667,637.89,796.044666666667,759.999333333333,857.956666666667,786.564666666667,688.564666666667,778.804,819.64,835.392,746.631333333333,871.24,789.738666666666,902.203333333333,703.935333333333,766.224666666667,739.412,858.957333333334,816.081333333334,722.977333333333,911.248,768.367333333333,847.145333333333,767.53,712.676666666667,713.642,863.9,682.814666666666,815.916,780.957333333334,790.032,836.609333333334,845.83,758.039333333333,786.248666666667,736.086,721.066,884.072666666667,678.251333333333,764.541333333333,804.965333333334,721.603333333333,845.589333333334,716.794,823.204,733.278,867.298666666667,863.572666666667,914.310666666667,848.987333333333,743.751333333333,738.881333333333,763.011333333333,665.959333333333,812.234,837.510666666667,770.185333333334,821.402666666667,808.805333333333
"61",2248.4,2232.03,2320.52,2411.38,2316.32,2206.9,2361.5,2219.92,2178.18,2387.1,2210.9,2196.18,2198.32,2214.12,2402.92,2315.24,2284.42,2350.3,2171.92,2215.54,2260.24,2300.72,2270.62,2232.12,2242.42,2212.22,2315.92,2381.9,2197.9,2325.12,2170.4,2258.7,2250.36,2366.32,2234.64,2227.22,2291.4,2322.74,2305.36,2291.46,2379.62,2293.72,2374.26,2276.96,2273.42,2229.76,2324.68,2241.7,2223.16,2403.78,2258.72,2349.52,2339.46,2187.26,2189.42,2372.26,2185,2321.52,2283.32,2298.42,2345,2274.34,2210.1,2294.62,2253.42,2265.9,2371.14,2152.84,2228.66,2307.32,2268.56,2271.92,2289.82,2283.48,2208.86,2369.66,2365.92,2399.06,2357.36,2234.12,2202.66,2298.36,2190.86,2356.16,2339.86,2196.12,2252.2,2270.84
"62",2360.6,2243.71428571429,2342,2418.85714285714,2421.11428571429,2248.58571428571,2466.28571428571,2332.1,2290.4,2425.87142857143,2315.68571428571,2300.99285714286,2310.5,2326.3,2422.3,2380.6,2306.3,2358.77142857143,2258.21428571429,2225.07142857143,2333,2309.2,2375.41428571429,2336.91428571429,2347.22142857143,2220.7,2428.1,2389.91428571429,2302.68571428571,2429.91428571429,2282.58571428571,2269.5,2272.87857142858,2422.2,2243.17142857143,2339.41428571429,2396.2,2373.95714285714,2313.87142857143,2403.67142857143,2444.1,2347.2,2382.75714285714,2410.95714285714,2378.24285714286,2279.45714285714,2333.18571428571,2250.18571428571,2327.97142857143,2415.4,2306.11428571429,2352.97142857143,2444.25714285714,2239.17142857143,2294.21428571429,2477.08571428571,2289.78571428571,2426.28571428571,2322.9,2403.2,2449.78571428571,2282.85714285714,2218.54285714286,2399.41428571429,2358.21428571429,2378.1,2381.41428571429,2257.65714285714,2239.97142857143,2325.6,2369.27142857143,2280.41428571429,2395.9,2293.68571428571,2262.6,2398.57142857143,2380.84285714286,2408.77142857143,2396.68571428571,2306.9,2213.97142857143,2399.07142857143,2303.07142857143,2460.97142857143,2365.57142857143,2204.6,2260.68571428571,2281.48571428571
