County,Region,Msa
AdamsCounty,,NA
AllenCounty,,Lima
AshlandCounty,,NA
AshtabulaCounty,,Cleveland
AthensCounty,,NA
AuglaizeCounty,,Lima
BelmontCounty,,Wheeling
BrownCounty,,NA
ButlerCounty,,Cincinnati
CarrollCounty,,NA
ChampaignCounty,,NA
ClarkCounty,,Cincinnati
ClermontCounty,,Cincinnati
ClintonCounty,,NA
ColumbianaCounty,,NA
CoshoctonCounty,,NA
CrawfordCounty,,NA
CuyahogaCounty,,Cleveland
DarkeCounty,,NA
DefianceCounty,,NA
DelawareCounty,,Columbus
ErieCounty,,Cleveland
FairfieldCounty,,Columbus
FayetteCounty,,NA
FranklinCounty,,Columbus
FultonCounty,,Toledo
GalliaCounty,,NA
GeaugaCounty,,Cleveland
GreeneCounty,,Cincinnati
GuernseyCounty,,NA
HamiltonCounty,,Cincinnati
HancockCounty,,NA
HardinCounty,,NA
HarrisonCounty,,NA
HenryCounty,,NA
HighlandCounty,,NA
HockingCounty,,NA
HolmesCounty,,NA
HuronCounty,,NA
JacksonCounty,,NA
JeffersonCounty,,Wheeling
KnoxCounty,,NA
LakeCounty,,Cleveland
LawrenceCounty,,Huntington
LickingCounty,,Columbus
LoganCounty,,NA
LorainCounty,,Cleveland
LucasCounty,,Toledo
MadisonCounty,,Columbus
MahoningCounty,,Cleveland
MarionCounty,,NA
MedinaCounty,,Cleveland
MeigsCounty,,NA
MercerCounty,,NA
MiamiCounty,,Cincinnati
MonroeCounty,,NA
MontgomeryCounty,,Cincinnati
MorganCounty,,NA
MorrowCounty,,NA
MuskingumCounty,,NA
NobleCounty,,NA
OttawaCounty,,Toledo
PauldingCounty,,NA
PerryCounty,,NA
PickawayCounty,,Columbus
PikeCounty,,NA
PortageCounty,,Cleveland
PrebleCounty,,NA
PutnamCounty,,NA
RichlandCounty,,Mansfield
RossCounty,,NA
SanduskyCounty,,NA
SciotoCounty,,NA
SenecaCounty,,NA
ShelbyCounty,,NA
StarkCounty,,Cleveland
SummitCounty,,Cleveland
TrumbullCounty,,Cleveland
TuscarawasCounty,,NA
UnionCounty,,Columbus
VanWertCounty,,NA
VintonCounty,,NA
WarrenCounty,,Cincinnati
WashingtonCounty,,Parkersburg
WayneCounty,,Cleveland
WilliamsCounty,,NA
WoodCounty,,Toledo
WyandotCounty,,NA
