"County","Density"
"AdamsCounty",43.7
"AllenCounty",79.2
"AshlandCounty",79.3
"AshtabulaCounty",71.5
"AthensCounty",57.2
"AuglaizeCounty",46.7
"BelmontCounty",74.8
"BrownCounty",71.2
"ButlerCounty",117.4
"CarrollCounty",52.6
"ChampaignCounty",67.1
"ClarkCounty",97
"ClermontCounty",130.6
"ClintonCounty",57.5
"ColumbianaCounty",96.5
"CoshoctonCounty",40.7
"CrawfordCounty",39.9
"CuyahogaCounty",178.5
"DarkeCounty",59.5
"DefianceCounty",43.3
"DelawareCounty",93.5
"ErieCounty",94
"FairfieldCounty",111.6
"FayetteCounty",34.7
"FranklinCounty",105.5
"FultonCounty",60.8
"GalliaCounty",54.5
"GeaugaCounty",168.7
"GreeneCounty",70.5
"GuernseyCounty",48.1
"HamiltonCounty",178.9
"HancockCounty",46
"HardinCounty",38.2
"HarrisonCounty",33.3
"HenryCounty",47.5
"HighlandCounty",58.2
"HockingCounty",49.9
"HolmesCounty",93.6
"HuronCounty",62.9
"JacksonCounty",51.8
"JeffersonCounty",71.4
"KnoxCounty",66.9
"LakeCounty",154.5
"LawrenceCounty",66.3
"LickingCounty",95.3
"LoganCounty",58.3
"LorainCounty",108.1
"LucasCounty",119.8
"MadisonCounty",46.1
"MahoningCounty",121.9
"MarionCounty",53.5
"MedinaCounty",146.2
"MeigsCounty",45.3
"MercerCounty",54.9
"MiamiCounty",85.2
"MonroeCounty",31.5
"MontgomeryCounty",100.1
"MorganCounty",29.6
"MorrowCounty",76.6
"MuskingumCounty",63.8
"NobleCounty",23.2
"OttawaCounty",87.7
"PauldingCounty",38.7
"PerryCounty",67.2
"PickawayCounty",57.4
"PikeCounty",49.1
"PortageCounty",133.6
"PrebleCounty",70.2
"PutnamCounty",61.2
"RichlandCounty",90.7
"RossCounty",68.2
"SanduskyCounty",69.1
"SciotoCounty",72.9
"SenecaCounty",50
"ShelbyCounty",64.1
"StarkCounty",132.6
"SummitCounty",174.1
"TrumbullCounty",112.4
"TuscarawasCounty",71.4
"UnionCounty",62.4
"VanWertCounty",36.4
"VintonCounty",32.6
"WarrenCounty",126.9
"WashingtonCounty",56.9
"WayneCounty",112.9
"WilliamsCounty",58
"WoodCounty",66.7
"WyandotCounty",32.3
