Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,BoiseCity,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,BoiseCity,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,BoiseCity,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,BoiseCity,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,CoeurdAlene,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,CoeurdAlene,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,CoeurdAlene,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,CoeurdAlene,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,IdahoFalls,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,IdahoFalls,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,IdahoFalls,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,IdahoFalls,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Lewiston,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Lewiston,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Lewiston,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Lewiston,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Pocatello,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Pocatello,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Pocatello,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Pocatello,0,0,0,0,0,0,0,0,0,0,0,0,0
