Area,Fuel,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
BoiseCity,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
BoiseCity,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
BoiseCity,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
BoiseCity,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
CoeurdAlene,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
CoeurdAlene,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
CoeurdAlene,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
CoeurdAlene,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
IdahoFalls,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
IdahoFalls,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
IdahoFalls,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
IdahoFalls,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewiston,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewiston,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewiston,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewiston,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocatello,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocatello,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocatello,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocatello,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
