Value,Area,Fwy,Art,Other
BusVmt,Altoona,,,
TruckVmt,Altoona,,,
BusVmt,Cumberland,,,
TruckVmt,Cumberland,,,
BusVmt,Erie,,,
TruckVmt,Erie,,,
BusVmt,Hagerstown,,,
TruckVmt,Hagerstown,,,
BusVmt,Johnstown,,,
TruckVmt,Johnstown,,,
BusVmt,Philadelphia,,,
TruckVmt,Philadelphia,,,
BusVmt,Pittsburgh,,,
TruckVmt,Pittsburgh,,,
BusVmt,StateCollege,,,
TruckVmt,StateCollege,,,
BusVmt,Williamsport,,,
TruckVmt,Williamsport,,,
BusVmt,Youngstown,,,
TruckVmt,Youngstown,,,
