"SCTG","Payload","N"
1,12.2468285097997,6
2,10.1234781731879,37
3,6.72938188875707,48
4,9.08725820395545,13
5,8.11722503313126,11
6,2.76637128533765,11
7,13.3924696124649,51
8,9.00223151966123,11
9,12.5303662811142,0
10,12.7559630168912,6
11,14.7601763932821,5
12,12.0721408233256,111
13,10.4353452138101,25
14,19.7343283246373,1
15,13.2024189503539,32
16,14.0428921341034,0
17,24.3515448152176,4
18,11.3204864483537,12
19,6.47214033480694,15
20,14.6935220971178,9
21,5.12434471305138,3
22,3.25286397063009,14
23,12.2174191704086,3
24,9.66549316294252,5
25,13.41714302835,18
26,4.76325126065988,31
27,16.5382555630002,2
28,13.1552492378572,6
29,5.51350467372506,3
30,10.307661585523,4
31,12.3158968402654,92
32,10.9682479048086,11
33,2.84026718449447,54
34,7.91710522383023,35
35,6.91185118160956,7
36,5.07236288962694,19
37,17.1134794135312,5
38,4.51852664992441,4
39,2.64642158118675,11
40,4.24417077197304,221
41,6.4039347982567,109
43,13.7136145354989,27
99,10.8934974922361,9
