Msa,DvmtFactor
Philadelphia,1.00
Altoona,0.75
Erie,0.75
Youngstown,0.75
Cumberland,0.70
Williamsport,0.75
Hagerstown,0.75
StateCollege,0.75
Pittsburgh,1.00
Johnstown,0.75
