"FAFZone","AdamsCounty","AlleghenyCounty","ArmstrongCounty","BeaverCounty","BedfordCounty","BerksCounty","BlairCounty","BradfordCounty","BucksCounty","ButlerCounty","CambriaCounty","CameronCounty","CarbonCounty","CentreCounty","ChesterCounty","ClarionCounty","ClearfieldCounty","ClintonCounty","ColumbiaCounty","CrawfordCounty","CumberlandCounty","DauphinCounty","DelawareCounty","ElkCounty","ErieCounty","FayetteCounty","ForestCounty","FranklinCounty","FultonCounty","GreeneCounty","HuntingdonCounty","IndianaCounty","JeffersonCounty","JuniataCounty","LackawannaCounty","LancasterCounty","LawrenceCounty","LebanonCounty","LehighCounty","LuzerneCounty","LycomingCounty","McKeanCounty","MercerCounty","MifflinCounty","MonroeCounty","MontgomeryCounty","MontourCounty","NorthamptonCounty","NorthumberlandCounty","PerryCounty","PhiladelphiaCounty","PikeCounty","PotterCounty","SchuylkillCounty","SnyderCounty","SomersetCounty","SullivanCounty","SusquehannaCounty","TiogaCounty","UnionCounty","VenangoCounty","WarrenCounty","WashingtonCounty","WayneCounty","WestmorelandCounty","WyomingCounty","YorkCounty"
"11",778.44,755.68,785.43,764.07,775.87,866.44,811.36,939.74,921.37,788.77,793.34,893.08,896.86,855.97,863.02,819.32,840.06,891.76,884.02,816.94,789.67,811.37,880.85,867.33,820.1,720.77,851.89,752.39,772.35,714.35,813.56,786.86,832.47,832.35,928.83,829.06,777.26,835.83,885.37,900.78,887.73,898.97,789.03,827.06,927.92,907.34,869.47,896.76,860.1,807.33,896.35,966.27,932.97,868.57,845.87,761.59,909.89,959.37,943.3,861.33,811.99,865.3,730.21,955.72,752.52,938.27,802.82
"12",1009.8,1000.4,1027.8,1018.7,1007.2,1097.8,1042.7,1171.1,1152.7,1033.5,1030.4,1130.1,1128.2,1087.3,1094.35,1064.4,1075.6,1123.1,1115.35,1056.2,1021,1042.7,1077.9,1121.2,1056.6,958.8,1092.9,983.75,1003.7,952.4,1044.9,1024.5,1070.65,1063.7,1160.2,1060.4,1017.65,1067.2,1116.7,1132.15,1119.1,1140,1026,1058.4,1159.3,1138.7,1100.8,1128.1,1091.45,1038.7,1093.4,1197.6,1174,1099.9,1077.2,995.55,1141.25,1190.7,1174.65,1092.7,1053.05,1108.4,973.7,1187.1,991.45,1169.6,1034.15
"19",831.98,807.18,836.987272727273,814.625454545455,829.049090909091,919.98,861.447272727273,993.28,974.92,840.269090909091,844.796363636364,947.481818181818,950.409090909091,906.050909090909,916.561818181818,872.372727272727,894.347272727273,943.367272727273,937.561818181818,870.485454545454,843.209090909091,864.929090909091,919.852727272727,916.558181818182,874.529090909091,775.956363636364,905.558181818182,805.938181818182,825.901818181818,768.094545454545,867.103636363636,838.4,882.358181818182,885.890909090909,982.372727272727,882.610909090909,830.965454545454,889.370909090909,938.929090909091,954.34,941.148181818182,952.632727272727,842.685454545454,880.610909090909,981.467272727273,960.880909090909,923.012727272727,950.301818181818,913.652727272727,860.88,935.34,1019.80909090909,986.714545454545,922.129090909091,899.42,812.750909090909,963.438181818182,1012.92181818182,995.185454545454,914.88,865.669090909091,918.736363636364,781.749090909091,1009.26909090909,804.078181818182,991.825454545455,856.363636363636
"20",1293.35172413793,1174.72413793103,1180.24137931034,1157.42068965517,1239.98965517241,1336.13793103448,1232.64482758621,1316.53793103448,1365.45172413793,1164.68620689655,1215.31724137931,1240.38275862069,1324.36896551724,1247.8724137931,1348.44482758621,1180.20689655172,1222.13793103448,1263.8275862069,1295.44137931034,1160.76896551724,1295.54137931034,1305.70689655172,1364.65172413793,1217.42068965517,1160.64827586207,1209.36206896552,1198.9275862069,1277.88275862069,1262.38275862069,1204.92068965517,1259.85862068966,1200.72413793103,1197.31379310345,1274.41034482759,1334.4275862069,1326.20344827586,1149.59655172414,1321.71379310345,1341.41379310345,1316.06551724138,1277.02068965517,1230.61379310345,1155.05517241379,1267.08965517241,1333.83448275862,1362.73793103448,1285.91034482759,1354.27586206897,1291.90344827586,1289.68620689655,1369.21379310345,1358.96206896552,1254.33448275862,1314.81034482759,1282.2724137931,1216.75517241379,1305.18965517241,1354.44137931034,1282.2724137931,1285.86206896552,1172.78965517241,1194.57931034483,1188.79655172414,1352.04827586207,1190.67931034483,1327.65517241379,1317.38965517241
"41",2266.35,2100.35,2139.7,2094.05,2184.95,2340.25,2195.3,2364.45,2395.2,2129.95,2168.85,2245.5,2373.7,2256.95,2350.45,2153.65,2217.65,2281.25,2329.55,2145.5,2269.7,2285.2,2375.15,2210.45,2145.95,2112.45,2182.25,2242.75,2219.05,2098.05,2231.65,2160.05,2179.75,2271.75,2389.05,2316.5,2106.95,2309.65,2359.2,2361.05,2301.45,2229.3,2115.25,2266.55,2388.15,2376.75,2315,2370.55,2324.15,2267.85,2382.15,2426.5,2263.3,2342.45,2294.7,2149.45,2344.45,2419.6,2334.25,2314.95,2142.35,2197.7,2080.15,2415.95,2120.65,2378.7,2303.05
"42",2250.5,2084.55,2123.85,2078.25,2169.05,2324.4,2179.45,2348.6,2379.35,2114.125,2153,2229.65,2357.85,2241.075,2334.6,2137.8,2201.8,2265.45,2313.7,2129.65,2253.85,2269.35,2359.35,2194.6,2130.05,2096.6,2166.35,2226.9,2203.25,2082.25,2215.75,2144.25,2163.925,2255.9,2373.2,2300.65,2091.075,2293.8,2343.35,2345.15,2285.55,2213.45,2099.425,2250.75,2372.3,2360.9,2299.15,2354.75,2308.3,2252,2366.3,2410.65,2247.45,2326.55,2278.85,2133.6,2328.55,2403.75,2318.4,2299.05,2126.475,2181.85,2064.3,2400.1,2104.8,2362.85,2287.2
"49",2215.76818181818,2049.79545454545,2089.12272727272,2043.49545454546,2134.31818181818,2289.66818181819,2144.69545454546,2313.86818181818,2344.60454545454,2079.36818181818,2118.26818181818,2194.91818181818,2323.09545454546,2206.34090909091,2299.84090909091,2103.06818181818,2167.06818181818,2230.68636363637,2278.94090909091,2094.89545454546,2219.09545454546,2234.61818181818,2324.59545454546,2159.86818181818,2095.31363636363,2061.86818181818,2131.62272727272,2192.14090909091,2168.49545454545,2047.49545454546,2181.03181818181,2109.49545454545,2129.18636363637,2221.15909090909,2338.46818181819,2265.89545454546,2056.34090909091,2259.05,2308.61818181818,2310.43181818182,2250.82272727272,2178.69545454546,2064.68636363637,2215.99545454545,2337.55,2326.16818181819,2264.39545454546,2319.99545454545,2273.54090909091,2217.26818181818,2331.54090909091,2375.89545454546,2212.70454545455,2291.81818181818,2244.10454545454,2098.84090909091,2293.82272727272,2369.00454545455,2283.65909090909,2264.32272727272,2091.73181818182,2147.10454545454,2029.55,2365.34090909091,2070.04090909091,2328.11818181818,2252.44090909091
"50",1067.86066666667,920.17,959.501333333333,913.87,1004.70133333334,1152.57666666667,1015.084,1190.26466666667,1207.524,952.65,988.64,1071.316,1183.45666666667,1062.636,1152.78933333333,979.468666666667,1043.47,1107.086,1155.348,971.301333333334,1077.842,1097.536,1172.83533333333,1036.266,971.717333333333,932.248666666667,1008.024,1041.52466666667,1047.11133333333,917.87,1051.41066666666,979.87,1005.57133333333,1103.92666666666,1212.758,1118.844,932.737333333333,1121.97533333333,1171.536,1184.72133333333,1127.22666666667,1055.1,941.071333333333,1086.38533333333,1211.85466666666,1191.846,1140.80133333334,1182.89266666667,1144.852,1088.87266666667,1185.444,1250.20133333334,1089.11066666667,1154.73066666667,1122.57333333334,969.238666666666,1170.22666666667,1243.308,1160.05666666667,1112.42133333334,968.136,1023.508,899.941333333333,1239.654,940.430666666666,1214.85466666667,1094.20666666667
"61",2594.52,2428.54,2467.9,2433.18,2513.08,2668.42,2523.46,2681.58,2723.36,2449.24,2497.02,2564.8,2692.96,2576.24,2678.62,2472.94,2536.94,2600.56,2648.84,2447.56,2597.86,2613.4,2703.34,2529.74,2447.54,2440.62,2501.52,2570.92,2547.24,2426.24,2559.8,2488.24,2499.04,2599.92,2708.34,2644.66,2426.24,2637.82,2687.4,2680.32,2620.72,2549.62,2434.54,2594.74,2707.44,2704.92,2634.26,2698.74,2643.44,2596.02,2710.32,2745.76,2585.38,2670.58,2622.86,2477.62,2663.72,2738.88,2633.7,2634.22,2461.62,2499.3,2408.32,2735.24,2448.82,2698,2631.22
"62",2657.5,2476.45714285714,2484.88571428571,2450.04285714286,2576.08571428571,2722.8,2564.87142857143,2692.9,2767.57142857143,2461.14285714286,2538.4,2576.68571428571,2704.87142857143,2588.1,2741.6,2484.8,2548.8,2612.45714285714,2660.7,2455.17142857143,2660.87142857143,2676.38571428571,2766.35714285714,2541.61428571429,2454.97142857143,2529.3,2513.38571428571,2633.9,2610.24285714286,2522.54285714286,2606.38571428571,2516.15714285714,2510.91428571429,2628.6,2720.2,2707.67142857143,2438.1,2700.8,2730.88571428571,2692.18571428571,2632.58571428571,2561.77142857143,2446.41428571429,2617.41428571429,2719.3,2763.41428571429,2646.17142857143,2750.5,2655.28571428571,2651.91428571429,2773.3,2757.67142857143,2597.97142857143,2690.27142857143,2640.6,2540.6,2675.58571428571,2750.77142857143,2640.6,2646.08571428571,2473.48571428571,2506.77142857143,2497.91428571429,2747.1,2500.8,2709.88571428571,2694.2
