"County","Density"
"AdamsCounty",111.8
"AlleghenyCounty",148.9
"ArmstrongCounty",72.5
"BeaverCounty",128.2
"BedfordCounty",41.4
"BerksCounty",136
"BlairCounty",62.7
"BradfordCounty",39.7
"BucksCounty",173.8
"ButlerCounty",109.7
"CambriaCounty",73.6
"CameronCounty",6.1
"CarbonCounty",85.5
"CentreCounty",46.4
"ChesterCounty",165.5
"ClarionCounty",51.5
"ClearfieldCounty",39.2
"ClintonCounty",20.5
"ColumbiaCounty",60
"CrawfordCounty",57.1
"CumberlandCounty",117.1
"DauphinCounty",89.2
"DelawareCounty",170.7
"ElkCounty",21.8
"ErieCounty",80
"FayetteCounty",88.7
"ForestCounty",18.1
"FranklinCounty",85.3
"FultonCounty",33.9
"GreeneCounty",45.4
"HuntingdonCounty",36.3
"IndianaCounty",65.9
"JeffersonCounty",43.4
"JuniataCounty",52.4
"LackawannaCounty",91.2
"LancasterCounty",160.7
"LawrenceCounty",113.3
"LebanonCounty",116
"LehighCounty",149.8
"LuzerneCounty",84
"LycomingCounty",35.4
"McKeanCounty",28.4
"MercerCounty",82.1
"MifflinCounty",59.6
"MonroeCounty",129.5
"MontgomeryCounty",216
"MontourCounty",78
"NorthamptonCounty",164.8
"NorthumberlandCounty",76
"PerryCounty",74.1
"PhiladelphiaCounty",0
"PikeCounty",77.1
"PotterCounty",16.1
"SchuylkillCounty",74.5
"SnyderCounty",83.6
"SomersetCounty",52
"SullivanCounty",14.3
"SusquehannaCounty",44.4
"TiogaCounty",33.4
"UnionCounty",64.2
"VenangoCounty",45.7
"WarrenCounty",26.4
"WashingtonCounty",84.8
"WayneCounty",64.5
"WestmorelandCounty",109.8
"WyomingCounty",60
"YorkCounty",153.5
