County,Region,Msa
JacksonCounty,,NA
JeffersonCounty,,NA
JohnstonCounty,,NA
KayCounty,,NA
KingfisherCounty,,NA
RogerMillsCounty,,NA
KiowaCounty,,NA
LatimerCounty,,NA
LeFloreCounty,,FortSmith
LincolnCounty,,NA
LoganCounty,,OklahomaCity
LoveCounty,,NA
McClainCounty,,OklahomaCity
McCurtainCounty,,NA
McIntoshCounty,,NA
MajorCounty,,NA
WoodsCounty,,NA
MarshallCounty,,NA
MayesCounty,,NA
MurrayCounty,,NA
MuskogeeCounty,,NA
NobleCounty,,NA
NowataCounty,,NA
CaddoCounty,,NA
OkfuskeeCounty,,NA
OklahomaCounty,,OklahomaCity
OkmulgeeCounty,,NA
OsageCounty,,Tulsa
OttawaCounty,,NA
PawneeCounty,,NA
TexasCounty,,NA
PayneCounty,,NA
PittsburgCounty,,NA
PontotocCounty,,NA
PottawatomieCounty,,NA
SequoyahCounty,,FortSmith
PushmatahaCounty,,NA
AdairCounty,,NA
AlfalfaCounty,,NA
SeminoleCounty,,NA
RogersCounty,,Tulsa
BeaverCounty,,NA
BeckhamCounty,,NA
GradyCounty,,NA
BlaineCounty,,NA
BryanCounty,,NA
TulsaCounty,,Tulsa
CanadianCounty,,OklahomaCity
WashingtonCounty,,NA
CherokeeCounty,,NA
ChoctawCounty,,NA
CimarronCounty,,NA
WoodwardCounty,,NA
ClevelandCounty,,OklahomaCity
CoalCounty,,NA
ComancheCounty,,Lawton
CottonCounty,,NA
WashitaCounty,,NA
CraigCounty,,NA
CreekCounty,,Tulsa
CusterCounty,,NA
DelawareCounty,,NA
WagonerCounty,,Tulsa
DeweyCounty,,NA
EllisCounty,,NA
GarfieldCounty,,NA
GarvinCounty,,NA
TillmanCounty,,NA
CarterCounty,,NA
GrantCounty,,NA
GreerCounty,,NA
HarmonCounty,,NA
StephensCounty,,NA
HarperCounty,,NA
HaskellCounty,,NA
AtokaCounty,,NA
HughesCounty,,NA
