"County","Density"
"AdairCounty",33.1
"AlfalfaCounty",6.5
"AtokaCounty",14.5
"BeaverCounty",3.1
"BeckhamCounty",8.1
"BlaineCounty",7.4
"BryanCounty",29.1
"CaddoCounty",18.6
"CanadianCounty",30.8
"CarterCounty",32.9
"CherokeeCounty",38.3
"ChoctawCounty",13.3
"CimarronCounty",1.3
"ClevelandCounty",95.7
"CoalCounty",11.5
"ComancheCounty",26.4
"CottonCounty",5.8
"CraigCounty",11.9
"CreekCounty",41
"CusterCounty",8.5
"DelawareCounty",46.2
"DeweyCounty",4.8
"EllisCounty",3.4
"GarfieldCounty",12.5
"GarvinCounty",23.8
"GradyCounty",30.9
"GrantCounty",4.5
"GreerCounty",5.1
"HarmonCounty",5.4
"HarperCounty",3.5
"HaskellCounty",17.3
"HughesCounty",10.3
"JacksonCounty",8.3
"JeffersonCounty",8.5
"JohnstonCounty",17
"KayCounty",12.7
"KingfisherCounty",12.2
"KiowaCounty",5.7
"LatimerCounty",11.4
"LeFloreCounty",23.3
"LincolnCounty",33.2
"LoganCounty",32.2
"LoveCounty",18.3
"McClainCounty",47.1
"McCurtainCounty",12.5
"McIntoshCounty",28.6
"MajorCounty",7.9
"MarshallCounty",31
"MayesCounty",49.1
"MurrayCounty",15
"MuskogeeCounty",37.3
"NobleCounty",8.9
"NowataCounty",10.8
"OkfuskeeCounty",14.6
"OklahomaCounty",113.7
"OkmulgeeCounty",28.5
"OsageCounty",12.6
"OttawaCounty",33.9
"PawneeCounty",23.7
"PayneCounty",39.5
"PittsburgCounty",18.4
"PontotocCounty",28.4
"PottawatomieCounty",46
"PushmatahaCounty",8.3
"RogerMillsCounty",3.2
"RogersCounty",69.1
"SeminoleCounty",26.2
"SequoyahCounty",42.6
"StephensCounty",22.8
"TexasCounty",4.6
"TillmanCounty",4.7
"TulsaCounty",93.2
"WagonerCounty",51.9
"WashingtonCounty",31.1
"WashitaCounty",8.7
"WoodsCounty",2.5
"WoodwardCounty",7.1
