"County","AdairCounty","AlfalfaCounty","AtokaCounty","BeaverCounty","BeckhamCounty","BlaineCounty","BryanCounty","CaddoCounty","CanadianCounty","CarterCounty","CherokeeCounty","ChoctawCounty","CimarronCounty","ClevelandCounty","CoalCounty","ComancheCounty","CottonCounty","CraigCounty","CreekCounty","CusterCounty","DelawareCounty","DeweyCounty","EllisCounty","GarfieldCounty","GarvinCounty","GradyCounty","GrantCounty","GreerCounty","HarmonCounty","HarperCounty","HaskellCounty","HughesCounty","JacksonCounty","JeffersonCounty","JohnstonCounty","KayCounty","KingfisherCounty","KiowaCounty","LatimerCounty","LeFloreCounty","LincolnCounty","LoganCounty","LoveCounty","McClainCounty","McCurtainCounty","McIntoshCounty","MajorCounty","MarshallCounty","MayesCounty","MurrayCounty","MuskogeeCounty","NobleCounty","NowataCounty","OkfuskeeCounty","OklahomaCounty","OkmulgeeCounty","OsageCounty","OttawaCounty","PawneeCounty","PayneCounty","PittsburgCounty","PontotocCounty","PottawatomieCounty","PushmatahaCounty","RogerMillsCounty","RogersCounty","SeminoleCounty","SequoyahCounty","StephensCounty","TexasCounty","TillmanCounty","TulsaCounty","WagonerCounty","WashingtonCounty","WashitaCounty","WoodsCounty","WoodwardCounty"
"PittsburgCounty",119.2,256.6,49,356.5,263,213,82.5,197.5,162.2,126.6,92.2,75.5,458.2,137.4,53.1,212.5,190.6,135,100.1,229.7,148.5,259.7,306.3,205.1,104.5,167.7,231,286.2,299.8,317.4,52.4,46,270.3,168.7,86,199.8,187.9,251.4,36.6,69,121.3,162.3,127.6,129.7,113.1,34.8,242.4,98.9,108,99.4,62.6,172.8,154.3,63.2,136.6,55.8,147.3,152.2,133.1,147.8,19.1,67,86.8,65.8,270.8,115.4,65.4,86.3,152.9,408.7,220.4,98.6,85.5,137.1,239.8,287.3,276.3
"PontotocCounty",182.6,218.5,48.3,304.9,211.5,161.4,65.8,118.8,110.6,61.2,155.6,94.3,406.6,66.9,26.3,121.3,125.2,189.4,107,178.2,211.9,208.1,254.8,177.6,41.1,89,203.6,193.4,208.5,265.8,117.3,45,179,103.3,34.7,164.6,136.4,161.8,99.9,132.3,77.1,114.1,80.1,66.3,131.9,99.8,190.9,57.6,169.3,33.9,126,137.6,177.4,67.3,88.5,90.4,141.2,206.5,113.3,115.5,67,13.9,45.8,99.3,219.2,147.2,41,149.8,87.5,357.1,157,123.9,148.9,162.3,164.9,238.6,224.8
"PottawatomieCounty",168.1,177.9,94.1,264.3,170.9,120.9,111.6,93,70,87,141.1,140.1,366,34.4,72.1,108.1,138.8,164,81.6,137.6,187.6,167.5,214.2,133.6,56.4,63.2,159.6,194.1,195.3,225.2,126.6,42.3,165.8,129.1,80.6,120.6,95.8,146.9,119.7,152.2,33.1,70.1,105.9,60.9,177.7,96.7,150.3,99.9,143.9,59.8,111.6,93.6,152,45.7,44.5,75.9,116.4,181.1,88.5,71.5,86.8,45.8,14.5,145.1,178.6,121.8,24.2,135.3,104.6,316.5,150.4,98.5,123.3,136.9,147.6,198,184.2
"PushmatahaCounty",165.1,318.8,54.2,418.6,325.1,275.1,80.2,218.1,224.3,131.7,157.2,43.2,520.3,166.2,75.2,220.6,207.5,200.1,162.2,291.9,213.5,321.8,368.4,267.2,140.4,188.3,293.1,292.7,307.8,379.5,90.5,108.1,278.3,172.1,91.6,261.9,250.1,261,44.9,76.3,183.4,224.4,133.8,165.5,75.5,99.8,304.6,105.1,173,133.2,115.1,235,212.9,125.3,198.7,117.9,209.4,217.2,195.3,209.9,65.8,99.3,145.1,19.4,332.9,180.4,127.5,132.2,186.7,470.8,244.3,160.7,150.5,199.2,301.9,349.4,338.4
"RogerMillsCounty",332.1,136.8,267.5,120,28.3,87.6,290.9,114.5,113.2,230.8,305.1,335.1,213.4,154.1,245.5,138.5,172.2,307.9,225.5,46.3,331.5,71.1,57.3,147.8,191.8,143.7,175.1,56.3,81.6,99.9,290.6,219.5,89,205.7,252.5,215.9,112.8,91.3,303.7,336.2,180.7,136.3,249.7,174.8,372.7,260.7,107.8,261.8,287.8,215.3,275.6,177.6,295.9,209.7,140.6,239.9,239.5,325.1,211.6,178.8,270.8,219.2,178.6,332.9,17.4,265.7,201.4,299.3,174,163.9,129.8,242.4,267.3,280.9,63.7,133,75.7
"RogersCounty",90.7,192.7,162.3,309.2,258,207.9,195.9,202,153.5,204.9,62.7,188.9,410.9,150.4,152.8,217.1,247.9,43.5,51.5,224.7,64.2,224.3,259.1,141.1,188.1,172.2,167.1,281.1,304.3,276.6,99.9,117.2,274.8,244.5,181.9,120.8,171.8,262.1,133.4,140.9,91.8,119.9,223.8,176.9,226.5,84.9,182.7,212.2,24.9,177.6,59.8,108.9,37.1,91.6,128.8,65.4,61,62.9,69.2,88.4,115.4,147.2,121.8,180.4,265.7,13.7,118.5,103.3,213.6,361.4,259.4,26.4,37.9,46.4,234.7,223.3,228
"SeminoleCounty",156.7,200.7,81,287.1,193.6,143.6,106.7,128.1,92.8,98.7,129.8,129.7,388.8,57.4,62,143.2,173.9,160.7,77.5,160.4,186,190.3,236.9,156.4,76.6,98.3,182.3,216.8,230.4,248,97.3,20.9,200.9,140.8,75.7,143.4,118.6,182.1,98.3,130.8,51.9,92.9,117.6,83.9,167.3,72.6,173.1,98.6,145.6,71.4,100.2,116.4,148.7,34.3,67.2,64.5,114.6,177.9,86.7,94.3,65.4,41,24.2,127.5,201.4,118.5,13,123.9,124.9,339.3,185.5,95.2,123.1,133.6,170.4,220.8,206.9
"SequoyahCounty",34,262.4,133.3,385,291.5,241.5,166.8,226,190.7,209.4,50.7,159.8,486.7,165.9,137.4,241,271.8,122.9,118.4,258.2,92,288.2,334.8,210.9,189.8,196.2,236.8,314.7,328.3,345.9,40.6,111.8,298.8,251.5,170.3,205.6,216.4,279.9,91.9,45.9,149.8,190.8,211.9,200.4,129.7,55.9,252.5,183.2,95.9,182.2,51.4,178.6,142.2,91.7,165.1,84.3,150.9,140.1,138.9,157.1,86.3,149.8,135.3,132.2,299.3,103.3,123.9,13.8,237.6,437.2,283.3,93.2,73.4,136.4,268.3,293.1,304.8
"StephensCounty",270.4,183.6,135.8,268.6,151.1,125.2,126.1,69,77.7,64.7,243.4,174.7,368.5,79.8,113.7,37,39,255.8,173.4,133,279.4,162.9,218.5,141.3,67.6,41.4,172.3,119.6,124.2,229.5,228.9,130.9,94.7,34.3,94.3,191.6,106.3,91.9,185.9,218.3,128.6,115.8,84.9,68.7,219.3,198.9,154.6,97.1,235.7,57.1,213.8,153.3,243.8,147.9,88.4,178.2,208.2,272.9,180.3,154.5,152.9,87.5,104.6,186.7,174,213.6,124.9,237.6,15.4,320.8,72.7,190.3,215.1,228.7,113,202.3,188.4
"TexasCounty",437.6,200.4,405.4,72.6,186,206.8,428.8,266.8,251.1,368.7,407.9,473,52.9,292,383.4,301.6,336.4,403.6,329.6,205.3,427.2,179,130,221.1,329.7,281.6,225.6,219.5,214.9,116,428.5,357.4,248.1,351.7,390.4,261.4,238.4,254.2,441.6,474.1,318.6,261.9,387.6,312.7,510.6,398.6,189.3,399.7,383.5,353.1,387.8,257.3,367.2,347.6,278.5,377.8,325,420.8,297.5,285.4,408.7,357.1,316.5,470.8,163.9,361.4,339.3,437.2,320.8,23.3,293,338.1,365.9,343.4,217.8,174.6,136.1
"TillmanCounty",316.2,195.5,193.3,244.6,105.8,146.3,176.3,82.5,123.4,115.8,289.2,224.9,319.7,125.6,183.2,46.7,45.9,301.5,219.1,96.9,325.2,126.8,186.4,187.1,121.8,87.2,218.1,74.3,75.3,205.5,274.6,203.5,42.1,76.2,153.8,237.4,152.1,48.3,253.4,285.8,174.3,161.6,125.8,114.5,276.8,244.7,166.5,147.3,281.4,132.1,259.6,199.1,289.5,193.7,134.2,223.9,253.9,318.7,226,200.3,220.4,157,150.4,244.3,129.8,259.4,185.5,283.3,72.7,293,15.3,236,260.9,274.5,75.7,192.5,164.5
"TulsaCounty",102.6,169.3,136.4,285.9,234.6,184.6,169.9,178.7,130.2,181.5,69.9,162.9,387.6,127,130.7,193.7,224.5,68.5,28.2,201.3,92.2,200.9,235.7,117.8,164.7,148.9,143.7,257.8,281,253.3,89.9,95.2,251.5,221.1,158.6,112.5,135.4,238.8,123.4,130.8,68.4,96.6,200.5,153.5,200.5,74.9,159.4,186.3,48.4,154.3,49.8,85.5,56.5,68.2,105.5,43.4,60,85.7,45.8,65,98.6,123.9,98.5,160.7,242.4,26.4,95.2,93.2,190.3,338.1,236,12.5,27.9,44.7,211.4,200,204.6
"WagonerCounty",67.4,197.1,132.4,313.6,259.5,209.5,166,203.5,155,206.4,37.5,159,415.3,151.9,136.6,218.6,249.4,68.8,53,226.2,82.2,228.7,263.5,145.5,189.6,173.7,171.5,282.6,305.8,281,70.1,110.9,276.3,246,169.4,140.3,173.3,263.6,103.5,111,93.3,121.4,211,178.4,196.6,55,187.1,182.3,41.8,179.1,30,113.3,76.9,90.9,130.3,50.4,85.6,85.9,73.6,91.8,85.5,148.9,123.3,150.5,267.3,37.9,123.1,73.4,215.1,365.9,260.9,27.9,12.5,71,236.2,227.7,232.4
"WashingtonCounty",140.3,148.3,174.8,289.9,273.1,206.3,208.4,217.1,168.6,220,113,201.4,392.8,165.5,169.2,232.2,263,52.6,66.6,239.8,87,227.2,246.6,136.2,203.2,187.3,121.2,296.3,319.4,230.7,133.1,133.6,289.9,259.6,197,88.7,172,277.2,170,174,106.9,135,238.9,192,239,118.1,177.8,224.7,70.5,192.7,92.9,103.5,24.3,106.7,143.9,81.8,38.9,72.5,64.4,101.6,137.1,162.3,136.9,199.2,280.9,46.4,133.6,136.4,228.7,343.4,274.5,44.7,71,10.6,249.8,177.4,215.5
"WashitaCounty",301.1,127,213.2,176.1,36.7,77.7,236.5,52.2,82.2,176.5,274.1,304.1,284.8,123,191.2,80.4,111.1,276.9,194.5,28.4,300.5,58.3,120.4,138,129,80.6,165.3,49.8,89.3,137,259.5,188.4,63.9,144.7,198.2,212.7,103,34.6,272.7,305.1,149.6,136.9,195.4,107.9,341.6,229.6,98,207.5,256.8,160.9,244.5,174.4,264.9,178.6,109.5,208.9,229.3,294,201.4,175.6,239.8,164.9,147.6,301.9,63.7,234.7,170.4,268.3,113,217.8,75.7,211.4,236.2,249.8,16.3,123.9,95.9
"WoodsCounty",299.5,34.5,286.9,121.1,146.8,80.2,310.2,148.3,132.6,250.1,269.7,351.6,224.1,173.4,264.9,192,222.8,229.6,191.5,100.9,264,74.6,95.2,76.5,211.2,163.1,59.7,170,202.9,62,289.7,238.8,183.4,233.1,271.9,95.5,105.6,151.3,320.2,330.7,186.2,135.4,269.1,194.2,389.1,274.7,51.8,281.2,245.4,234.6,249.6,119.1,201.3,229,155.3,232,159.1,249.5,159.4,154.3,287.3,238.6,198,349.4,133,223.3,220.8,293.1,202.3,174.6,192.5,200,227.7,177.4,123.9,18.5,64.1
"WoodwardCounty",304.2,75.8,273,83.9,90.5,74.4,296.4,134.4,118.7,236.3,274.4,340.6,185.6,159.6,251,167.6,198.4,270.2,196.2,72.9,293.8,46.6,33.7,87.7,197.3,149.3,114.1,113.7,146.6,44.8,296.1,225,138.9,219.3,258,147.9,106,123.3,309.3,341.7,186.2,129.5,255.2,180.3,378.2,266.2,55.9,267.3,250,220.8,254.3,123.8,256.7,215.2,146.1,245.4,193.4,287.3,164,159,276.3,224.8,184.2,338.4,75.7,228,206.9,304.8,188.4,136.1,164.5,204.6,232.4,215.5,95.9,64.1,18.2
