"County","AdairCounty","AlfalfaCounty","AtokaCounty","BeaverCounty","BeckhamCounty","BlaineCounty","BryanCounty","CaddoCounty","CanadianCounty","CarterCounty","CherokeeCounty","ChoctawCounty","CimarronCounty","ClevelandCounty","CoalCounty","ComancheCounty","CottonCounty","CraigCounty","CreekCounty","CusterCounty","DelawareCounty","DeweyCounty","EllisCounty","GarfieldCounty","GarvinCounty","GradyCounty","GrantCounty","GreerCounty","HarmonCounty","HarperCounty","HaskellCounty","HughesCounty","JacksonCounty","JeffersonCounty","JohnstonCounty","KayCounty","KingfisherCounty","KiowaCounty","LatimerCounty","LeFloreCounty","LincolnCounty","LoganCounty","LoveCounty","McClainCounty","McCurtainCounty","McIntoshCounty","MajorCounty","MarshallCounty","MayesCounty","MurrayCounty","MuskogeeCounty","NobleCounty","NowataCounty","OkfuskeeCounty","OklahomaCounty","OkmulgeeCounty","OsageCounty","OttawaCounty","PawneeCounty","PayneCounty","PittsburgCounty","PontotocCounty","PottawatomieCounty","PushmatahaCounty","RogerMillsCounty","RogersCounty","SeminoleCounty","SequoyahCounty","StephensCounty","TexasCounty","TillmanCounty","TulsaCounty","WagonerCounty","WashingtonCounty","WashitaCounty","WoodsCounty","WoodwardCounty"
"CherokeeCounty",30.9,239.1,139.1,355.6,297.4,247.4,172.7,231.8,196.5,215.3,14.3,165.7,457.3,171.8,143.3,246.9,277.7,80.3,95,264.1,56.4,294,305.5,187.5,195.7,202,213.5,320.5,334.1,323,74.4,117.6,304.6,257.4,176.1,182.3,215.3,285.8,107.8,88.3,135.3,163.4,217.7,206.3,172.1,61.8,229.1,189,41.2,188,34.3,155.3,99.8,97.6,172.3,71.7,127.6,90.3,115.6,133.8,92.2,155.6,141.1,157.2,305.1,62.7,129.8,50.7,243.4,407.9,289.2,69.9,37.5,113,274.1,269.7,274.4
"ChoctawCounty",192.7,321,49.2,420.8,327.3,277.3,52.5,213.1,226.5,116.2,165.7,14.6,522.5,161.2,70.2,215.6,188.2,208.6,164.4,294.1,222,324,370.6,269.4,135.4,183.3,295.3,287.7,302.8,381.7,125.9,110.3,273.3,152.8,86.6,264.1,252.3,256,85.9,117.3,185.6,226.6,107,160.5,63.5,108.3,306.8,78.3,181.5,128.2,136.1,237.2,215.1,127.5,200.9,120.1,211.6,225.7,197.4,212.1,75.5,94.3,140.1,43.2,335.1,188.9,129.7,159.8,174.7,473,224.9,162.9,159,201.4,304.1,351.6,340.6
"CimarronCounty",487.1,249.9,454.9,122.1,253.1,256.3,478.3,335,300.6,418.2,457.3,522.5,22.1,341.5,432.9,331.9,360.7,453.1,379.1,254.7,476.7,228.5,179.4,270.6,379.2,331.1,275.1,275.5,250.2,165.4,478,406.9,278.5,383.7,439.9,310.9,287.9,310.2,491.1,523.5,368,311.3,437.1,362.2,560.1,448,238.8,449.2,433,402.6,437.2,306.8,416.7,397,327.9,427.3,374.5,470.2,347,334.9,458.2,406.6,366,520.3,213.4,410.9,388.8,486.7,368.5,52.9,319.7,387.6,415.3,392.8,284.8,224.1,185.6
"ClevelandCounty",198.7,153.3,115.2,239.7,146.3,96.3,146.5,68.2,45.5,86.4,171.8,161.2,341.5,12.2,93.2,83.3,114.1,192.5,110.1,113,216.1,142.9,189.6,106.2,47.4,38.4,142,169.5,170.5,200.6,157.2,75.5,141,110.7,108.1,128.3,71.2,122.2,170.4,202.8,65.3,52.5,105.3,36.2,198.8,127.3,125.7,117.4,172.4,70.8,142.2,90,180.5,76.3,24.1,106.5,144.9,209.7,117,91.2,137.4,66.9,34.4,166.2,154.1,150.4,57.4,165.9,79.8,292,125.6,127,151.9,165.5,123,173.4,159.6
"CoalCounty",170.3,244.7,24.2,331.2,237.7,187.7,54.5,145.1,136.9,87.4,143.3,70.2,432.9,93.2,11.7,147.5,151.4,186.2,120.5,204.4,199.6,234.4,281,203.9,67.3,115.3,229.8,219.7,234.8,292.1,103.5,42.6,205.3,129.5,46.2,190.8,162.6,188,86.1,118.5,103.4,140.4,106.4,92.5,107.7,85.9,217.1,70.9,159.1,60.2,113.7,163.8,182.9,77.9,114.7,87.9,159.8,203.3,139.5,141.8,53.1,26.3,72.1,75.2,245.5,152.8,62,137.4,113.7,383.4,183.2,130.7,136.6,169.2,191.2,264.9,251
"ComancheCounty",273.9,170,169.6,247.8,114.4,111.5,162.1,40.2,81.2,101.6,246.9,215.6,331.9,83.3,147.5,16.9,35.1,259.3,176.9,100.4,282.9,130.3,195,144.8,86.2,44.9,175.8,82.9,87.6,208.7,232.3,161.2,58.1,68.6,133.7,195.1,109.8,55.2,245.5,277.9,132,119.3,118.2,72.2,253.1,202.4,141,133.1,239.1,96.4,217.3,156.8,247.2,151.4,91.9,181.6,211.6,276.4,183.8,158,212.5,121.3,108.1,220.6,138.5,217.1,143.2,241,37,301.6,46.7,193.7,218.6,232.2,80.4,192,167.6
"CottonCounty",304.6,200.7,156.6,278.5,149.2,142.3,139.6,71,111.9,79,277.7,188.2,360.7,114.1,151.4,35.1,13,290,207.6,131.1,313.6,161,228.4,175.5,100.8,75.7,206.5,117.7,122.3,239.4,263.1,192,92.8,39.5,117,225.8,140.5,90,223.6,256,162.8,150,89,102.9,240.1,233.2,171.7,110.5,269.9,94.8,248.1,187.5,278,182.2,122.7,212.4,242.4,307.2,214.5,188.7,190.6,125.2,138.8,207.5,172.2,247.9,173.9,271.8,39,336.4,45.9,224.5,249.4,263,111.1,222.8,198.4
"CraigCounty",100.9,200.5,182,351.4,300.1,250.1,215.5,244.2,195.7,247,80.3,208.6,453.1,192.5,186.2,259.3,290,14.2,93.7,266.9,46.5,266.4,301.2,183.3,230.3,214.4,173.3,323.3,346.5,282.9,119.6,159.4,317,286.6,219,140.8,214,304.3,153.1,160.6,133.9,162.1,266,219,246.1,104.6,224.9,231.9,40.3,219.8,79.5,151.1,40.8,133.7,171,107.6,91,32.1,111.3,130.5,135,189.4,164,200.1,307.9,43.5,160.7,122.9,255.8,403.6,301.5,68.5,68.8,52.6,276.9,229.6,270.2
"CreekCounty",127.7,160.9,137.8,277.4,217.7,134.9,171.4,161.8,113.3,164.6,95,164.4,379.1,110.1,120.5,176.9,207.6,93.7,16,184.5,117.3,180.7,227.2,109.3,147.9,132,135.2,240.9,264.1,244.8,115.1,79.3,234.6,204.2,141.7,104,104.8,221.9,133,156,51.5,71,183.6,136.6,202,89.9,150.9,164.6,73.6,137.4,74.9,77.1,81.7,50.5,88.6,44.8,52,110.8,37.3,50.3,100.1,107,81.6,162.2,225.5,51.5,77.5,118.4,173.4,329.6,219.1,28.2,53,66.6,194.5,191.5,196.2
"CusterCounty",291.1,100.9,226.5,153,51.2,51.7,249.8,73.4,72.2,189.7,264.1,294.1,254.7,113,204.4,100.4,131.1,266.9,184.5,16.3,290.5,35.2,102.9,111.9,150.8,102.7,139.2,74.4,107.3,113.9,249.5,178.4,87.9,164.6,211.5,180,76.9,55.8,262.7,295.1,139.6,100.3,208.7,133.8,331.6,219.6,71.9,220.8,246.7,174.2,234.5,141.7,254.8,168.6,99.5,198.8,219.3,284,191.4,142.9,229.7,178.2,137.6,291.9,46.3,224.7,160.4,258.2,133,205.3,96.9,201.3,226.2,239.8,28.4,100.9,72.9
"DelawareCounty",58.8,258.5,195.4,375,323.8,273.7,228.9,267.8,219.3,271.6,56.4,222,476.7,216.1,199.6,282.9,313.6,46.5,117.3,290.5,14.5,290.1,324.9,206.9,253.9,238,207.7,346.9,370.1,317.3,127.1,173.9,340.6,310.3,232.4,175.2,237.6,327.9,160.6,136.8,157.5,185.7,274,242.6,220.5,118,248.5,245.3,40.6,244.3,87,174.7,75.2,153.8,194.6,131.2,125.4,38.3,135,154.2,148.5,211.9,187.6,213.5,331.5,64.2,186,92,279.4,427.2,325.2,92.2,82.2,87,300.5,264,293.8
"DeweyCounty",321,82.4,256.4,126.8,81.2,57,279.7,103.4,102.1,219.7,294,324,228.5,142.9,234.4,130.3,161,266.4,180.7,35.2,290.1,16.3,76.6,91.8,180.7,132.6,120.8,104.3,137.2,87.7,279.4,208.4,117.8,194.6,241.4,154.6,88.5,85.7,292.6,325,169.5,112,238.6,163.7,361.6,249.5,53.4,250.7,246.3,204.1,264.4,127.9,253,198.5,129.4,228.8,194.3,283.6,166.4,135.6,259.7,208.1,167.5,321.8,71.1,224.3,190.3,288.2,162.9,179,126.8,200.9,228.7,227.2,58.3,74.6,46.6
"EllisCounty",335.3,106.8,303.1,77.7,84.8,104.5,326.4,164.4,148.7,266.3,305.5,370.6,179.4,189.6,281,195,228.4,301.2,227.2,102.9,324.9,76.6,18.1,118.8,227.3,179.3,145.2,112.9,138.2,57.7,326.1,255,145.5,249.3,288,179,136,147.6,339.3,371.7,216.2,159.5,285.3,210.4,408.2,296.2,87,297.4,281.1,250.8,285.4,154.9,287.8,245.2,176.1,275.4,224.5,318.4,195.1,183.1,306.3,254.8,214.2,368.4,57.3,259.1,236.9,334.8,218.5,130,186.4,235.7,263.5,246.6,120.4,95.2,33.7
"GarfieldCounty",217.3,52.4,225.9,168.9,161.3,69.9,243,117.3,70.6,183,187.5,269.4,270.6,106.2,203.9,144.8,175.5,183.3,109.3,111.9,206.9,91.8,118.8,16.8,144,102.1,36.3,184.4,217.3,129.8,207.5,174.4,202.5,172.2,204.7,70.3,35.8,165.4,238,248.5,104,69.6,201.9,127,307,192.5,42.4,214,163.2,167.4,167.4,36.9,169.9,147,94.5,149.8,106.6,200.4,77.2,72.1,205.1,177.6,133.6,267.2,147.8,141.1,156.4,210.9,141.3,221.1,187.1,117.8,145.5,136.2,138,76.5,87.7
"GarvinCounty",222.7,191.1,89.4,277.5,184,134,105,78.2,83.2,44.9,195.7,135.4,379.2,47.4,67.3,86.2,100.8,230.3,147.9,150.8,253.9,180.7,227.3,144,14.7,53.9,179.7,152.9,173.4,238.4,154.9,82.6,143.9,87.1,66.7,166.1,109,125,137.5,169.9,103,90.3,63.9,31.1,172.9,137.4,163.5,76,210.1,29.4,166.1,127.8,218.2,100.2,61.8,130.4,182.6,247.4,154.8,129,104.5,41.1,56.4,140.4,191.8,188.1,76.6,189.8,67.6,329.7,121.8,164.7,189.6,203.2,129,211.2,197.3
"GradyCounty",229,144.4,137.3,229.4,136,85.9,152.9,29.8,38.5,92.9,202,183.3,331.1,38.4,115.3,44.9,75.7,214.4,132,102.7,238,132.6,179.3,102.1,53.9,17.1,133.1,104.4,132.1,190.3,187.4,116.4,102.6,72.3,114.6,150.2,67.1,83.8,200.6,233,87.2,74.4,111.8,27.3,220.9,157.5,115.4,123.9,194.3,77.3,172.4,111.9,202.4,106.6,47,136.8,166.8,231.5,138.9,113.1,167.7,89,63.2,188.3,143.7,172.2,98.3,196.2,41.4,281.6,87.2,148.9,173.7,187.3,80.6,163.1,149.3
"GrantCounty",243.2,41.8,251.9,172.2,188.6,99.8,278.8,148.3,101.6,218.7,213.5,295.3,275.1,142,229.8,175.8,206.5,173.3,135.2,139.2,207.7,120.8,145.2,36.3,179.7,133.1,16.3,211.8,244.6,113,233.5,200.4,233.5,203.1,240.4,39.2,66.8,192.7,264,274.4,130,95.5,237.6,168.5,332.9,218.5,71.4,249.7,189.1,203.2,193.4,62.9,145,173,120.5,175.8,102.8,193.3,103.1,98,231,203.6,159.6,293.1,175.1,167.1,182.3,236.8,172.3,225.6,218.1,143.7,171.5,121.2,165.3,59.7,114.1
"GreerCounty",347.5,173.4,241.7,175.5,32.3,124.2,244.7,76.2,128.6,184.1,320.5,287.7,275.5,169.5,219.7,82.9,117.7,323.3,240.9,74.4,346.9,104.3,112.9,184.4,152.9,104.4,211.8,13.1,41.3,154.7,306,234.9,33.4,151.2,216.2,259.1,149.4,39.2,319.1,351.6,196.1,183.3,200.7,131.7,325.3,276.1,144.4,215.7,303.2,179,291,220.8,311.3,225.1,155.9,255.3,275.7,340.5,247.8,222,286.2,193.4,194.1,292.7,56.3,281.1,216.8,314.7,119.6,219.5,74.3,257.8,282.6,296.3,49.8,170,113.7
"HarmonCounty",361.1,206.3,256.8,183.8,57.6,157.1,249.4,116.7,161.5,188.8,334.1,302.8,250.2,170.5,234.8,87.6,122.3,346.5,264.1,107.3,370.1,137.2,138.2,217.3,173.4,132.1,244.6,41.3,11.9,180.8,319.5,248.5,34.2,155.9,220.9,282.3,182.3,81,332.7,365.1,219.3,206.5,205.4,159.4,340.4,289.6,177.3,220.3,326.4,183.6,304.5,244,334.5,238.6,179.1,268.9,298.9,363.6,271,245.2,299.8,208.5,195.3,307.8,81.6,304.3,230.4,328.3,124.2,214.9,75.3,281,305.8,319.4,89.3,202.9,146.6
"HarperCounty",352.8,87.8,314.1,62.5,127.4,115.5,337.5,175.5,159.8,277.4,323,381.7,165.4,200.6,292.1,208.7,239.4,282.9,244.8,113.9,317.3,87.7,57.7,129.8,238.4,190.3,113,154.7,180.8,16.6,337.1,266.1,179.9,260.4,299.1,148.8,147.1,164.4,350.3,382.7,227.3,170.5,296.3,221.4,419.3,307.2,98,308.4,298.7,261.8,302.9,172.4,254.6,256.3,187.1,286.5,212.4,302.8,212.7,194.1,317.4,265.8,225.2,379.5,99.9,276.6,248,345.9,229.5,116,205.5,253.3,281,230.7,137,62,44.8
"HaskellCounty",73.5,259.1,99.3,376.2,282.8,232.8,132.9,217.2,181.9,177,74.4,125.9,478,157.2,103.5,232.3,263.1,119.6,115.1,249.5,127.1,279.4,326.1,207.5,154.9,187.4,233.5,306,319.5,337.1,12.9,85.1,290,219.1,136.4,202.3,207.7,271.2,50.2,48.5,141.1,182,177.9,191.7,132.2,39.9,262.2,149.3,92.6,149.8,41.3,175.3,138.9,83,156.4,75.6,147.6,136.8,135.6,153.8,52.4,117.3,126.6,90.5,290.6,99.9,97.3,40.6,228.9,428.5,274.6,89.9,70.1,133.1,259.5,289.7,296.1
"HughesCounty",144.6,218.7,61.6,305.1,211.7,161.7,91.9,146.1,110.9,104.7,117.6,110.3,406.9,75.5,42.6,161.2,192,159.4,79.3,178.4,173.9,208.4,255,174.4,82.6,116.4,200.4,234.9,248.5,266.1,85.1,14.7,219,146.8,79.7,161.4,136.6,200.1,78.9,111.3,70,110.9,123.6,86.5,147.8,60.5,191.1,102.6,133.4,77.4,88,134.4,147.3,36.1,85.3,52.3,118.6,176.5,103.9,112.3,46,45,42.3,108.1,219.5,117.2,20.9,111.8,130.9,357.4,203.5,95.2,110.9,133.6,188.4,238.8,225
"JacksonCounty",331.6,185.7,227.3,208.1,64.9,136.4,219.9,96.2,138.9,159.3,304.6,273.3,278.5,141,205.3,58.1,92.8,317,234.6,87.9,340.6,117.8,145.5,202.5,143.9,102.6,233.5,33.4,34.2,179.9,290,219,14.6,126.4,191.4,252.8,167.5,51.5,303.2,335.6,189.8,177,175.9,129.9,310.9,260.1,156.7,190.8,296.9,154.1,275,214.5,305,209.1,149.6,239.4,269.4,334.1,241.5,215.7,270.3,179,165.8,278.3,89,274.8,200.9,298.8,94.7,248.1,42.1,251.5,276.3,289.9,63.9,183.4,138.9
"JeffersonCounty",284.4,214.4,121.1,299.5,182.7,156,104.1,99.9,108.5,43.6,257.4,152.8,383.7,110.7,129.5,68.6,39.5,286.6,204.2,164.6,310.3,194.6,249.3,172.2,87.1,72.3,203.1,151.2,155.9,260.4,219.1,146.8,126.4,14.3,81.6,222.5,137.1,123.5,201.7,234.1,159.4,146.6,63,99.6,204.6,201.6,185.4,75.1,266.5,72.9,227.8,184.2,274.6,167.1,119.3,192.1,239,303.8,211.1,185.4,168.7,103.3,129.1,172.1,205.7,244.5,140.8,251.5,34.3,351.7,76.2,221.1,246,259.6,144.7,233.1,219.3
"JohnstonCounty",203.1,251.8,40.6,338.2,244.7,194.7,39.7,144.4,143.9,41.2,176.1,86.6,439.9,108.1,46.2,133.7,117,219,141.7,211.5,232.4,241.4,288,204.7,66.7,114.6,240.4,216.2,220.9,299.1,136.4,79.7,191.4,81.6,13.2,199.3,169.7,188.5,118.9,151.4,111.8,151,48.8,91.8,124.2,118.8,224.2,24,192,40.8,146.6,172.3,212.1,102.1,122.5,130.6,175.9,236.1,148,150.2,86,34.7,80.6,91.6,252.5,181.9,75.7,170.3,94.3,390.4,153.8,158.6,169.4,197,198.2,271.9,258
"KayCounty",212.1,77.6,212.9,208,235.9,139.4,230.3,180,131.5,205.1,182.3,264.1,310.9,128.3,190.8,195.1,225.8,140.8,104,180,175.2,154.6,179,70.3,166.1,150.2,39.2,259.1,282.3,148.8,202.3,161.4,252.8,222.5,199.3,15.8,105.2,240.1,232.8,243.2,98.8,81.9,224,154.8,301.7,187.3,105.2,236.1,157.9,189.5,162.2,49.2,112.5,141.8,106.8,144.6,70.3,160.8,71.9,66.8,199.8,164.6,120.6,261.9,215.9,120.8,143.4,205.6,191.6,261.4,237.4,112.5,140.3,88.7,212.7,95.5,147.9
"KingfisherCounty",249.3,82.9,184.7,186.2,126.2,42.7,208,82.3,35.5,147.9,215.3,252.3,287.9,71.2,162.6,109.8,140.5,214,104.8,76.9,237.6,88.5,136,35.8,109,67.1,66.8,149.4,182.3,147.1,207.7,136.6,167.5,137.1,169.7,105.2,15.5,130.4,220.9,253.3,86.7,36,166.9,92,289.8,177.8,68.1,179,193.8,132.4,192.7,66.9,187.5,126.8,50.5,157,128.8,231.1,100.9,70,187.9,136.4,95.8,250.1,112.8,171.8,118.6,216.4,106.3,238.4,152.1,135.4,173.3,172,103,105.6,106
"KiowaCounty",312.8,154.4,210.1,203.5,67,105.1,217,58.9,109.6,156.4,285.8,256,310.2,122.2,188,55.2,90,304.3,221.9,55.8,327.9,85.7,147.6,165.4,125,83.8,192.7,39.2,81,164.4,271.2,200.1,51.5,123.5,188.5,240.1,130.4,16.5,284.4,316.8,177,164.3,173,111.1,293.6,241.3,125.4,188,284.2,151.3,256.2,201.8,292.3,190.3,136.9,220.5,256.7,321.4,228.8,203,251.4,161.8,146.9,261,91.3,262.1,182.1,279.9,91.9,254.2,48.3,238.8,263.6,277.2,34.6,151.3,123.3
"LatimerCounty",124.7,289.6,81.9,389.4,296,245.9,115.4,230.4,195.1,159.6,107.8,85.9,491.1,170.4,86.1,245.5,223.6,153.1,133,262.7,160.6,292.6,339.3,238,137.5,200.6,264,319.1,332.7,350.3,50.2,78.9,303.2,201.7,118.9,232.8,220.9,284.4,13.9,45.2,154.2,195.2,160.5,162.6,110,70.7,275.4,131.8,126.1,132.3,74.8,205.8,172.4,96.2,169.6,88.8,180.3,170.2,166.1,180.8,36.6,99.9,119.7,44.9,303.7,133.4,98.3,91.9,185.9,441.6,253.4,123.4,103.5,170,272.7,320.2,309.3
"LeFloreCounty",78.8,300,114.3,421.8,328.4,278.4,147.9,262.8,227.5,192,88.3,117.3,523.5,202.8,118.5,277.9,256,160.6,156,295.1,136.8,325,371.7,248.5,169.9,233,274.4,351.6,365.1,382.7,48.5,111.3,335.6,234.1,151.4,243.2,253.3,316.8,45.2,20.6,186.6,227.6,192.9,195.1,89,93.5,290.1,164.3,133.5,164.8,89,216.3,179.8,128.6,202,121.2,188.5,177.7,176.5,194.7,69,132.3,152.2,76.3,336.2,140.9,130.8,45.9,218.3,474.1,285.8,130.8,111,174,305.1,330.7,341.7
"LincolnCounty",167.9,155.6,125.4,266.3,172.9,122.9,142.9,116.9,68.4,118.3,135.3,185.6,368,65.3,103.4,132,162.8,133.9,51.5,139.6,157.5,169.5,216.2,104,103,87.2,130,196.1,219.3,227.3,141.1,70,189.8,159.4,111.8,98.8,86.7,177,154.2,186.6,16,56.5,137.2,91.8,223.2,111.2,152.3,131.2,113.8,91,101.8,71.8,121.9,52,43.8,71.8,83.5,151.1,55.6,33.8,121.3,77.1,33.1,183.4,180.7,91.8,51.9,149.8,128.6,318.6,174.3,68.4,93.3,106.9,149.6,186.2,186.2
"LoganCounty",196.1,121.2,162.4,209.6,160.1,66.2,189.3,104.2,55.7,129.3,163.4,226.6,311.3,52.5,140.4,119.3,150,162.1,71,100.3,185.7,112,159.5,69.6,90.3,74.4,95.5,183.3,206.5,170.5,182,110.9,177,146.6,151,81.9,36,164.3,195.2,227.6,56.5,14.1,148.2,79,264.1,152.1,95.6,160.3,141.9,113.7,143.3,43.6,150,101.1,31,121.6,105.5,179.2,77.6,44.8,162.3,114.1,70.1,224.4,136.3,119.9,92.9,190.8,115.8,261.9,161.6,96.6,121.4,135,136.9,135.4,129.5
"LoveCounty",244.7,249,82.8,335.4,241.9,191.9,58.3,141.6,141.1,26.4,217.7,107,437.1,105.3,106.4,118.2,89,266,183.6,208.7,274,238.6,285.3,201.9,63.9,111.8,237.6,200.7,205.4,296.3,177.9,123.6,175.9,63,48.8,224,166.9,173,160.5,192.9,137.2,148.2,11.9,89,166.4,160.4,221.4,31.3,233.6,49.7,188.1,185.7,253.9,143.9,119.7,168.9,217.8,283.1,189.9,186.9,127.6,80.1,105.9,133.8,249.7,223.8,117.6,211.9,84.9,387.6,125.8,200.5,211,238.9,195.4,269.1,255.2
"McClainCounty",233.2,174.1,114.6,260.5,167.1,117,130.2,57.1,66.2,70.1,206.3,160.5,362.2,36.2,92.5,72.2,102.9,219,136.6,133.8,242.6,163.7,210.4,127,31.1,27.3,168.5,131.7,159.4,221.4,191.7,86.5,129.9,99.6,91.8,154.8,92,111.1,162.6,195.1,91.8,79,89,12.4,198.1,161.8,146.5,101.1,198.9,54.6,176.7,116.5,207,110.8,50.6,141,171.4,236.2,143.5,117.7,129.7,66.3,60.9,165.5,174.8,176.9,83.9,200.4,68.7,312.7,114.5,153.5,178.4,192,107.9,194.2,180.3
"McCurtainCounty",162.5,358.5,86.8,458.4,364.9,314.9,115.5,250.6,264.1,164.3,172.1,63.5,560.1,198.8,107.7,253.1,240.1,246.1,202,331.6,220.5,361.6,408.2,307,172.9,220.9,332.9,325.3,340.4,419.3,132.2,147.8,310.9,204.6,124.2,301.7,289.8,293.6,110,89,223.2,264.1,166.4,198.1,22.4,145.9,344.3,137.7,219.1,165.8,173.7,274.7,252.7,165.1,238.5,157.7,249.2,263.3,235,249.7,113.1,131.9,177.7,75.5,372.7,226.5,167.3,129.7,219.3,510.6,276.8,200.5,196.6,239,341.6,389.1,378.2
"McIntoshCounty",88.7,244.1,81.8,346.3,252.9,202.9,115.3,187.3,152,159.4,61.8,108.3,448,127.3,85.9,202.4,233.2,104.6,89.9,219.6,118,249.5,296.2,192.5,137.4,157.5,218.5,276.1,289.6,307.2,39.9,60.5,260.1,201.6,118.8,187.3,177.8,241.3,70.7,93.5,111.2,152.1,160.4,161.8,145.9,13.7,232.3,131.7,77.6,132.2,32.2,160.3,123.9,53.1,126.5,45.7,132.6,121.8,120.6,138.8,34.8,99.8,96.7,99.8,260.7,84.9,72.6,55.9,198.9,398.6,244.7,74.9,55,118.1,229.6,274.7,266.2
"MajorCounty",258.9,33.1,239.2,137.1,121.2,32.5,262.5,100.6,84.8,202.4,229.1,306.8,238.8,125.7,217.1,141,171.7,224.9,150.9,71.9,248.5,53.4,87,42.4,163.5,115.4,71.4,144.4,177.3,98,262.2,191.1,156.7,185.4,224.2,105.2,68.1,125.4,275.4,290.1,152.3,95.6,221.4,146.5,344.3,232.3,15.9,233.5,204.8,186.9,209,78.5,211.4,181.3,112.2,191.4,148.2,242,118.8,113.7,242.4,190.9,150.3,304.6,107.8,182.7,173.1,252.5,154.6,189.3,166.5,159.4,187.1,177.8,98,51.8,55.9
"MarshallCounty",216,261.1,54.1,347.5,254.1,204,29.7,153.7,153.2,38.5,189,78.3,449.2,117.4,70.9,133.1,110.5,231.9,164.6,220.8,245.3,250.7,297.4,214,76,123.9,249.7,215.7,220.3,308.4,149.3,102.6,190.8,75.1,24,236.1,179,188,131.8,164.3,131.2,160.3,31.3,101.1,137.7,131.7,233.5,10.6,204.9,51.3,159.4,197.8,238.5,124.9,131.8,143.5,198.8,249.1,170.9,169.6,98.9,57.6,99.9,105.1,261.8,212.2,98.6,183.2,97.1,399.7,147.3,186.3,182.3,224.7,207.5,281.2,267.3
"MayesCounty",69.2,214.7,154.9,331.3,280,230,188.5,224.1,175.6,226.9,41.2,181.5,433,172.4,159.1,239.1,269.9,40.3,73.6,246.7,40.6,246.3,281.1,163.2,210.1,194.3,189.1,303.2,326.4,298.7,92.6,133.4,296.9,266.5,192,157.9,193.8,284.2,126.1,133.5,113.8,141.9,233.6,198.9,219.1,77.6,204.8,204.9,13.5,199.7,52.5,130.9,60.9,113.4,150.9,87.5,85,57.5,91.2,110.4,108,169.3,143.9,173,287.8,24.9,145.6,95.9,235.7,383.5,281.4,48.4,41.8,70.5,256.8,245.4,250
"MurrayCounty",215,214.5,82.2,300.9,207.5,157.5,73.2,107.1,106.6,30.8,188,128.2,402.6,70.8,60.2,96.4,94.8,219.8,137.4,174.2,244.3,204.1,250.8,167.4,29.4,77.3,203.2,179,183.6,261.8,149.8,77.4,154.1,72.9,40.8,189.5,132.4,151.3,132.3,164.8,91,113.7,49.7,54.6,165.8,132.2,186.9,51.3,199.7,10.6,158.4,151.2,207.8,97.8,85.3,122.8,171.6,236.9,143.7,129.4,99.4,33.9,59.8,133.2,215.3,177.6,71.4,182.2,57.1,353.1,132.1,154.3,179.1,192.7,160.9,234.6,220.8
