"FAFZone","AdairCounty","AlfalfaCounty","AtokaCounty","BeaverCounty","BeckhamCounty","BlaineCounty","BryanCounty","CaddoCounty","CanadianCounty","CarterCounty","CherokeeCounty","ChoctawCounty","CimarronCounty","ClevelandCounty","CoalCounty","ComancheCounty","CottonCounty","CraigCounty","CreekCounty","CusterCounty","DelawareCounty","DeweyCounty","EllisCounty","GarfieldCounty","GarvinCounty","GradyCounty","GrantCounty","GreerCounty","HarmonCounty","HarperCounty","HaskellCounty","HughesCounty","JacksonCounty","JeffersonCounty","JohnstonCounty","KayCounty","KingfisherCounty","KiowaCounty","LatimerCounty","LeFloreCounty","LincolnCounty","LoganCounty","LoveCounty","McClainCounty","McCurtainCounty","McIntoshCounty","MajorCounty","MarshallCounty","MayesCounty","MurrayCounty","MuskogeeCounty","NobleCounty","NowataCounty","OkfuskeeCounty","OklahomaCounty","OkmulgeeCounty","OsageCounty","OttawaCounty","PawneeCounty","PayneCounty","PittsburgCounty","PontotocCounty","PottawatomieCounty","PushmatahaCounty","RogerMillsCounty","RogersCounty","SeminoleCounty","SequoyahCounty","StephensCounty","TexasCounty","TillmanCounty","TulsaCounty","WagonerCounty","WashingtonCounty","WashitaCounty","WoodsCounty","WoodwardCounty"
"11",588.74,830.23,657.86,952.74,859.31,809.3,685.95,793.74,758.45,764.07,618.47,626.43,1054.46,733.7,698.85,808.83,817.14,690.73,686.17,826.03,644.95,855.95,902.61,778.65,759.14,763.95,804.6,882.5,891.26,913.67,597.62,679.54,861.02,801.76,730.71,773.42,784.23,847.72,639.17,572.95,717.58,758.54,744.05,768.2,578.93,623.69,820.24,709.5,655.35,760.45,619.19,746.42,710.01,659.5,732.8,652.1,718.71,638.09,706.72,724.9,654.11,715.48,703.08,639.45,867.09,671.07,691.69,573.31,805.76,1005,841.17,661.02,641.17,704.17,836.04,860.85,872.6
"12",654.85,935.6,637.65,1022.05,928.55,878.55,655.25,828.25,827.75,713.05,684.55,590.7,1084.05,791.95,658.6,795,766.55,756.8,752.25,895.3,711.05,925.25,971.85,844.75,750.5,798.45,870.65,856.55,857.35,982.95,663.7,698.7,824.15,749.6,689,839.5,853.5,842.35,658.3,622.15,774.05,834.85,693.65,775.65,568.75,689.75,908,672.35,721.45,736.35,685.25,812.5,776.05,715.95,806.25,708.55,784.75,751.05,772.8,790.95,664,682.75,728.55,631.6,936.35,737.15,718.15,639.35,771.55,1074.25,796.4,727.1,707.25,770.25,871.05,955.7,941.85
"19",630.210909090909,873.838181818182,663.161818181818,993.501818181818,900.045454545455,850.034545454546,683.5,826.916363636364,799.210909090909,756.785454545455,659.94,622.869090909091,1085.38545454545,772.290909090909,696.074545454545,818.378181818182,811.565454545454,732.196363636364,727.638181818182,866.770909090909,686.418181818182,896.701818181818,943.354545454545,820.121818181818,771.014545454546,797.125454545455,846.056363636364,885.663636363636,891.069090909091,954.410909090909,639.089090909091,710.32,859.416363636364,795.738181818182,726.785454545455,814.874545454545,824.970909090909,862.014545454546,668.367272727273,610.42,757.930909090909,800.425454545455,738.038181818182,789.010909090909,590.063636363636,665.147272727273,864.02,704.341818181818,696.82,760.607272727273,660.647272727273,787.894545454545,751.465454545454,699.845454545455,774.222727272728,692.46,760.169090909091,681.610909090909,748.178181818182,766.370909090909,680.96,716.041818181818,737.981818181818,651.703636363636,907.825454545455,712.527272727273,725.421818181818,614.774545454545,803.536363636364,1045.72545454545,836.427272727273,702.476363636364,682.638181818182,745.638181818182,871.187272727273,904,913.334545454545
"20",1069.75172413793,1139.37931034483,1316.8,1058.70689655172,1151.98620689655,1166.95862068966,1334.43793103448,1206.24827586207,1195.95862068966,1295.08275862069,1063.69655172414,1345.27586206897,993.024137931034,1244.81379310345,1302.35172413793,1203.6275862069,1222.51379310345,1022.98620689655,1240.38275862069,1165.91379310345,1032.11034482759,1148.71379310345,1119.41034482759,1171.41724137931,1269.53793103448,1259.14482758621,1155.89310344828,1166.64482758621,1150.12413793103,1099.02068965517,1090.51724137931,1283.08275862069,1168.62068965517,1237.55862068966,1309.31034482759,1176.2,1191.41724137931,1189.43448275862,1112.03793103448,1117.23448275862,1236.95172413793,1214.38965517241,1307.49310344828,1262.17586206897,1168.62413793103,1080.68965517241,1158.76896551724,1315.42413793103,1043.39655172414,1284.89310344828,1064.24137931034,1192.98965517241,1012.88620689655,1265.12413793103,1230.71379310345,1266.95172413793,1219.14137931034,1007.97586206897,1219.33448275862,1216.0275862069,1098.15517241379,1285.15517241379,1256.3275862069,1140.35517241379,1147.07931034483,1038.41379310345,1271.25172413793,1086.02413793103,1286.26896551724,1027.42068965517,1195.60344827586,1245.94482758621,1055.67931034483,1001.97586206897,1172.78965517241,1130.94482758621,1120.62068965517
"41",1186.75,1012.65,1140.85,852.85,863.85,963.35,1113.85,945.85,967.8,1071.25,1159.75,1178.75,767.65,1008.65,1100.1,941.05,969.85,1162.5,1080.15,913.6,1186.15,943.55,884.45,1023.65,1046.4,974.25,1050.95,886.25,859.35,927.05,1145.15,1074.05,887.55,1014,1118.25,1098.35,988.6,921.05,1158.35,1190.75,1035.25,1022.55,1066.55,1029.45,1232.2,1115.25,983.6,1087.05,1142.35,1069.85,1130.15,1060.05,1150.45,1064.25,995.15,1094.45,1114.9,1179.65,1087,1061.25,1125.35,1073.85,1033.25,1199,887.95,1120.35,1056.05,1153.85,977.65,793.95,928.75,1097,1121.85,1135.45,895.65,974.25,912.85
"42",1170.85,996.75,1091.65,869.075,848.05,947.525,1059.8,929.95,951.95,1042.25,1143.9,1099.8,783.9,992.825,1108.4,925.15,964.2,1146.65,1064.25,897.75,1170.275,927.7,868.625,1007.775,1030.55,958.4,1035.1,870.4,843.475,911.2,1129.325,1058.25,871.75,967.3,1061.4,1082.475,972.75,905.2,1169.35,1201.75,1019.4,1006.65,1022.8,1013.575,1169.15,1099.4,967.75,1042.35,1126.55,1065.55,1114.3,1044.2,1134.65,1048.4,979.3,1078.65,1099.05,1163.8,1071.15,1045.35,1136.4,1095.95,1017.4,1142.6,872.1,1104.5,1040.15,1138.05,985.45,810.2,859.95,1081.15,1106,1119.6,879.775,958.425,896.95
"49",1136.12272727273,962.018181818182,1065.49090909091,805.159090909091,813.295454545455,912.768181818182,1041.94545454545,895.218181818182,917.195454545455,990.363636363636,1109.15909090909,1109.1,719.986363636363,958.086363636364,1054.15454545455,890.418181818182,920.081818181818,1111.91818181818,1029.51818181818,863.018181818182,1135.54090909091,892.940909090909,833.886363636364,973.040909090909,995.818181818182,923.640909090909,1000.35909090909,835.668181818181,808.74090909091,876.468181818182,1094.58636363637,1023.49545454546,836.995454545455,937.963636363636,1044.94545454545,1047.74090909091,938.018181818182,870.440909090909,1113.12727272727,1145.55454545455,984.686363636363,971.931818181818,993.7,978.831818181819,1160.59090909091,1064.66818181819,933.018181818182,1014.31818181818,1091.79545454545,1020.46363636364,1079.56818181819,1009.44090909091,1099.89545454545,1013.68636363637,944.559090909091,1043.89545454545,1064.31363636363,1129.06818181819,1036.40454545454,1010.62272727273,1080.18181818182,1031.65454545455,982.668181818181,1125.62727272727,837.340909090909,1069.74090909091,1005.43181818182,1103.29545454545,931.554545454546,746.286363636364,861.790909090909,1046.39545454545,1071.25,1084.85,845.040909090909,923.686363636363,862.218181818182
"50",215.198666666667,451.066666666667,280.592,572.037333333333,485.128,435.116,305.681333333333,412.817333333333,383.856,366.490666666667,241.576,258.189333333333,673.812,355.957333333333,296.969333333333,425.578666666667,434.916,300.202666666667,308.141333333333,451.858666666667,260.536,477.948,521.9,401.168,356.277333333333,383.026666666667,425.342666666667,500.076,511.676,533.105333333333,223.325333333333,297.113333333333,481.486666666667,406.372,323.154666666667,393.656,408.798666666667,464.908,242.644,192.716,339.469333333333,378.612,361.145333333333,376.446666666667,211.12,255.197333333333,442.173333333333,327.298666666667,274.229333333333,348.545333333333,250.286666666667,368.949333333333,322.414666666667,288.493333333333,358.484666666666,278.638666666667,339.136,293.092,329.24,347.213333333333,263.134666666667,315.68,326.62,254.330666666667,492.905333333333,290.561333333333,311.097333333333,207.296,405.508,624.265333333333,461.840666666666,285.933333333333,268.518666666667,320.457333333333,461.874666666667,481.602666666667,491.24
"61",1514.9,1340.78,1450.32,1181.02,1192.04,1291.52,1428.12,1273.98,1295.96,1360.5,1487.92,1517.9,1095.82,1336.82,1428.26,1269.18,1298,1490.68,1408.28,1241.78,1514.3,1271.72,1212.62,1351.8,1374.58,1302.42,1379.12,1214.42,1187.52,1255.22,1473.32,1402.24,1215.74,1320.94,1435.28,1426.52,1316.78,1249.22,1486.52,1518.92,1363.42,1350.7,1370.48,1357.62,1555.42,1443.42,1311.78,1392.02,1470.54,1398.02,1458.32,1388.22,1478.64,1392.42,1323.32,1422.64,1443.06,1507.82,1415.16,1389.4,1453.54,1402.02,1361.42,1515.68,1216.12,1448.52,1384.2,1482.04,1305.82,1122.12,1256.92,1425.16,1450.02,1463.62,1223.8,1302.42,1240.98
"62",1859.64285714286,1670.98571428571,1795.05714285714,1522.01428571429,1536.77142857143,1636.27142857143,1772.84285714286,1618.72857142857,1640.7,1705.24285714286,1835.85714285714,1862.61428571429,1435.34285714286,1681.57142857143,1773,1613.94285714286,1642.74285714286,1829.08571428571,1756.42857142857,1586.52857142857,1853.91428571429,1616.44285714286,1557.35714285714,1692.98571428571,1719.34285714286,1647.15714285714,1699.58571428571,1559.15714285714,1532.25714285714,1595.68571428571,1818.07142857143,1746.98571428571,1560.48571428571,1665.68571428571,1780.02857142857,1735.01428571429,1661.52857142857,1593.94285714286,1831.25714285714,1863.65714285714,1708.17142857143,1695.44285714286,1715.22857142857,1702.34285714286,1900.17142857143,1788.15714285714,1655.91428571429,1736.75714285714,1817.5,1742.75714285714,1803.05714285714,1733.14285714286,1807.14285714286,1737.17142857143,1668.05714285714,1767.38571428571,1782.17142857143,1838.55714285714,1762.15714285714,1734.92857142857,1798.28571428571,1746.75714285714,1706.15714285714,1860.44285714286,1560.85714285714,1795.45714285714,1728.94285714286,1826.78571428571,1650.55714285714,1464.7,1601.65714285714,1772.11428571429,1797.37142857143,1793.97142857143,1568.55714285714,1644.98571428571,1586.91428571429
