"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"BeaverCounty",546,137,39,96,118,40,354,111,1,35,6,16,0,13,244,307,72,287,26,220
"BoxElderCounty",335,40,60,1177,5442,596,1483,1255,136,254,83,320,21,720,1458,1708,265,1223,295,594
"CacheCounty",365,27,30,2299,11112,968,4659,1151,780,1162,419,3312,286,2053,7229,5300,856,3180,790,2146
"CarbonCounty",2,936,184,308,314,351,900,371,72,151,47,201,63,354,1010,1057,117,654,273,743
"DaggettCounty",0,1,2,11,1,0,10,12,1,0,0,1,0,14,46,0,16,71,0,62
"DavisCounty",335,197,321,8470,10664,3057,13257,4573,1623,2377,1339,7945,888,4766,9898,11187,2852,8282,2927,2930
"DuchesneCounty",13,2270,39,709,155,346,860,821,122,100,79,107,72,119,880,1189,50,356,208,325
"EmeryCounty",6,369,415,684,28,90,440,30,141,34,7,63,4,40,458,255,6,217,155,235
"GarfieldCounty",18,11,28,71,41,8,176,16,95,20,5,11,3,19,235,151,61,774,14,174
"GrandCounty",12,117,29,236,30,83,796,69,51,58,104,139,12,140,270,349,367,1612,90,328
"IronCounty",280,214,88,714,1420,389,1941,312,105,563,216,417,48,764,2675,1758,372,1774,310,1320
"JuabCounty",47,50,11,223,625,57,257,20,20,28,12,155,0,76,394,455,32,250,68,291
"KaneCounty",5,6,51,90,71,39,341,23,29,83,24,48,2,36,210,256,92,735,424,248
"MillardCounty",488,111,443,83,220,82,565,153,49,46,4,77,8,393,511,327,70,309,73,374
"MorganCounty",45,11,19,326,182,160,201,28,14,50,9,88,1,30,255,177,2,140,50,80
"PiuteCounty",61,0,0,8,0,0,19,12,0,13,0,3,0,0,109,1,0,22,1,35
"RichCounty",46,1,9,33,2,0,45,16,0,3,11,5,3,32,117,17,5,102,46,67
"SaltLakeCounty",220,2514,2856,31010,51369,29166,68320,29952,17276,40422,9781,46005,15064,47704,59577,69548,8913,47481,16635,30055
"SanJuanCounty",16,500,13,323,118,42,288,99,18,78,17,31,3,38,889,784,73,603,103,430
"SanpeteCounty",272,18,9,319,699,105,717,181,191,110,26,75,13,86,1597,863,53,418,95,630
"SevierCounty",86,550,31,320,332,243,1128,1036,69,114,41,224,1,126,833,824,33,863,129,712
"SummitCounty",42,117,111,1238,781,359,3115,589,397,425,1419,1153,171,805,1639,819,2344,5352,644,755
"TooeleCounty",83,67,35,854,1719,171,1657,826,175,211,102,546,23,924,1562,1241,411,1196,394,570
"UintahCounty",55,3140,172,1157,239,693,1448,1120,295,154,423,421,7,190,942,1056,213,1162,485,1358
"UtahCounty",1115,206,566,15094,18428,6540,23954,3090,10422,4288,2257,15462,1336,12008,26497,24609,3759,13922,4132,5524
"WasatchCounty",31,12,74,961,278,164,792,170,121,130,143,365,7,478,889,577,2406,752,194,338
"WashingtonCounty",87,184,215,5021,2646,1279,8067,3542,827,1347,780,2146,54,2749,5011,8483,1687,7461,1449,2230
"WayneCounty",8,21,17,109,3,25,86,5,2,0,0,7,1,3,124,112,52,141,20,64
"WeberCounty",410,42,322,5196,13793,3701,11575,1783,904,3786,1078,4079,514,7386,9737,12433,1476,6692,2508,9937
